Final_Rank,Rank,Ticker,CN_Name,New_Grok_Elite_Score,風險等級,Company_Name,Current_Price,Market_Cap_B,1M_Return_pct,RSI,Volume_Ratio,EMA20,SMA50,MACD_Hist,High_20,Gap_Risk,Score_Breakdown,Reason,CB_score,PullbackQ_score,VS_score,RS_score,TC_score,Bonus_score,X_Catalyst_Score,X_Catalyst_Reason
1,1,TECH,Bio-Techne Corp,100,低,Bio-Techne Corp,70.65,11.0,36.71,76.9,2.24,59.6,53.48,1.8244,71.23,低,基底+40 · CB+18 · PullbackQ+15 · VS+12 · RS+12 · TC+0 · Bonus+5,從20日高點回檔0.8%；站上EMA20(+18.5%)；1M報酬36.7%；超額報酬vs SPY:+37.7%；SPY:-1.0%&QQQ:-0.1%；RSI77；MACD金叉多頭；站上SMA200,18,15,12,12,0,5,待 Grok 評分,待 Grok 評分
2,2,TRGP,"Targa Resources, Inc.",100,低,"Targa Resources, Inc.",268.14,57.6,5.12,53.1,2.14,266.53,260.22,0.1728,276.26,低,基底+40 · CB+18 · PullbackQ+15 · VS+12 · RS+9 · TC+10 · Bonus+5,從20日高點回檔2.9%；站上EMA20(+0.6%)；1M報酬5.1%；超額報酬vs SPY:+6.2%；SPY:-1.0%&QQQ:-0.1%；RSI53；MACD金叉多頭；站上SMA200,18,15,12,9,10,5,待 Grok 評分,待 Grok 評分
3,3,APD,空氣產品,100,低,"Air Products and Chemicals, Inc",293.18,65.3,5.23,59.3,2.27,282.23,289.8,0.9436,304.77,高,基底+40 · CB+18 · PullbackQ+13 · VS+12 · RS+9 · TC+10 · Bonus+5,從20日高點回檔3.8%；站上EMA20(+3.9%)；1M報酬5.2%；超額報酬vs SPY:+6.3%；SPY:-1.0%&QQQ:-0.1%；RSI59；MACD金叉多頭；站上SMA200,18,13,12,9,10,5,待 Grok 評分,待 Grok 評分
4,4,SRE,DBA Sempra,99,低,DBA Sempra,92.71,60.6,4.76,55.2,1.58,91.66,91.36,0.425,94.56,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+9 · TC+10 · Bonus+5,從20日高點回檔2.0%；站上EMA20(+1.2%)；1M報酬4.8%；超額報酬vs SPY:+5.8%；SPY:-1.0%&QQQ:-0.1%；RSI55；MACD金叉多頭；站上SMA200,12,15,8,9,10,5,待 Grok 評分,待 Grok 評分
5,5,WMB,"Williams Companies, Inc. (The)",97,低,"Williams Companies, Inc. (The)",74.34,90.9,4.9,51.8,1.62,74.11,73.55,0.3971,79.0,低,基底+40 · CB+12 · PullbackQ+13 · VS+8 · RS+9 · TC+10 · Bonus+5,從20日高點回檔5.9%；站上EMA20(+0.3%)；1M報酬4.9%；超額報酬vs SPY:+5.9%；SPY:-1.0%&QQQ:-0.1%；RSI52；MACD金叉多頭；站上SMA200,12,13,8,9,10,5,待 Grok 評分,待 Grok 評分
6,6,PM,菲利普莫里斯,96,低,Philip Morris International Inc,180.91,282.0,2.84,54.2,1.72,178.72,175.53,0.1662,186.0,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+6 · TC+10 · Bonus+5,從20日高點回檔2.7%；站上EMA20(+1.2%)；1M報酬2.8%；超額報酬vs SPY:+3.9%；SPY:-1.0%&QQQ:-0.1%；RSI54；MACD金叉多頭；站上SMA200,12,15,8,6,10,5,待 Grok 評分,待 Grok 評分
7,7,NI,NiSource Inc,94,低,NiSource Inc,47.55,22.8,2.88,51.9,1.91,47.39,47.2,0.1327,49.21,低,基底+40 · CB+12 · PullbackQ+13 · VS+8 · RS+6 · TC+10 · Bonus+5,從20日高點回檔3.4%；站上EMA20(+0.3%)；1M報酬2.9%；超額報酬vs SPY:+3.9%；SPY:-1.0%&QQQ:-0.1%；RSI52；MACD金叉多頭；站上SMA200,12,13,8,6,10,5,待 Grok 評分,待 Grok 評分
8,8,LYV,"Live Nation Entertainment, Inc.",92,低,"Live Nation Entertainment, Inc.",183.11,42.6,8.73,70.5,1.76,172.54,165.57,1.1904,184.86,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+12 · TC+0 · Bonus+5,從20日高點回檔0.9%；站上EMA20(+6.1%)；1M報酬8.7%；超額報酬vs SPY:+9.8%；SPY:-1.0%&QQQ:-0.1%；RSI70；MACD金叉多頭；站上SMA200,12,15,8,12,0,5,待 Grok 評分,待 Grok 評分
9,9,C,花旗集團,90,低,"Citigroup, Inc.",139.96,238.7,11.17,56.1,1.57,139.01,131.56,-0.3743,147.96,低,基底+40 · CB+12 · PullbackQ+13 · VS+8 · RS+12 · TC+0 · Bonus+5,從20日高點回檔5.4%；站上EMA20(+0.7%)；1M報酬11.2%；超額報酬vs SPY:+12.2%；SPY:-1.0%&QQQ:-0.1%；RSI56；MACD待確認；站上SMA200,12,13,8,12,0,5,待 Grok 評分,待 Grok 評分
10,10,RVTY,"Revvity, Inc.",90,低,"Revvity, Inc.",111.26,12.4,6.42,65.4,1.65,104.04,97.7,1.0558,116.16,低,基底+40 · CB+12 · PullbackQ+13 · VS+8 · RS+9 · TC+3 · Bonus+5,從20日高點回檔4.2%；站上EMA20(+6.9%)；1M報酬6.4%；超額報酬vs SPY:+7.4%；SPY:-1.0%&QQQ:-0.1%；RSI65；MACD金叉多頭；站上SMA200,12,13,8,9,3,5,待 Grok 評分,待 Grok 評分
