Final_Rank,Rank,Ticker,CN_Name,New_Grok_Elite_Score,風險等級,Company_Name,Current_Price,Market_Cap_B,1M_Return_pct,RSI,Volume_Ratio,EMA20,SMA50,MACD_Hist,High_20,Gap_Risk,Score_Breakdown,Reason,CB_score,PullbackQ_score,VS_score,RS_score,TC_score,Bonus_score,X_Catalyst_Score,X_Catalyst_Reason
1,1,AKAM,AKAM,88,低,AKAM,141.34,20.5,44.79,61.0,2.17,130.52,113.41,2.7797,165.45,低,基底+40 · CB+8 · PullbackQ+10 · VS+12 · RS+8 · TC+10 · Bonus+0,從20日高點回檔14.6%；守EMA20；1M報酬44.8%；SPY:+3.5%&QQQ:+8.5%；RSI61健康；MACD金叉多頭；站上SMA200（斜率上升）,8,10,12,8,10,0,待 Grok 評分,待 Grok 評分
2,2,MU,美光科技,80,低,MU,698.74,788.0,55.82,61.3,1.22,645.09,498.6,0.394,818.67,低,基底+40 · CB+8 · PullbackQ+10 · VS+4 · RS+8 · TC+10 · Bonus+0,從20日高點回檔14.6%；守EMA20；1M報酬55.8%；SPY:+3.5%&QQQ:+8.5%；RSI61健康；MACD金叉多頭；站上SMA200（斜率上升）,8,10,4,8,10,0,待 Grok 評分,待 Grok 評分
3,3,D,D,78,中,D,68.13,59.9,9.5,70.3,2.51,63.48,62.54,0.506,68.97,低,基底+40 · CB+18 · PullbackQ+0 · VS+12 · RS+8 · TC+0 · Bonus+0,從20日高點回檔1.2%；守EMA20；1M報酬9.5%；SPY:+3.5%&QQQ:+8.5%；RSI70健康；MACD金叉多頭；站上SMA200（斜率上升）,18,0,12,8,0,0,待 Grok 評分,待 Grok 評分
4,4,GOOGL,Alphabet A,75,中,GOOGL,387.66,4696.7,14.89,62.1,1.36,378.4,336.34,-1.4691,408.61,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+8 · TC+0 · Bonus+0,從20日高點回檔5.1%；守EMA20；1M報酬14.9%；SPY:+3.5%&QQQ:+8.5%；RSI62健康；MACD待確認；站上SMA200（斜率上升）,8,15,4,8,0,0,待 Grok 評分,待 Grok 評分
5,5,FSLR,第一太陽能,73,中,FSLR,221.71,23.8,15.18,55.5,0.73,217.73,202.67,1.3465,240.84,低,基底+40 · CB+0 · PullbackQ+15 · VS+0 · RS+8 · TC+10 · Bonus+0,從20日高點回檔7.9%；守EMA20；1M報酬15.2%；SPY:+3.5%&QQQ:+8.5%；RSI56健康；MACD金叉多頭,0,15,0,8,10,0,待 Grok 評分,待 Grok 評分
6,6,NVDA,輝達,73,中,NVDA,220.61,5343.3,9.18,59.9,0.9,213.04,194.72,0.6421,236.54,低,基底+40 · CB+0 · PullbackQ+15 · VS+0 · RS+8 · TC+10 · Bonus+0,從20日高點回檔6.7%；守EMA20；1M報酬9.2%；SPY:+3.5%&QQQ:+8.5%；RSI60健康；MACD金叉多頭；站上SMA200（斜率上升）,0,15,0,8,10,0,待 Grok 評分,待 Grok 評分
7,7,VTRS,VTRS,73,中,VTRS,16.17,18.8,8.74,56.4,1.04,15.99,14.56,-0.0241,17.53,低,基底+40 · CB+4 · PullbackQ+15 · VS+0 · RS+8 · TC+6 · Bonus+0,從20日高點回檔7.8%；守EMA20；1M報酬8.7%；SPY:+3.5%&QQQ:+8.5%；RSI56健康；MACD多頭；站上SMA200（斜率上升）,4,15,0,8,6,0,待 Grok 評分,待 Grok 評分
8,8,VLO,瓦萊羅,70,中,VLO,262.62,78.0,16.06,64.8,1.3,246.57,241.19,1.374,262.89,低,基底+40 · CB+8 · PullbackQ+0 · VS+4 · RS+8 · TC+10 · Bonus+0,從20日高點回檔0.1%；守EMA20；1M報酬16.1%；SPY:+3.5%&QQQ:+8.5%；RSI65健康；MACD金叉多頭；站上SMA200（斜率上升）,8,0,4,8,10,0,待 Grok 評分,待 Grok 評分
9,9,CVX,雪佛龍,70,中,CVX,197.25,392.8,8.63,63.8,1.21,188.09,191.61,1.407,198.87,低,基底+40 · CB+8 · PullbackQ+0 · VS+4 · RS+8 · TC+10 · Bonus+0,從20日高點回檔0.8%；守EMA20；1M報酬8.6%；SPY:+3.5%&QQQ:+8.5%；RSI64健康；MACD金叉多頭；站上SMA200（斜率上升）,8,0,4,8,10,0,待 Grok 評分,待 Grok 評分
10,10,BEN,BEN,69,中,BEN,30.79,16.0,11.03,60.1,0.98,30.17,26.73,-0.0615,32.44,低,基底+40 · CB+0 · PullbackQ+15 · VS+0 · RS+8 · TC+6 · Bonus+0,從20日高點回檔5.1%；守EMA20；1M報酬11.0%；SPY:+3.5%&QQQ:+8.5%；RSI60健康；MACD多頭；站上SMA200（斜率上升）,0,15,0,8,6,0,待 Grok 評分,待 Grok 評分
11,11,CRWD,CrowdStrike,68,中,CRWD,616.88,157.0,42.42,83.9,1.51,522.12,449.99,12.5546,634.24,低,基底+40 · CB+12 · PullbackQ+0 · VS+8 · RS+8 · TC+0 · Bonus+0,從20日高點回檔2.7%；守EMA20；1M報酬42.4%；SPY:+3.5%&QQQ:+8.5%；RSI84健康；MACD金叉多頭；站上SMA200（斜率上升）,12,0,8,8,0,0,待 Grok 評分,待 Grok 評分
