Final_Rank,Rank,Ticker,CN_Name,New_Grok_Elite_Score,風險等級,Company_Name,Current_Price,Market_Cap_B,1M_Return_pct,RSI,Volume_Ratio,EMA20,SMA50,MACD_Hist,High_20,Gap_Risk,Score_Breakdown,Reason,CB_score,PullbackQ_score,VS_score,RS_score,TC_score,Bonus_score,X_Catalyst_Score,X_Catalyst_Reason
1,1,AMD,超微半導體,100,低,"Advanced Micro Devices, Inc.",545.09,889.8,12.53,62.8,1.56,496.58,495.59,6.702,551.42,高,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+12 · TC+10 · Bonus+5,從20日高點回檔1.1%；站上EMA20(+9.8%)；1M報酬12.5%；超額報酬vs SPY:+13.2%；SPY:-0.6%&QQQ:-0.1%；RSI63；MACD金叉多頭；站上SMA200,12,15,8,12,10,5,待 Grok 評分,待 Grok 評分
2,2,INTC,英特爾,100,低,Intel Corporation,108.8,571.7,12.52,62.0,1.59,98.23,97.17,1.53,111.37,高,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+12 · TC+10 · Bonus+5,從20日高點回檔2.3%；站上EMA20(+10.8%)；1M報酬12.5%；超額報酬vs SPY:+13.2%；SPY:-0.6%&QQQ:-0.1%；RSI62；MACD金叉多頭；站上SMA200,12,15,8,12,10,5,待 Grok 評分,待 Grok 評分
3,3,TMO,賽默飛世爾,100,低,Thermo Fisher Scientific Inc,658.32,243.4,11.85,72.1,2.17,618.13,587.94,2.0684,663.57,低,基底+40 · CB+18 · PullbackQ+15 · VS+12 · RS+12 · TC+0 · Bonus+5,從20日高點回檔0.8%；站上EMA20(+6.5%)；1M報酬11.8%；超額報酬vs SPY:+12.5%；SPY:-0.6%&QQQ:-0.1%；RSI72；MACD金叉多頭；站上SMA200,18,15,12,12,0,5,待 Grok 評分,待 Grok 評分
4,4,PSKY,Paramount Skydance Corporation,100,低,Paramount Skydance Corporation,10.62,11.9,2.29,54.0,2.46,10.54,9.64,-0.0384,11.28,低,基底+40 · CB+18 · PullbackQ+13 · VS+12 · RS+6 · TC+6 · Bonus+5,從20日高點回檔5.9%；站上EMA20(+0.8%)；1M報酬2.3%；超額報酬vs SPY:+2.9%；SPY:-0.6%&QQQ:-0.1%；RSI54；MACD多頭,18,13,12,6,6,5,待 Grok 評分,待 Grok 評分
5,5,SMCI,"Super Micro Computer, Inc.",92,低,"Super Micro Computer, Inc.",40.35,26.5,7.86,58.8,1.64,37.35,33.34,-0.2512,41.53,高,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+12 · TC+0 · Bonus+5,從20日高點回檔2.8%；站上EMA20(+8.0%)；1M報酬7.9%；超額報酬vs SPY:+8.5%；SPY:-0.6%&QQQ:-0.1%；RSI59；MACD待確認；站上SMA200,12,15,8,12,0,5,待 Grok 評分,待 Grok 評分
6,6,EBAY,eBay Inc.,89,低,eBay Inc.,112.9,50.2,10.73,62.6,1.43,106.88,108.29,1.0006,113.31,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+12 · TC+10 · Bonus+0,從20日高點回檔0.4%；站上EMA20(+5.6%)；1M報酬10.7%；超額報酬vs SPY:+11.4%；SPY:-0.6%&QQQ:-0.1%；RSI63；MACD金叉多頭；站上SMA200,8,15,4,12,10,0,待 Grok 評分,待 Grok 評分
7,7,FTNT,飛塔,89,低,"Fortinet, Inc.",172.58,126.6,9.22,61.3,1.27,162.93,160.04,1.4737,176.1,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+12 · TC+10 · Bonus+0,從20日高點回檔2.0%；站上EMA20(+5.9%)；1M報酬9.2%；超額報酬vs SPY:+9.9%；SPY:-0.6%&QQQ:-0.1%；RSI61；MACD金叉多頭；站上SMA200,8,15,4,12,10,0,待 Grok 評分,待 Grok 評分
8,8,MO,奧馳亞,89,低,"Altria Group, Inc.",69.7,116.4,8.63,59.0,1.21,68.13,68.25,0.366,70.71,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+12 · TC+10 · Bonus+0,從20日高點回檔1.4%；站上EMA20(+2.3%)；1M報酬8.6%；超額報酬vs SPY:+9.3%；SPY:-0.6%&QQQ:-0.1%；RSI59；MACD金叉多頭；站上SMA200,8,15,4,12,10,0,待 Grok 評分,待 Grok 評分
9,9,PGR,Progressive Corporation (The),89,低,Progressive Corporation (The),216.29,125.7,4.37,48.3,2.04,217.8,215.92,-0.3651,225.45,低,基底+40 · CB+10 · PullbackQ+13 · VS+12 · RS+9 · TC+0 · Bonus+5,從20日高點回檔4.1%；貼近EMA20(-0.7%，整理中)；1M報酬4.4%；超額報酬vs SPY:+5.0%；SPY:-0.6%&QQQ:-0.1%；RSI48；MACD待確認；站上SMA200,10,13,12,9,0,5,待 Grok 評分,待 Grok 評分
10,10,DHR,丹納赫,87,低,Danaher Corporation,212.5,149.4,6.47,57.7,1.82,207.48,203.52,-0.4293,220.67,低,基底+40 · CB+12 · PullbackQ+13 · VS+8 · RS+9 · TC+0 · Bonus+5,從20日高點回檔3.7%；站上EMA20(+2.4%)；1M報酬6.5%；超額報酬vs SPY:+7.1%；SPY:-0.6%&QQQ:-0.1%；RSI58；MACD待確認；站上SMA200,12,13,8,9,0,5,待 Grok 評分,待 Grok 評分
