Final_Rank,Rank,Ticker,CN_Name,New_Grok_Elite_Score,風險等級,Company_Name,Current_Price,Market_Cap_B,1M_Return_pct,RSI,Volume_Ratio,EMA20,SMA50,MACD_Hist,High_20,Gap_Risk,Score_Breakdown,Reason,CB_score,PullbackQ_score,VS_score,RS_score,TC_score,Bonus_score,X_Catalyst_Score,X_Catalyst_Reason
1,1,ZS,Zscaler,78,中,ZS,174.69,28.1,29.71,72.5,2.1,147.98,142.79,3.4555,178.26,高,基底+40 · CB+18 · PullbackQ+0 · VS+12 · RS+8 · TC+0 · Bonus+0,從20日高點回檔2.0%；守EMA20；1M報酬29.7%；SPY:+4.0%&QQQ:+8.8%；RSI72健康；MACD金叉多頭,18,0,12,8,0,0,待 Grok 評分,待 Grok 評分
2,2,D,D,78,中,D,67.56,59.4,8.23,68.9,6.09,63.0,62.43,0.2744,68.97,高,基底+40 · CB+18 · PullbackQ+0 · VS+12 · RS+8 · TC+0 · Bonus+0,從20日高點回檔2.0%；守EMA20；1M報酬8.2%；SPY:+4.0%&QQQ:+8.8%；RSI69健康；MACD金叉多頭；站上SMA200（斜率上升）,18,0,12,8,0,0,待 Grok 評分,待 Grok 評分
3,3,PWR,PWR,75,中,PWR,723.03,108.5,20.13,55.8,1.41,717.31,627.44,-2.6105,788.75,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+8 · TC+0 · Bonus+0,從20日高點回檔8.3%；守EMA20；1M報酬20.1%；SPY:+4.0%&QQQ:+8.8%；RSI56健康；MACD待確認；站上SMA200（斜率上升）,8,15,4,8,0,0,待 Grok 評分,待 Grok 評分
4,4,ON,安森美,73,中,ON,109.43,42.5,31.83,64.0,0.9,101.29,79.72,0.0001,119.1,低,基底+40 · CB+0 · PullbackQ+15 · VS+0 · RS+8 · TC+10 · Bonus+0,從20日高點回檔8.1%；守EMA20；1M報酬31.8%；SPY:+4.0%&QQQ:+8.8%；RSI64健康；MACD金叉多頭；站上SMA200（斜率上升）,0,15,0,8,10,0,待 Grok 評分,待 Grok 評分
5,5,VTRS,VTRS,73,中,VTRS,16.5,19.2,12.4,61.5,0.74,15.97,14.52,0.0459,17.53,低,基底+40 · CB+0 · PullbackQ+15 · VS+0 · RS+8 · TC+10 · Bonus+0,從20日高點回檔5.9%；守EMA20；1M報酬12.4%；SPY:+4.0%&QQQ:+8.8%；RSI61健康；MACD金叉多頭；站上SMA200（斜率上升）,0,15,0,8,10,0,待 Grok 評分,待 Grok 評分
6,6,LYB,LYB,73,中,LYB,74.13,23.9,11.86,52.2,0.71,73.56,73.78,0.006,78.43,低,基底+40 · CB+0 · PullbackQ+15 · VS+0 · RS+8 · TC+10 · Bonus+0,從20日高點回檔5.5%；守EMA20；1M報酬11.9%；SPY:+4.0%&QQQ:+8.8%；RSI52健康；MACD金叉多頭；站上SMA200（斜率上升）,0,15,0,8,10,0,待 Grok 評分,待 Grok 評分
7,7,NVDA,輝達,73,中,NVDA,222.32,5384.7,10.23,61.7,0.94,212.24,193.96,1.2576,236.54,低,基底+40 · CB+0 · PullbackQ+15 · VS+0 · RS+8 · TC+10 · Bonus+0,從20日高點回檔6.0%；守EMA20；1M報酬10.2%；SPY:+4.0%&QQQ:+8.8%；RSI62健康；MACD金叉多頭；站上SMA200（斜率上升）,0,15,0,8,10,0,待 Grok 評分,待 Grok 評分
8,8,BIIB,渤健,73,中,BIIB,191.91,28.3,8.21,52.5,0.88,190.89,185.53,0.1625,205.97,低,基底+40 · CB+0 · PullbackQ+15 · VS+0 · RS+8 · TC+10 · Bonus+0,從20日高點回檔6.8%；守EMA20；1M報酬8.2%；SPY:+4.0%&QQQ:+8.8%；RSI53健康；MACD金叉多頭；站上SMA200（斜率上升）,0,15,0,8,10,0,待 Grok 評分,待 Grok 評分
9,9,Q,Q,72,中,Q,149.03,31.2,9.35,53.9,1.07,147.87,130.72,0.0573,171.52,低,基底+40 · CB+4 · PullbackQ+10 · VS+0 · RS+8 · TC+10 · Bonus+0,從20日高點回檔13.1%；守EMA20；1M報酬9.3%；SPY:+4.0%&QQQ:+8.8%；RSI54健康；MACD金叉多頭,4,10,0,8,10,0,待 Grok 評分,待 Grok 評分
10,10,VRT,VRT,70,中,VRT,339.73,130.5,10.54,53.7,1.36,339.4,298.6,-0.2654,379.93,低,基底+40 · CB+8 · PullbackQ+10 · VS+4 · RS+8 · TC+0 · Bonus+0,從20日高點回檔10.6%；守EMA20；1M報酬10.5%；SPY:+4.0%&QQQ:+8.8%；RSI54健康；MACD待確認；站上SMA200（斜率上升）,8,10,4,8,0,0,待 Grok 評分,待 Grok 評分
