Final_Rank,Rank,Ticker,CN_Name,New_Grok_Elite_Score,風險等級,Company_Name,Current_Price,Market_Cap_B,1M_Return_pct,RSI,Volume_Ratio,EMA20,SMA50,MACD_Hist,High_20,Gap_Risk,Score_Breakdown,Reason,CB_score,PullbackQ_score,VS_score,RS_score,TC_score,Bonus_score,X_Catalyst_Score,X_Catalyst_Reason
1,1,META,Meta平台,100,低,"Meta Platforms, Inc.",653.69,1665.3,9.88,70.4,2.07,592.83,598.58,9.512,657.86,高,基底+40 · CB+18 · PullbackQ+15 · VS+12 · RS+12 · TC+0 · Bonus+5,從20日高點回檔0.6%；站上EMA20(+10.3%)；1M報酬9.9%；超額報酬vs SPY:+11.3%；SPY:-1.4%&QQQ:-0.6%；RSI70；MACD金叉多頭；站上SMA200,18,15,12,12,0,5,待 Grok 評分,待 Grok 評分
2,2,AMD,超微半導體,89,低,"Advanced Micro Devices, Inc.",521.1,850.7,10.98,60.4,1.22,481.96,498.59,5.4969,526.79,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+12 · TC+10 · Bonus+0,從20日高點回檔1.1%；站上EMA20(+8.1%)；1M報酬11.0%；超額報酬vs SPY:+12.4%；SPY:-1.4%&QQQ:-0.6%；RSI60；MACD金叉多頭；站上SMA200,8,15,4,12,10,0,待 Grok 評分,待 Grok 評分
3,3,BG,Bunge Limited,89,低,Bunge Limited,123.5,23.7,10.32,63.3,1.48,116.96,113.71,1.0923,126.49,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+12 · TC+10 · Bonus+0,從20日高點回檔2.4%；站上EMA20(+5.6%)；1M報酬10.3%；超額報酬vs SPY:+11.7%；SPY:-1.4%&QQQ:-0.6%；RSI63；MACD金叉多頭；站上SMA200,8,15,4,12,10,0,待 Grok 評分,待 Grok 評分
4,4,QCOM,高通,87,低,QUALCOMM Incorporated,176.4,188.4,9.37,62.3,1.43,166.76,167.92,2.0896,183.49,低,基底+40 · CB+8 · PullbackQ+13 · VS+4 · RS+12 · TC+10 · Bonus+0,從20日高點回檔3.9%；站上EMA20(+5.8%)；1M報酬9.4%；超額報酬vs SPY:+10.7%；SPY:-1.4%&QQQ:-0.6%；RSI62；MACD金叉多頭；站上SMA200,8,13,4,12,10,0,待 Grok 評分,待 Grok 評分
5,5,HPE,Hewlett Packard Enterprise Comp,87,低,Hewlett Packard Enterprise Comp,58.9,78.2,7.72,62.8,1.31,53.75,50.54,0.096,63.44,中,基底+40 · CB+8 · PullbackQ+13 · VS+4 · RS+12 · TC+10 · Bonus+0,從20日高點回檔7.2%；站上EMA20(+9.6%)；1M報酬7.7%；超額報酬vs SPY:+9.1%；SPY:-1.4%&QQQ:-0.6%；RSI63；MACD金叉多頭；站上SMA200,8,13,4,12,10,0,待 Grok 評分,待 Grok 評分
6,6,OKE,"ONEOK, Inc.",84,低,"ONEOK, Inc.",95.82,60.4,6.07,57.2,1.24,94.48,91.5,0.0271,99.85,低,基底+40 · CB+8 · PullbackQ+13 · VS+4 · RS+9 · TC+10 · Bonus+0,從20日高點回檔4.0%；站上EMA20(+1.4%)；1M報酬6.1%；超額報酬vs SPY:+7.4%；SPY:-1.4%&QQQ:-0.6%；RSI57；MACD金叉多頭；站上SMA200,8,13,4,9,10,0,待 Grok 評分,待 Grok 評分
7,7,SLB,斯倫貝謝,83,低,SLB Limited,57.05,84.7,7.79,60.8,1.49,55.21,50.97,0.0837,60.15,低,基底+40 · CB+8 · PullbackQ+13 · VS+0 · RS+12 · TC+10 · Bonus+0,從20日高點回檔5.2%；站上EMA20(+3.3%)；1M報酬7.8%；超額報酬vs SPY:+9.2%；SPY:-1.4%&QQQ:-0.6%；RSI61；MACD金叉多頭；站上SMA200,8,13,0,12,10,0,待 Grok 評分,待 Grok 評分
8,8,AAPL,蘋果公司,83,低,Apple Inc.,315.34,4602.1,2.3,49.4,1.61,316.67,316.32,0.4159,330.81,低,基底+40 · CB+6 · PullbackQ+13 · VS+8 · RS+6 · TC+10 · Bonus+0,從20日高點回檔4.7%；貼近EMA20(-0.4%，整理中)；1M報酬2.3%；超額報酬vs SPY:+3.7%；SPY:-1.4%&QQQ:-0.6%；RSI49；MACD金叉多頭；站上SMA200,6,13,8,6,10,0,待 Grok 評分,待 Grok 評分
9,9,CF,"CF Industries Holdings, Inc.",82,低,"CF Industries Holdings, Inc.",138.11,20.9,14.28,65.9,1.23,129.28,122.02,0.8993,141.27,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+12 · TC+3 · Bonus+0,從20日高點回檔2.2%；站上EMA20(+6.8%)；1M報酬14.3%；超額報酬vs SPY:+15.7%；SPY:-1.4%&QQQ:-0.6%；RSI66；MACD金叉多頭；站上SMA200,8,15,4,12,3,0,待 Grok 評分,待 Grok 評分
10,10,ADM,Archer-Daniels-Midland Company,82,低,Archer-Daniels-Midland Company,86.55,41.7,8.21,65.3,1.44,82.4,80.96,0.595,87.08,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+12 · TC+3 · Bonus+0,從20日高點回檔0.6%；站上EMA20(+5.0%)；1M報酬8.2%；超額報酬vs SPY:+9.6%；SPY:-1.4%&QQQ:-0.6%；RSI65；MACD金叉多頭；站上SMA200,8,15,4,12,3,0,待 Grok 評分,待 Grok 評分
