Final_Rank,Rank,Ticker,CN_Name,New_Grok_Elite_Score,風險等級,Company_Name,Current_Price,Market_Cap_B,1M_Return_pct,RSI,Volume_Ratio,EMA20,SMA50,MACD_Hist,High_20,Gap_Risk,Score_Breakdown,Reason,CB_score,PullbackQ_score,VS_score,RS_score,TC_score,Bonus_score,X_Catalyst_Score,X_Catalyst_Reason
1,1,DASH,DoorDash,97,低,"DoorDash, Inc.",209.86,91.4,9.4,64.1,1.64,196.61,180.71,2.083,222.39,低,基底+40 · CB+12 · PullbackQ+13 · VS+8 · RS+9 · TC+10 · Bonus+5,從20日高點回檔5.6%；站上EMA20(+6.7%)；1M報酬9.4%；超額報酬vs SPY:+7.0%；SPY:+2.4%&QQQ:-0.6%；RSI64；MACD金叉多頭；站上SMA200,12,13,8,9,10,5,待 Grok 評分,待 Grok 評分
2,2,TTWO,"Take-Two Interactive Software, ",96,低,"Take-Two Interactive Software, ",253.57,47.4,4.26,60.5,1.76,241.81,236.0,0.372,256.62,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+6 · TC+10 · Bonus+5,從20日高點回檔1.2%；站上EMA20(+4.9%)；1M報酬4.3%；超額報酬vs SPY:+1.9%；SPY:+2.4%&QQQ:-0.6%；RSI60；MACD金叉多頭；站上SMA200,12,15,8,6,10,5,待 Grok 評分,待 Grok 評分
3,3,TSCO,Tractor Supply Company,95,低,Tractor Supply Company,34.62,18.0,13.77,69.0,1.7,32.07,30.91,0.461,34.86,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+12 · TC+3 · Bonus+5,從20日高點回檔0.7%；站上EMA20(+7.9%)；1M報酬13.8%；超額報酬vs SPY:+11.4%；SPY:+2.4%&QQQ:-0.6%；RSI69；MACD金叉多頭,12,15,8,12,3,5,待 Grok 評分,待 Grok 評分
4,4,ABNB,Airbnb,92,低,"Airbnb, Inc.",184.7,110.6,24.28,81.5,1.91,154.2,144.51,3.2335,185.99,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+12 · TC+0 · Bonus+5,從20日高點回檔0.7%；站上EMA20(+19.8%)；1M報酬24.3%；超額報酬vs SPY:+21.9%；SPY:+2.4%&QQQ:-0.6%；RSI82；MACD金叉多頭；站上SMA200,12,15,8,12,0,5,待 Grok 評分,待 Grok 評分
5,5,NTAP,"NetApp, Inc.",92,低,"NetApp, Inc.",198.72,39.0,17.68,72.8,1.64,177.95,167.85,2.0964,202.26,中,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+12 · TC+0 · Bonus+5,從20日高點回檔1.8%；站上EMA20(+11.7%)；1M報酬17.7%；超額報酬vs SPY:+15.3%；SPY:+2.4%&QQQ:-0.6%；RSI73；MACD金叉多頭；站上SMA200,12,15,8,12,0,5,待 Grok 評分,待 Grok 評分
6,6,VRTX,福泰製藥,87,低,Vertex Pharmaceuticals Incorpor,523.91,132.8,7.94,70.2,1.92,486.44,474.67,2.6475,546.17,中,基底+40 · CB+12 · PullbackQ+13 · VS+8 · RS+9 · TC+0 · Bonus+5,從20日高點回檔4.1%；站上EMA20(+7.7%)；1M報酬7.9%；超額報酬vs SPY:+5.5%；SPY:+2.4%&QQQ:-0.6%；RSI70；MACD金叉多頭；站上SMA200,12,13,8,9,0,5,待 Grok 評分,待 Grok 評分
7,7,KKR,KKR & Co. Inc.,84,低,KKR & Co. Inc.,103.83,93.2,7.31,57.4,1.38,101.2,97.04,0.2151,109.41,低,基底+40 · CB+8 · PullbackQ+13 · VS+4 · RS+9 · TC+10 · Bonus+0,從20日高點回檔5.1%；站上EMA20(+2.6%)；1M報酬7.3%；超額報酬vs SPY:+4.9%；SPY:+2.4%&QQQ:-0.6%；RSI57；MACD金叉多頭,8,13,4,9,10,0,待 Grok 評分,待 Grok 評分
8,8,APA,APA Corporation,82,低,APA Corporation,41.02,14.4,23.53,68.9,1.26,36.22,35.19,0.401,41.18,高,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+12 · TC+3 · Bonus+0,從20日高點回檔0.4%；站上EMA20(+13.3%)；1M報酬23.5%；超額報酬vs SPY:+21.1%；SPY:+2.4%&QQQ:-0.6%；RSI69；MACD金叉多頭；站上SMA200,8,15,4,12,3,0,待 Grok 評分,待 Grok 評分
9,9,DXCM,德康醫療,82,低,"DexCom, Inc.",87.65,33.1,16.93,67.9,1.32,79.38,74.78,1.0099,88.18,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+12 · TC+3 · Bonus+0,從20日高點回檔0.6%；站上EMA20(+10.4%)；1M報酬16.9%；超額報酬vs SPY:+14.5%；SPY:+2.4%&QQQ:-0.6%；RSI68；MACD金叉多頭；站上SMA200,8,15,4,12,3,0,待 Grok 評分,待 Grok 評分
10,10,CVNA,Carvana Co.,81,低,Carvana Co.,74.16,81.5,12.65,62.6,1.11,67.18,66.76,1.0793,74.78,中,基底+40 · CB+4 · PullbackQ+15 · VS+0 · RS+12 · TC+10 · Bonus+0,從20日高點回檔0.8%；站上EMA20(+10.4%)；1M報酬12.7%；超額報酬vs SPY:+10.3%；SPY:+2.4%&QQQ:-0.6%；RSI63；MACD金叉多頭；站上SMA200,4,15,0,12,10,0,待 Grok 評分,待 Grok 評分
