Final_Rank,Rank,Ticker,CN_Name,New_Grok_Elite_Score,風險等級,Company_Name,Current_Price,Market_Cap_B,1M_Return_pct,RSI,Volume_Ratio,EMA20,SMA50,MACD_Hist,High_20,Gap_Risk,Score_Breakdown,Reason,CB_score,PullbackQ_score,VS_score,RS_score,TC_score,Bonus_score,X_Catalyst_Score,X_Catalyst_Reason
1,1,T,美國電話電報,100,低,T,23.04,160.1,5.65,62.0,2.1,21.82,22.72,0.3066,23.65,低,基底+40 · CB+18 · PullbackQ+15 · VS+12 · RS+9 · TC+10 · Bonus+5,從20日高點回檔2.6%；站上EMA20(+5.6%)；1M報酬5.6%；超額報酬vs SPY:+5.2%；SPY:+0.4%&QQQ:-4.4%；RSI62；MACD金叉多頭,18,15,12,9,10,5,待 Grok 評分,待 Grok 評分
2,2,EQT,EQT Corporation,100,低,EQT Corporation,54.01,33.8,4.19,61.6,2.15,51.0,53.12,0.318,54.06,高,基底+40 · CB+18 · PullbackQ+15 · VS+12 · RS+6 · TC+10 · Bonus+5,從20日高點回檔0.1%；站上EMA20(+5.9%)；1M報酬4.2%；超額報酬vs SPY:+3.8%；SPY:+0.4%&QQQ:-4.4%；RSI62；MACD金叉多頭,18,15,12,6,10,5,待 Grok 評分,待 Grok 評分
3,3,VTRS,Viatris Inc.,100,低,Viatris Inc.,17.01,19.8,10.6,56.0,1.52,16.68,16.35,0.0681,17.68,低,基底+40 · CB+12 · PullbackQ+13 · VS+8 · RS+12 · TC+10 · Bonus+5,從20日高點回檔3.8%；站上EMA20(+2.0%)；1M報酬10.6%；超額報酬vs SPY:+10.2%；SPY:+0.4%&QQQ:-4.4%；RSI56；MACD金叉多頭；站上SMA200,12,13,8,12,10,5,待 Grok 評分,待 Grok 評分
4,4,GM,通用汽車,96,低,General Motors Company,82.13,74.3,2.11,62.1,1.74,78.1,78.81,0.4729,84.33,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+6 · TC+10 · Bonus+5,從20日高點回檔2.6%；站上EMA20(+5.2%)；1M報酬2.1%；超額報酬vs SPY:+1.7%；SPY:+0.4%&QQQ:-4.4%；RSI62；MACD金叉多頭；站上SMA200,12,15,8,6,10,5,待 Grok 評分,待 Grok 評分
5,5,PCAR,PACCAR Inc.,95,低,PACCAR Inc.,131.11,69.0,9.15,66.8,1.53,123.7,117.99,0.4004,131.85,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+12 · TC+3 · Bonus+5,從20日高點回檔0.6%；站上EMA20(+6.0%)；1M報酬9.1%；超額報酬vs SPY:+8.7%；SPY:+0.4%&QQQ:-4.4%；RSI67；MACD金叉多頭；站上SMA200,12,15,8,12,3,5,待 Grok 評分,待 Grok 評分
6,6,HBAN,Huntington Bancshares Incorpora,95,低,Huntington Bancshares Incorpora,18.27,37.0,7.16,60.9,1.59,17.86,16.9,-0.0211,18.58,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+9 · TC+6 · Bonus+5,從20日高點回檔1.7%；站上EMA20(+2.3%)；1M報酬7.2%；超額報酬vs SPY:+6.7%；SPY:+0.4%&QQQ:-4.4%；RSI61；MACD多頭；站上SMA200,12,15,8,9,6,5,待 Grok 評分,待 Grok 評分
7,7,SJM,The J.M. Smucker Company,89,低,The J.M. Smucker Company,118.05,12.6,10.13,62.5,1.49,112.5,108.53,0.1607,118.14,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+12 · TC+10 · Bonus+0,從20日高點回檔0.1%；站上EMA20(+4.9%)；1M報酬10.1%；超額報酬vs SPY:+9.7%；SPY:+0.4%&QQQ:-4.4%；RSI63；MACD金叉多頭；站上SMA200,8,15,4,12,10,0,待 Grok 評分,待 Grok 評分
8,8,CB,丘博集團,89,低,Chubb Limited,343.23,133.1,5.54,50.2,2.29,345.4,332.6,-1.0552,365.29,低,基底+40 · CB+10 · PullbackQ+13 · VS+12 · RS+9 · TC+0 · Bonus+5,從20日高點回檔6.0%；貼近EMA20(-0.6%，整理中)；1M報酬5.5%；超額報酬vs SPY:+5.1%；SPY:+0.4%&QQQ:-4.4%；RSI50；MACD待確認；站上SMA200,10,13,12,9,0,5,待 Grok 評分,待 Grok 評分
9,9,UNP,聯合太平洋,87,低,Union Pacific Corporation,292.56,173.7,12.56,62.9,1.2,285.31,273.01,0.7457,303.15,低,基底+40 · CB+8 · PullbackQ+13 · VS+4 · RS+12 · TC+10 · Bonus+0,從20日高點回檔3.5%；站上EMA20(+2.5%)；1M報酬12.6%；超額報酬vs SPY:+12.2%；SPY:+0.4%&QQQ:-4.4%；RSI63；MACD金叉多頭；站上SMA200,8,13,4,12,10,0,待 Grok 評分,待 Grok 評分
10,10,EFX,"Equifax, Inc.",87,低,"Equifax, Inc.",170.45,20.0,11.05,51.5,1.23,169.82,165.44,0.7294,182.34,低,基底+40 · CB+8 · PullbackQ+13 · VS+4 · RS+12 · TC+10 · Bonus+0,從20日高點回檔6.5%；站上EMA20(+0.4%)；1M報酬11.0%；超額報酬vs SPY:+10.6%；SPY:+0.4%&QQQ:-4.4%；RSI52；MACD金叉多頭,8,13,4,12,10,0,待 Grok 評分,待 Grok 評分
