Final_Rank,Rank,Ticker,CN_Name,New_Grok_Elite_Score,風險等級,Company_Name,Current_Price,Market_Cap_B,1M_Return_pct,RSI,Volume_Ratio,EMA20,SMA50,MACD_Hist,High_20,Gap_Risk,Score_Breakdown,Reason,CB_score,PullbackQ_score,VS_score,RS_score,TC_score,Bonus_score,X_Catalyst_Score,X_Catalyst_Reason
1,1,SMCI,"Super Micro Computer, Inc.",100,低,"Super Micro Computer, Inc.",37.61,24.3,36.02,67.5,2.94,30.32,31.18,0.9134,38.15,高,基底+40 · CB+18 · PullbackQ+15 · VS+12 · RS+12 · TC+3 · Bonus+5,從20日高點回檔1.4%；站上EMA20(+24.1%)；1M報酬36.0%；超額報酬vs SPY:+33.3%；SPY:+2.7%&QQQ:+0.6%；RSI68；MACD金叉多頭；站上SMA200,18,15,12,12,3,5,待 Grok 評分,待 Grok 評分
2,2,LITE,Lumentum Holdings Inc.,100,低,Lumentum Holdings Inc.,932.47,82.6,14.44,60.5,2.27,804.09,816.89,20.3302,966.6,高,基底+40 · CB+18 · PullbackQ+13 · VS+12 · RS+12 · TC+10 · Bonus+5,從20日高點回檔3.5%；站上EMA20(+16.0%)；1M報酬14.4%；超額報酬vs SPY:+11.7%；SPY:+2.7%&QQQ:+0.6%；RSI60；MACD金叉多頭；站上SMA200,18,13,12,12,10,5,待 Grok 評分,待 Grok 評分
3,3,TPR,"Tapestry, Inc.",100,低,"Tapestry, Inc.",153.74,31.1,13.58,53.4,1.68,153.17,146.73,0.723,164.8,低,基底+40 · CB+12 · PullbackQ+13 · VS+8 · RS+12 · TC+10 · Bonus+5,從20日高點回檔6.7%；站上EMA20(+0.4%)；1M報酬13.6%；超額報酬vs SPY:+10.8%；SPY:+2.7%&QQQ:+0.6%；RSI53；MACD金叉多頭；站上SMA200,12,13,8,12,10,5,待 Grok 評分,待 Grok 評分
4,4,COHR,Coherent Corp.,97,低,Coherent Corp.,355.64,69.6,14.44,57.1,1.94,316.43,341.14,10.9758,391.37,高,基底+40 · CB+12 · PullbackQ+10 · VS+8 · RS+12 · TC+10 · Bonus+5,從20日高點回檔9.1%；站上EMA20(+12.4%)；1M報酬14.4%；超額報酬vs SPY:+11.7%；SPY:+2.7%&QQQ:+0.6%；RSI57；MACD金叉多頭；站上SMA200,12,10,8,12,10,5,待 Grok 評分,待 Grok 評分
5,5,CSCO,思科系統,96,低,"Cisco Systems, Inc.",123.88,488.3,5.8,63.1,1.74,118.23,117.81,0.8948,124.71,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+6 · TC+10 · Bonus+5,從20日高點回檔0.7%；站上EMA20(+4.8%)；1M報酬5.8%；超額報酬vs SPY:+3.1%；SPY:+2.7%&QQQ:+0.6%；RSI63；MACD金叉多頭；站上SMA200,12,15,8,6,10,5,待 Grok 評分,待 Grok 評分
6,6,COR,"Cencora, Inc.",94,低,"Cencora, Inc.",314.17,60.0,3.93,52.7,1.67,313.36,296.57,0.2386,333.95,低,基底+40 · CB+12 · PullbackQ+13 · VS+8 · RS+6 · TC+10 · Bonus+5,從20日高點回檔5.9%；站上EMA20(+0.3%)；1M報酬3.9%；超額報酬vs SPY:+1.2%；SPY:+2.7%&QQQ:+0.6%；RSI53；MACD金叉多頭,12,13,8,6,10,5,待 Grok 評分,待 Grok 評分
7,7,ORCL,甲骨文,89,低,Oracle Corporation,153.28,441.5,19.81,59.7,1.26,140.12,155.41,4.4409,154.89,中,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+12 · TC+10 · Bonus+0,從20日高點回檔1.0%；站上EMA20(+9.4%)；1M報酬19.8%；超額報酬vs SPY:+17.1%；SPY:+2.7%&QQQ:+0.6%；RSI60；MACD金叉多頭,8,15,4,12,10,0,待 Grok 評分,待 Grok 評分
8,8,JBL,Jabil Inc.,89,低,Jabil Inc.,366.16,38.4,12.04,63.9,1.29,333.82,344.54,6.8779,370.5,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+12 · TC+10 · Bonus+0,從20日高點回檔1.2%；站上EMA20(+9.7%)；1M報酬12.0%；超額報酬vs SPY:+9.3%；SPY:+2.7%&QQQ:+0.6%；RSI64；MACD金叉多頭；站上SMA200,8,15,4,12,10,0,待 Grok 評分,待 Grok 評分
9,9,AMCR,Amcor plc,86,低,Amcor plc,46.56,21.5,8.84,57.2,1.48,45.72,43.03,0.0207,48.0,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+9 · TC+10 · Bonus+0,從20日高點回檔3.0%；站上EMA20(+1.8%)；1M報酬8.8%；超額報酬vs SPY:+6.1%；SPY:+2.7%&QQQ:+0.6%；RSI57；MACD金叉多頭；站上SMA200,8,15,4,9,10,0,待 Grok 評分,待 Grok 評分
10,10,EL,"Estee Lauder Companies, Inc. (T",86,低,"Estee Lauder Companies, Inc. (T",87.68,31.7,8.43,59.2,1.47,85.24,83.98,0.4416,88.87,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+9 · TC+10 · Bonus+0,從20日高點回檔1.3%；站上EMA20(+2.9%)；1M報酬8.4%；超額報酬vs SPY:+5.7%；SPY:+2.7%&QQQ:+0.6%；RSI59；MACD金叉多頭,8,15,4,9,10,0,待 Grok 評分,待 Grok 評分
