Final_Rank,Rank,Ticker,CN_Name,New_Grok_Elite_Score,風險等級,Company_Name,Current_Price,Market_Cap_B,1M_Return_pct,RSI,Volume_Ratio,EMA20,SMA50,MACD_Hist,High_20,Gap_Risk,Score_Breakdown,Reason,CB_score,PullbackQ_score,VS_score,RS_score,TC_score,Bonus_score,X_Catalyst_Score,X_Catalyst_Reason
1,1,IVZ,Invesco Ltd,100,低,Invesco Ltd,30.11,13.3,15.94,60.6,1.51,29.0,28.0,0.1528,31.02,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+12 · TC+10 · Bonus+5,從20日高點回檔2.9%；站上EMA20(+3.8%)；1M報酬15.9%；超額報酬vs SPY:+15.3%；SPY:+0.7%&QQQ:-4.8%；RSI61；MACD金叉多頭；站上SMA200,12,15,8,12,10,5,待 Grok 評分,待 Grok 評分
2,2,ARES,Ares Management Corporation,100,低,Ares Management Corporation,127.76,28.8,12.2,59.2,1.52,121.85,122.97,0.5988,131.34,中,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+12 · TC+10 · Bonus+5,從20日高點回檔2.7%；站上EMA20(+4.8%)；1M報酬12.2%；超額報酬vs SPY:+11.5%；SPY:+0.7%&QQQ:-4.8%；RSI59；MACD金叉多頭,12,15,8,12,10,5,待 Grok 評分,待 Grok 評分
3,3,HIG,"The Hartford Insurance Group, I",99,低,"The Hartford Insurance Group, I",140.14,38.4,5.91,57.2,1.55,137.99,133.66,0.182,143.0,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+9 · TC+10 · Bonus+5,從20日高點回檔2.0%；站上EMA20(+1.6%)；1M報酬5.9%；超額報酬vs SPY:+5.3%；SPY:+0.7%&QQQ:-4.8%；RSI57；MACD金叉多頭；站上SMA200,12,15,8,9,10,5,待 Grok 評分,待 Grok 評分
4,4,TSN,"Tyson Foods, Inc.",99,低,"Tyson Foods, Inc.",60.71,21.4,5.03,64.2,1.9,58.01,59.2,0.2602,61.75,中,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+9 · TC+10 · Bonus+5,從20日高點回檔1.7%；站上EMA20(+4.6%)；1M報酬5.0%；超額報酬vs SPY:+4.4%；SPY:+0.7%&QQQ:-4.8%；RSI64；MACD金叉多頭；站上SMA200,12,15,8,9,10,5,待 Grok 評分,待 Grok 評分
5,5,BKR,Baker Hughes Company,97,低,Baker Hughes Company,60.59,60.1,6.41,60.6,1.54,57.35,60.24,0.5787,62.67,中,基底+40 · CB+12 · PullbackQ+13 · VS+8 · RS+9 · TC+10 · Bonus+5,從20日高點回檔3.3%；站上EMA20(+5.7%)；1M報酬6.4%；超額報酬vs SPY:+5.8%；SPY:+0.7%&QQQ:-4.8%；RSI61；MACD金叉多頭；站上SMA200,12,13,8,9,10,5,待 Grok 評分,待 Grok 評分
6,6,IQV,"IQVIA Holdings, Inc.",95,低,"IQVIA Holdings, Inc.",213.22,35.6,14.87,65.3,1.69,201.86,187.69,-0.6478,217.05,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+12 · TC+3 · Bonus+5,從20日高點回檔1.8%；站上EMA20(+5.6%)；1M報酬14.9%；超額報酬vs SPY:+14.2%；SPY:+0.7%&QQQ:-4.8%；RSI65；MACD待確認；站上SMA200,12,15,8,12,3,5,待 Grok 評分,待 Grok 評分
7,7,TXT,Textron Inc.,95,低,Textron Inc.,96.13,16.7,11.08,65.1,1.85,91.46,91.05,0.5032,97.32,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+12 · TC+3 · Bonus+5,從20日高點回檔1.2%；站上EMA20(+5.1%)；1M報酬11.1%；超額報酬vs SPY:+10.4%；SPY:+0.7%&QQQ:-4.8%；RSI65；MACD金叉多頭；站上SMA200,12,15,8,12,3,5,待 Grok 評分,待 Grok 評分
8,8,NSC,諾福克南方,93,低,Norfolk Southern Corporation,343.35,77.1,13.01,65.8,1.71,329.04,317.39,1.4608,358.6,低,基底+40 · CB+12 · PullbackQ+13 · VS+8 · RS+12 · TC+3 · Bonus+5,從20日高點回檔4.3%；站上EMA20(+4.3%)；1M報酬13.0%；超額報酬vs SPY:+12.4%；SPY:+0.7%&QQQ:-4.8%；RSI66；MACD金叉多頭；站上SMA200,12,13,8,12,3,5,待 Grok 評分,待 Grok 評分
9,9,WDAY,Workday,92,低,"Workday, Inc.",147.54,36.4,29.68,58.9,1.64,137.32,133.35,-0.2199,150.24,高,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+12 · TC+0 · Bonus+5,從20日高點回檔1.8%；站上EMA20(+7.4%)；1M報酬29.7%；超額報酬vs SPY:+29.0%；SPY:+0.7%&QQQ:-4.8%；RSI59；MACD待確認,12,15,8,12,0,5,待 Grok 評分,待 Grok 評分
10,10,RTX,雷神技術,92,低,RTX Corporation,218.42,294.4,17.06,77.3,1.72,198.22,187.03,1.8216,220.39,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+12 · TC+0 · Bonus+5,從20日高點回檔0.9%；站上EMA20(+10.2%)；1M報酬17.1%；超額報酬vs SPY:+16.4%；SPY:+0.7%&QQQ:-4.8%；RSI77；MACD金叉多頭；站上SMA200,12,15,8,12,0,5,待 Grok 評分,待 Grok 評分
