Final_Rank,Rank,Ticker,CN_Name,New_Grok_Elite_Score,風險等級,Company_Name,Current_Price,Market_Cap_B,1M_Return_pct,RSI,Volume_Ratio,EMA20,SMA50,MACD_Hist,High_20,Gap_Risk,Score_Breakdown,Reason,CB_score,PullbackQ_score,VS_score,RS_score,TC_score,Bonus_score,X_Catalyst_Score,X_Catalyst_Reason
1,1,MRVL,美滿電子,100,低,MRVL,290.79,254.6,76.29,85.9,3.22,195.43,153.32,6.4956,291.3,高,基底+40 · CB+18 · PullbackQ+15 · VS+12 · RS+12 · TC+0 · Bonus+5,從20日高點回檔0.2%；站上EMA20(+48.8%)；1M報酬76.3%；超額報酬vs SPY:+70.9%；SPY:+5.4%&QQQ:+10.7%；RSI86；MACD金叉多頭；站上SMA200,18,15,12,12,0,5,待 Grok 評分,待 Grok 評分
2,2,PANW,派拓網路,100,低,PANW,297.18,241.0,64.12,81.2,2.09,245.57,196.72,4.5252,302.95,低,基底+40 · CB+18 · PullbackQ+15 · VS+12 · RS+12 · TC+0 · Bonus+5,從20日高點回檔1.9%；站上EMA20(+21.0%)；1M報酬64.1%；超額報酬vs SPY:+58.7%；SPY:+5.4%&QQQ:+10.7%；RSI81；MACD金叉多頭；站上SMA200,18,15,12,12,0,5,待 Grok 評分,待 Grok 評分
3,3,IBM,IBM,92,低,IBM,329.23,309.4,42.83,85.5,1.51,258.54,241.22,11.3482,332.46,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+12 · TC+0 · Bonus+5,從20日高點回檔1.0%；站上EMA20(+27.3%)；1M報酬42.8%；超額報酬vs SPY:+37.4%；SPY:+5.4%&QQQ:+10.7%；RSI85；MACD金叉多頭；站上SMA200,12,15,8,12,0,5,待 Grok 評分,待 Grok 評分
4,4,APTV,APTV,92,低,APTV,73.85,15.6,22.09,75.8,1.5,61.19,60.7,2.2059,74.3,高,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+12 · TC+0 · Bonus+5,從20日高點回檔0.6%；站上EMA20(+20.7%)；1M報酬22.1%；超額報酬vs SPY:+16.7%；SPY:+5.4%&QQQ:+10.7%；RSI76；MACD金叉多頭,12,15,8,12,0,5,待 Grok 評分,待 Grok 評分
5,5,AVGO,博通,92,低,AVGO,481.57,2280.1,14.31,74.8,1.74,428.69,391.92,3.3516,488.82,中,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+12 · TC+0 · Bonus+5,從20日高點回檔1.5%；站上EMA20(+12.3%)；1M報酬14.3%；超額報酬vs SPY:+8.9%；SPY:+5.4%&QQQ:+10.7%；RSI75；MACD金叉多頭；站上SMA200,12,15,8,12,0,5,待 Grok 評分,待 Grok 評分
6,6,MGM,美高梅,90,低,MGM,48.36,12.4,25.61,74.1,1.51,40.95,38.58,1.2956,51.59,低,基底+40 · CB+12 · PullbackQ+13 · VS+8 · RS+12 · TC+0 · Bonus+5,從20日高點回檔6.3%；站上EMA20(+18.1%)；1M報酬25.6%；超額報酬vs SPY:+20.2%；SPY:+5.4%&QQQ:+10.7%；RSI74；MACD金叉多頭；站上SMA200,12,13,8,12,0,5,待 Grok 評分,待 Grok 評分
7,7,IVZ,IVZ,90,低,IVZ,27.58,12.2,7.36,56.8,1.69,27.18,25.58,-0.0463,28.71,低,基底+40 · CB+12 · PullbackQ+13 · VS+8 · RS+6 · TC+6 · Bonus+5,從20日高點回檔3.9%；站上EMA20(+1.5%)；1M報酬7.4%；超額報酬vs SPY:+2.0%；SPY:+5.4%&QQQ:+10.7%；RSI57；MACD多頭；站上SMA200,12,13,8,6,6,5,待 Grok 評分,待 Grok 評分
8,8,IBKR,IBKR,86,低,IBKR,88.72,39.5,10.38,64.2,1.21,83.95,78.09,0.0416,91.02,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+9 · TC+10 · Bonus+0,從20日高點回檔2.5%；站上EMA20(+5.7%)；1M報酬10.4%；超額報酬vs SPY:+5.0%；SPY:+5.4%&QQQ:+10.7%；RSI64；MACD金叉多頭；站上SMA200,8,15,4,9,10,0,待 Grok 評分,待 Grok 評分
9,9,FDX,聯邦快遞,86,低,FDX,329.0,78.5,3.71,60.7,1.67,317.6,305.17,2.5934,341.14,低,基底+40 · CB+12 · PullbackQ+13 · VS+8 · RS+3 · TC+10 · Bonus+0,從20日高點回檔3.6%；站上EMA20(+3.6%)；1M報酬3.7%；超額報酬vs SPY:-1.7%；SPY:+5.4%&QQQ:+10.7%；RSI61；MACD金叉多頭；站上SMA200,12,13,8,3,10,0,待 Grok 評分,待 Grok 評分
10,10,MNST,MNST,85,低,MNST,88.24,86.3,14.42,64.2,1.23,85.52,79.19,-0.0405,89.86,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+12 · TC+6 · Bonus+0,從20日高點回檔1.8%；站上EMA20(+3.2%)；1M報酬14.4%；超額報酬vs SPY:+9.0%；SPY:+5.4%&QQQ:+10.7%；RSI64；MACD多頭；站上SMA200,8,15,4,12,6,0,待 Grok 評分,待 Grok 評分
11,11,ARES,ARES,83,低,ARES,128.28,28.9,7.8,62.1,1.29,124.15,116.54,0.096,131.7,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+6 · TC+10 · Bonus+0,從20日高點回檔2.6%；站上EMA20(+3.3%)；1M報酬7.8%；超額報酬vs SPY:+2.4%；SPY:+5.4%&QQQ:+10.7%；RSI62；MACD金叉多頭,8,15,4,6,10,0,待 Grok 評分,待 Grok 評分
12,12,COHR,COHR,82,低,COHR,426.89,83.5,29.56,68.5,1.36,367.77,325.19,0.0076,433.69,高,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+12 · TC+3 · Bonus+0,從20日高點回檔1.6%；站上EMA20(+16.1%)；1M報酬29.6%；超額報酬vs SPY:+24.2%；SPY:+5.4%&QQQ:+10.7%；RSI68；MACD金叉多頭；站上SMA200,8,15,4,12,3,0,待 Grok 評分,待 Grok 評分
13,13,FCX,自由港麥克,82,低,FCX,71.72,103.1,26.83,67.2,1.44,64.18,62.51,0.8506,72.09,高,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+12 · TC+3 · Bonus+0,從20日高點回檔0.5%；站上EMA20(+11.8%)；1M報酬26.8%；超額報酬vs SPY:+21.4%；SPY:+5.4%&QQQ:+10.7%；RSI67；MACD金叉多頭；站上SMA200,8,15,4,12,3,0,待 Grok 評分,待 Grok 評分
14,14,CRM,Salesforce,81,低,CRM,200.84,164.5,9.26,62.5,1.25,184.01,181.1,3.2247,211.34,低,基底+40 · CB+8 · PullbackQ+13 · VS+4 · RS+6 · TC+10 · Bonus+0,從20日高點回檔5.0%；站上EMA20(+9.1%)；1M報酬9.3%；超額報酬vs SPY:+3.9%；SPY:+5.4%&QQQ:+10.7%；RSI62；MACD金叉多頭,8,13,4,6,10,0,待 Grok 評分,待 Grok 評分
15,15,GM,通用汽車,81,低,GM,81.73,73.7,7.87,58.3,1.44,79.3,77.3,0.7085,85.19,低,基底+40 · CB+8 · PullbackQ+13 · VS+4 · RS+6 · TC+10 · Bonus+0,從20日高點回檔4.1%；站上EMA20(+3.1%)；1M報酬7.9%；超額報酬vs SPY:+2.5%；SPY:+5.4%&QQQ:+10.7%；RSI58；MACD金叉多頭；站上SMA200,8,13,4,6,10,0,待 Grok 評分,待 Grok 評分
16,16,EW,EW,80,低,EW,87.66,50.5,4.38,63.6,1.23,84.39,81.96,0.5436,89.14,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+3 · TC+10 · Bonus+0,從20日高點回檔1.7%；站上EMA20(+3.9%)；1M報酬4.4%；超額報酬vs SPY:-1.0%；SPY:+5.4%&QQQ:+10.7%；RSI64；MACD金叉多頭；站上SMA200,8,15,4,3,10,0,待 Grok 評分,待 Grok 評分
17,17,C,花旗集團,80,低,C,131.26,223.9,3.48,63.6,1.23,126.05,123.67,0.4017,132.46,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+3 · TC+10 · Bonus+0,從20日高點回檔0.9%；站上EMA20(+4.1%)；1M報酬3.5%；超額報酬vs SPY:-1.9%；SPY:+5.4%&QQQ:+10.7%；RSI64；MACD金叉多頭；站上SMA200,8,15,4,3,10,0,待 Grok 評分,待 Grok 評分
18,18,ORCL,甲骨文,79,中,ORCL,244.58,703.4,42.34,77.7,1.36,201.09,174.74,5.1266,250.25,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+12 · TC+0 · Bonus+0,從20日高點回檔2.3%；站上EMA20(+21.6%)；1M報酬42.3%；超額報酬vs SPY:+36.9%；SPY:+5.4%&QQQ:+10.7%；RSI78；MACD金叉多頭；站上SMA200,8,15,4,12,0,0,待 Grok 評分,待 Grok 評分
19,19,AMAT,應用材料,79,中,AMAT,490.05,389.1,26.11,71.9,1.29,436.63,401.52,3.3702,491.51,高,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+12 · TC+0 · Bonus+0,從20日高點回檔0.3%；站上EMA20(+12.2%)；1M報酬26.1%；超額報酬vs SPY:+20.7%；SPY:+5.4%&QQQ:+10.7%；RSI72；MACD金叉多頭；站上SMA200,8,15,4,12,0,0,待 Grok 評分,待 Grok 評分
20,20,CDNS,Cadence設計,79,中,CDNS,416.39,114.8,22.13,77.8,1.39,366.74,327.16,4.1166,416.69,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+12 · TC+0 · Bonus+0,從20日高點回檔0.1%；站上EMA20(+13.5%)；1M報酬22.1%；超額報酬vs SPY:+16.7%；SPY:+5.4%&QQQ:+10.7%；RSI78；MACD金叉多頭；站上SMA200,8,15,4,12,0,0,待 Grok 評分,待 Grok 評分
21,21,CIEN,CIEN,79,中,CIEN,627.0,88.7,17.13,64.6,1.28,565.77,509.64,-0.5767,629.61,高,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+12 · TC+0 · Bonus+0,從20日高點回檔0.4%；站上EMA20(+10.8%)；1M報酬17.1%；超額報酬vs SPY:+11.7%；SPY:+5.4%&QQQ:+10.7%；RSI65；MACD待確認；站上SMA200,8,15,4,12,0,0,待 Grok 評分,待 Grok 評分
22,22,HOOD,Robinhood,79,中,HOOD,88.16,79.4,19.69,59.8,1.03,80.99,77.46,1.6389,94.4,低,基底+40 · CB+4 · PullbackQ+13 · VS+0 · RS+12 · TC+10 · Bonus+0,從20日高點回檔6.6%；站上EMA20(+8.9%)；1M報酬19.7%；超額報酬vs SPY:+14.3%；SPY:+5.4%&QQQ:+10.7%；RSI60；MACD金叉多頭,4,13,0,12,10,0,待 Grok 評分,待 Grok 評分
23,23,SWKS,SWKS,79,中,SWKS,79.12,11.9,15.0,61.5,1.2,73.25,63.88,0.2434,85.18,中,基底+40 · CB+4 · PullbackQ+13 · VS+0 · RS+12 · TC+10 · Bonus+0,從20日高點回檔7.1%；站上EMA20(+8.0%)；1M報酬15.0%；超額報酬vs SPY:+9.6%；SPY:+5.4%&QQQ:+10.7%；RSI62；MACD金叉多頭；站上SMA200,4,13,0,12,10,0,待 Grok 評分,待 Grok 評分
24,24,BG,BG,78,中,BG,129.13,25.1,4.25,61.3,1.37,123.95,124.15,0.7459,133.13,低,基底+40 · CB+8 · PullbackQ+13 · VS+4 · RS+3 · TC+10 · Bonus+0,從20日高點回檔3.0%；站上EMA20(+4.2%)；1M報酬4.3%；超額報酬vs SPY:-1.2%；SPY:+5.4%&QQQ:+10.7%；RSI61；MACD金叉多頭；站上SMA200,8,13,4,3,10,0,待 Grok 評分,待 Grok 評分
25,25,HPE,HPE,78,中,HPE,56.15,74.4,96.53,91.1,4.67,37.35,29.81,1.8116,64.25,高,基底+40 · CB+8 · PullbackQ+6 · VS+12 · RS+12 · TC+0 · Bonus+0,從20日高點回檔12.6%；站上EMA20(+50.3%)；1M報酬96.5%；超額報酬vs SPY:+91.1%；SPY:+5.4%&QQQ:+10.7%；RSI91；MACD金叉多頭；站上SMA200,8,6,12,12,0,0,待 Grok 評分,待 Grok 評分
26,26,CTAS,CTAS,77,中,CTAS,173.31,69.3,2.46,53.3,1.29,171.36,172.05,0.7363,176.0,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+0 · TC+10 · Bonus+0,從20日高點回檔1.5%；站上EMA20(+1.1%)；1M報酬2.5%；超額報酬vs SPY:-2.9%；SPY:+5.4%&QQQ:+10.7%；RSI53；MACD金叉多頭,8,15,4,0,10,0,待 Grok 評分,待 Grok 評分
27,27,DELL,DELL,77,中,DELL,435.31,282.8,107.12,80.7,1.43,303.73,227.37,19.8215,469.47,低,基底+40 · CB+8 · PullbackQ+13 · VS+4 · RS+12 · TC+0 · Bonus+0,從20日高點回檔7.3%；站上EMA20(+43.3%)；1M報酬107.1%；超額報酬vs SPY:+101.7%；SPY:+5.4%&QQQ:+10.7%；RSI81；MACD金叉多頭；站上SMA200,8,13,4,12,0,0,待 Grok 評分,待 Grok 評分
28,28,NOW,ServiceNow,77,中,NOW,127.65,131.6,40.03,68.8,1.2,106.23,98.44,4.0614,139.2,低,基底+40 · CB+8 · PullbackQ+10 · VS+4 · RS+12 · TC+3 · Bonus+0,從20日高點回檔8.3%；站上EMA20(+20.2%)；1M報酬40.0%；超額報酬vs SPY:+34.6%；SPY:+5.4%&QQQ:+10.7%；RSI69；MACD金叉多頭,8,10,4,12,3,0,待 Grok 評分,待 Grok 評分
29,29,MS,摩根士丹利,76,中,MS,214.98,339.1,13.05,79.4,1.32,199.13,185.65,1.3173,217.03,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+9 · TC+0 · Bonus+0,從20日高點回檔0.9%；站上EMA20(+8.0%)；1M報酬13.0%；超額報酬vs SPY:+7.6%；SPY:+5.4%&QQQ:+10.7%；RSI79；MACD金叉多頭；站上SMA200,8,15,4,9,0,0,待 Grok 評分,待 Grok 評分
30,30,ADP,自動數據,76,中,ADP,231.18,92.4,7.92,65.2,1.24,218.79,208.46,1.1775,234.73,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+6 · TC+3 · Bonus+0,從20日高點回檔1.5%；站上EMA20(+5.7%)；1M報酬7.9%；超額報酬vs SPY:+2.5%；SPY:+5.4%&QQQ:+10.7%；RSI65；MACD金叉多頭,8,15,4,6,3,0,待 Grok 評分,待 Grok 評分
