Final_Rank,Rank,Ticker,CN_Name,New_Grok_Elite_Score,風險等級,Company_Name,Current_Price,Market_Cap_B,1M_Return_pct,RSI,Volume_Ratio,EMA20,SMA50,MACD_Hist,High_20,Gap_Risk,Score_Breakdown,Reason,CB_score,PullbackQ_score,VS_score,RS_score,TC_score,Bonus_score,X_Catalyst_Score,X_Catalyst_Reason
1,1,GPC,Genuine Parts Company,100,低,Genuine Parts Company,132.57,18.4,34.89,83.6,2.56,110.73,103.27,2.2851,135.44,高,基底+40 · CB+18 · PullbackQ+15 · VS+12 · RS+12 · TC+0 · Bonus+5,從20日高點回檔2.1%；站上EMA20(+19.7%)；1M報酬34.9%；超額報酬vs SPY:+36.6%；SPY:-1.7%&QQQ:N/A；RSI84；MACD金叉多頭；站上SMA200,18,15,12,12,0,5,待 Grok 評分,待 Grok 評分
2,2,BKNG,Booking控股,100,低,Booking Holdings Inc. Common St,184.56,143.0,10.65,63.2,1.55,174.46,168.23,1.3703,186.5,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+12 · TC+10 · Bonus+5,從20日高點回檔1.0%；站上EMA20(+5.8%)；1M報酬10.7%；超額報酬vs SPY:+12.3%；SPY:-1.7%&QQQ:N/A；RSI63；MACD金叉多頭,12,15,8,12,10,5,待 Grok 評分,待 Grok 評分
3,3,PEG,Public Service Enterprise Group,99,低,Public Service Enterprise Group,81.62,40.7,5.12,56.1,1.51,80.54,78.98,0.0655,83.7,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+9 · TC+10 · Bonus+5,從20日高點回檔2.5%；站上EMA20(+1.3%)；1M報酬5.1%；超額報酬vs SPY:+6.8%；SPY:-1.7%&QQQ:N/A；RSI56；MACD金叉多頭；站上SMA200,12,15,8,9,10,5,待 Grok 評分,待 Grok 評分
4,4,NOC,諾思洛普格魯曼,99,低,Northrop Grumman Corporation,549.01,78.0,2.31,56.2,1.58,527.46,546.95,2.682,559.7,中,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+9 · TC+10 · Bonus+5,從20日高點回檔1.9%；站上EMA20(+4.1%)；1M報酬2.3%；超額報酬vs SPY:+4.0%；SPY:-1.7%&QQQ:N/A；RSI56；MACD金叉多頭,12,15,8,9,10,5,待 Grok 評分,待 Grok 評分
5,5,MRNA,Moderna,92,低,"Moderna, Inc.",79.76,31.6,74.76,80.7,1.53,61.59,52.65,2.1158,81.4,高,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+12 · TC+0 · Bonus+5,從20日高點回檔2.0%；站上EMA20(+29.5%)；1M報酬74.8%；超額報酬vs SPY:+76.5%；SPY:-1.7%&QQQ:N/A；RSI81；MACD金叉多頭；站上SMA200,12,15,8,12,0,5,待 Grok 評分,待 Grok 評分
6,6,ALGN,愛齊科技,89,低,"Align Technology, Inc.",184.52,13.2,10.7,58.3,1.21,174.7,172.14,0.6876,186.52,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+12 · TC+10 · Bonus+0,從20日高點回檔1.1%；站上EMA20(+5.6%)；1M報酬10.7%；超額報酬vs SPY:+12.4%；SPY:-1.7%&QQQ:N/A；RSI58；MACD金叉多頭；站上SMA200,8,15,4,12,10,0,待 Grok 評分,待 Grok 評分
7,7,AEP,美國電力,89,低,American Electric Power Company,138.51,75.4,8.97,64.8,1.42,133.18,131.08,0.8345,139.33,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+12 · TC+10 · Bonus+0,從20日高點回檔0.6%；站上EMA20(+4.0%)；1M報酬9.0%；超額報酬vs SPY:+10.7%；SPY:-1.7%&QQQ:N/A；RSI65；MACD金叉多頭；站上SMA200,8,15,4,12,10,0,待 Grok 評分,待 Grok 評分
8,8,EXC,Exelon Corporation,89,低,Exelon Corporation,47.88,49.0,7.4,62.8,1.39,46.32,45.48,0.1189,47.95,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+12 · TC+10 · Bonus+0,從20日高點回檔0.1%；站上EMA20(+3.4%)；1M報酬7.4%；超額報酬vs SPY:+9.1%；SPY:-1.7%&QQQ:N/A；RSI63；MACD金叉多頭；站上SMA200,8,15,4,12,10,0,待 Grok 評分,待 Grok 評分
9,9,DUK,杜克能源,89,低,Duke Energy Corporation (Holdin,129.6,101.0,7.03,62.4,1.32,125.83,124.73,0.4219,129.66,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+12 · TC+10 · Bonus+0,從20日高點回檔0.0%；站上EMA20(+3.0%)；1M報酬7.0%；超額報酬vs SPY:+8.7%；SPY:-1.7%&QQQ:N/A；RSI62；MACD金叉多頭；站上SMA200,8,15,4,12,10,0,待 Grok 評分,待 Grok 評分
10,10,CNP,"CenterPoint Energy, Inc (Holdin",89,低,"CenterPoint Energy, Inc (Holdin",44.61,29.2,6.9,60.9,1.26,43.51,42.7,0.1187,45.22,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+12 · TC+10 · Bonus+0,從20日高點回檔1.3%；站上EMA20(+2.5%)；1M報酬6.9%；超額報酬vs SPY:+8.6%；SPY:-1.7%&QQQ:N/A；RSI61；MACD金叉多頭；站上SMA200,8,15,4,12,10,0,待 Grok 評分,待 Grok 評分
11,11,ISRG,直覺外科,86,低,"Intuitive Surgical, Inc.",426.01,150.9,5.89,56.5,1.24,411.32,429.73,2.2251,430.85,中,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+9 · TC+10 · Bonus+0,從20日高點回檔1.1%；站上EMA20(+3.6%)；1M報酬5.9%；超額報酬vs SPY:+7.6%；SPY:-1.7%&QQQ:N/A；RSI57；MACD金叉多頭,8,15,4,9,10,0,待 Grok 評分,待 Grok 評分
12,12,NI,NiSource Inc,86,低,NiSource Inc,47.82,22.9,4.27,53.5,1.23,47.38,47.21,0.039,49.21,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+9 · TC+10 · Bonus+0,從20日高點回檔2.8%；站上EMA20(+0.9%)；1M報酬4.3%；超額報酬vs SPY:+6.0%；SPY:-1.7%&QQQ:N/A；RSI54；MACD金叉多頭；站上SMA200,8,15,4,9,10,0,待 Grok 評分,待 Grok 評分
13,13,PEP,百事可樂,86,低,"Pepsico, Inc.",144.22,197.1,2.63,52.4,1.27,142.11,146.44,0.2451,147.64,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+9 · TC+10 · Bonus+0,從20日高點回檔2.3%；站上EMA20(+1.5%)；1M報酬2.6%；超額報酬vs SPY:+4.3%；SPY:-1.7%&QQQ:N/A；RSI52；MACD金叉多頭,8,15,4,9,10,0,待 Grok 評分,待 Grok 評分
14,14,ORLY,"O'Reilly Automotive, Inc.",84,低,"O'Reilly Automotive, Inc.",90.25,74.8,4.66,51.6,1.43,89.64,90.74,0.4765,93.52,低,基底+40 · CB+8 · PullbackQ+13 · VS+4 · RS+9 · TC+10 · Bonus+0,從20日高點回檔3.5%；站上EMA20(+0.7%)；1M報酬4.7%；超額報酬vs SPY:+6.4%；SPY:-1.7%&QQQ:N/A；RSI52；MACD金叉多頭,8,13,4,9,10,0,待 Grok 評分,待 Grok 評分
15,15,SPGI,標普全球,82,低,S&P Global Inc.,439.89,130.2,11.38,69.3,1.36,396.84,397.55,4.152,440.01,高,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+12 · TC+3 · Bonus+0,從20日高點回檔0.0%；站上EMA20(+10.8%)；1M報酬11.4%；超額報酬vs SPY:+13.1%；SPY:-1.7%&QQQ:N/A；RSI69；MACD金叉多頭；站上SMA200,8,15,4,12,3,0,待 Grok 評分,待 Grok 評分
