Final_Rank,Rank,Ticker,CN_Name,New_Grok_Elite_Score,風險等級,Company_Name,Current_Price,Market_Cap_B,1M_Return_pct,RSI,Volume_Ratio,EMA20,SMA50,MACD_Hist,High_20,Gap_Risk,Score_Breakdown,Reason,CB_score,PullbackQ_score,VS_score,RS_score,TC_score,Bonus_score,X_Catalyst_Score,X_Catalyst_Reason
1,1,IFF,International Flavors & Fragran,97,低,International Flavors & Fragran,78.94,20.2,8.69,53.8,1.63,78.15,75.57,0.418,83.83,低,基底+40 · CB+12 · PullbackQ+13 · VS+8 · RS+9 · TC+10 · Bonus+5,從20日高點回檔5.8%；站上EMA20(+1.0%)；1M報酬8.7%；超額報酬vs SPY:+7.4%；SPY:+1.3%&QQQ:+1.0%；RSI54；MACD金叉多頭；站上SMA200,12,13,8,9,10,5,待 Grok 評分,待 Grok 評分
2,2,JPM,摩根大通,97,低,JP Morgan Chase & Co.,330.62,885.9,6.32,57.2,1.73,326.51,312.78,0.0048,341.91,低,基底+40 · CB+12 · PullbackQ+13 · VS+8 · RS+9 · TC+10 · Bonus+5,從20日高點回檔3.3%；站上EMA20(+1.3%)；1M報酬6.3%；超額報酬vs SPY:+5.0%；SPY:+1.3%&QQQ:+1.0%；RSI57；MACD金叉多頭；站上SMA200,12,13,8,9,10,5,待 Grok 評分,待 Grok 評分
3,3,ANET,"Arista Networks, Inc.",89,低,"Arista Networks, Inc.",181.05,228.0,17.36,60.2,1.41,165.78,159.67,0.8009,181.27,高,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+12 · TC+10 · Bonus+0,從20日高點回檔0.1%；站上EMA20(+9.2%)；1M報酬17.4%；超額報酬vs SPY:+16.0%；SPY:+1.3%&QQQ:+1.0%；RSI60；MACD金叉多頭；站上SMA200,8,15,4,12,10,0,待 Grok 評分,待 Grok 評分
4,4,PCAR,PACCAR Inc.,83,低,PACCAR Inc.,122.5,64.5,4.99,56.1,1.28,119.97,116.29,0.3856,126.24,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+6 · TC+10 · Bonus+0,從20日高點回檔3.0%；站上EMA20(+2.1%)；1M報酬5.0%；超額報酬vs SPY:+3.7%；SPY:+1.3%&QQQ:+1.0%；RSI56；MACD金叉多頭；站上SMA200,8,15,4,6,10,0,待 Grok 評分,待 Grok 評分
5,5,CF,"CF Industries Holdings, Inc.",83,低,"CF Industries Holdings, Inc.",117.02,18.0,3.11,62.4,1.31,110.24,115.38,1.8257,118.18,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+6 · TC+10 · Bonus+0,從20日高點回檔1.0%；站上EMA20(+6.2%)；1M報酬3.1%；超額報酬vs SPY:+1.8%；SPY:+1.3%&QQQ:+1.0%；RSI62；MACD金叉多頭；站上SMA200,8,15,4,6,10,0,待 Grok 評分,待 Grok 評分
6,6,CFG,"Citizens Financial Group, Inc.",82,低,"Citizens Financial Group, Inc.",68.56,29.0,7.16,52.3,1.79,68.8,65.31,-0.0379,72.94,低,基底+40 · CB+6 · PullbackQ+13 · VS+8 · RS+9 · TC+6 · Bonus+0,從20日高點回檔6.0%；貼近EMA20(-0.4%，整理中)；1M報酬7.2%；超額報酬vs SPY:+5.8%；SPY:+1.3%&QQQ:+1.0%；RSI52；MACD多頭；站上SMA200,6,13,8,9,6,0,待 Grok 評分,待 Grok 評分
7,7,EVRG,"Evergy, Inc.",81,低,"Evergy, Inc.",85.91,19.8,3.17,54.8,1.29,85.28,83.14,0.0712,88.62,低,基底+40 · CB+8 · PullbackQ+13 · VS+4 · RS+6 · TC+10 · Bonus+0,從20日高點回檔3.1%；站上EMA20(+0.7%)；1M報酬3.2%；超額報酬vs SPY:+1.8%；SPY:+1.3%&QQQ:+1.0%；RSI55；MACD金叉多頭；站上SMA200,8,13,4,6,10,0,待 Grok 評分,待 Grok 評分
8,8,PANW,派拓網路,80,低,"Palo Alto Networks, Inc.",320.59,261.3,17.84,58.9,1.21,309.38,261.08,1.2293,368.17,低,基底+40 · CB+8 · PullbackQ+6 · VS+4 · RS+12 · TC+10 · Bonus+0,從20日高點回檔12.9%；站上EMA20(+3.6%)；1M報酬17.8%；超額報酬vs SPY:+16.5%；SPY:+1.3%&QQQ:+1.0%；RSI59；MACD金叉多頭；站上SMA200,8,6,4,12,10,0,待 Grok 評分,待 Grok 評分
9,9,COR,"Cencora, Inc.",79,中,"Cencora, Inc.",309.57,60.2,12.55,73.9,1.35,287.59,278.78,3.2105,310.45,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+12 · TC+0 · Bonus+0,從20日高點回檔0.3%；站上EMA20(+7.6%)；1M報酬12.6%；超額報酬vs SPY:+11.2%；SPY:+1.3%&QQQ:+1.0%；RSI74；MACD金叉多頭,8,15,4,12,0,0,待 Grok 評分,待 Grok 評分
10,10,VRTX,福泰製藥,79,中,Vertex Pharmaceuticals Incorpor,498.43,126.5,11.55,59.9,1.15,484.59,451.86,3.6734,533.67,低,基底+40 · CB+4 · PullbackQ+13 · VS+0 · RS+12 · TC+10 · Bonus+0,從20日高點回檔6.6%；站上EMA20(+2.9%)；1M報酬11.5%；超額報酬vs SPY:+10.2%；SPY:+1.3%&QQQ:+1.0%；RSI60；MACD金叉多頭；站上SMA200,4,13,0,12,10,0,待 Grok 評分,待 Grok 評分
11,11,HCA,"HCA Healthcare, Inc.",79,中,"HCA Healthcare, Inc.",410.61,91.1,10.56,57.9,1.01,397.02,400.54,5.289,429.54,低,基底+40 · CB+4 · PullbackQ+13 · VS+0 · RS+12 · TC+10 · Bonus+0,從20日高點回檔4.4%；站上EMA20(+3.4%)；1M報酬10.6%；超額報酬vs SPY:+9.2%；SPY:+1.3%&QQQ:+1.0%；RSI58；MACD金叉多頭,4,13,0,12,10,0,待 Grok 評分,待 Grok 評分
12,12,DLTR,一元樹,77,中,"Dollar Tree, Inc.",123.61,23.8,13.61,63.6,0.84,117.22,105.73,0.1834,126.62,低,基底+40 · CB+0 · PullbackQ+15 · VS+0 · RS+12 · TC+10 · Bonus+0,從20日高點回檔2.4%；站上EMA20(+5.5%)；1M報酬13.6%；超額報酬vs SPY:+12.3%；SPY:+1.3%&QQQ:+1.0%；RSI64；MACD金叉多頭；站上SMA200,0,15,0,12,10,0,待 Grok 評分,待 Grok 評分
13,13,WELL,Welltower Inc.,77,中,Welltower Inc.,233.9,165.1,13.03,64.7,0.67,223.31,215.2,1.8606,239.11,低,基底+40 · CB+0 · PullbackQ+15 · VS+0 · RS+12 · TC+10 · Bonus+0,從20日高點回檔2.2%；站上EMA20(+4.7%)；1M報酬13.0%；超額報酬vs SPY:+11.7%；SPY:+1.3%&QQQ:+1.0%；RSI65；MACD金叉多頭；站上SMA200,0,15,0,12,10,0,待 Grok 評分,待 Grok 評分
14,14,PSX,菲利普斯66,76,中,Phillips 66,187.81,75.3,2.58,66.0,1.3,175.66,175.16,1.4048,189.87,中,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+6 · TC+3 · Bonus+0,從20日高點回檔1.1%；站上EMA20(+6.9%)；1M報酬2.6%；超額報酬vs SPY:+1.3%；SPY:+1.3%&QQQ:+1.0%；RSI66；MACD金叉多頭；站上SMA200,8,15,4,6,3,0,待 Grok 評分,待 Grok 評分
15,15,BXP,"BXP, Inc.",76,中,"BXP, Inc.",66.78,10.6,8.27,57.7,1.0,65.7,61.83,0.0997,70.55,低,基底+40 · CB+4 · PullbackQ+13 · VS+0 · RS+9 · TC+10 · Bonus+0,從20日高點回檔5.3%；站上EMA20(+1.7%)；1M報酬8.3%；超額報酬vs SPY:+6.9%；SPY:+1.3%&QQQ:+1.0%；RSI58；MACD金叉多頭；站上SMA200,4,13,0,9,10,0,待 Grok 評分,待 Grok 評分
16,16,FITB,Fifth Third Bancorp,76,中,Fifth Third Bancorp,55.76,50.5,7.97,58.7,1.04,54.9,51.44,0.0855,58.52,低,基底+40 · CB+4 · PullbackQ+13 · VS+0 · RS+9 · TC+10 · Bonus+0,從20日高點回檔4.7%；站上EMA20(+1.6%)；1M報酬8.0%；超額報酬vs SPY:+6.6%；SPY:+1.3%&QQQ:+1.0%；RSI59；MACD金叉多頭；站上SMA200,4,13,0,9,10,0,待 Grok 評分,待 Grok 評分
17,17,V,Visa,76,中,Visa Inc.,347.53,660.9,7.4,59.9,1.07,339.24,328.37,1.9523,365.02,低,基底+40 · CB+4 · PullbackQ+13 · VS+0 · RS+9 · TC+10 · Bonus+0,從20日高點回檔4.8%；站上EMA20(+2.4%)；1M報酬7.4%；超額報酬vs SPY:+6.1%；SPY:+1.3%&QQQ:+1.0%；RSI60；MACD金叉多頭；站上SMA200,4,13,0,9,10,0,待 Grok 評分,待 Grok 評分
18,18,CMS,CMS Energy Corporation,76,中,CMS Energy Corporation,76.19,23.5,5.76,53.9,1.2,75.58,74.05,0.0984,78.87,低,基底+40 · CB+4 · PullbackQ+13 · VS+0 · RS+9 · TC+10 · Bonus+0,從20日高點回檔3.4%；站上EMA20(+0.8%)；1M報酬5.8%；超額報酬vs SPY:+4.4%；SPY:+1.3%&QQQ:+1.0%；RSI54；MACD金叉多頭；站上SMA200,4,13,0,9,10,0,待 Grok 評分,待 Grok 評分
19,19,HIG,"The Hartford Insurance Group, I",75,中,"The Hartford Insurance Group, I",138.74,38.0,4.99,63.7,1.08,133.76,132.67,1.0854,141.3,低,基底+40 · CB+4 · PullbackQ+15 · VS+0 · RS+6 · TC+10 · Bonus+0,從20日高點回檔1.8%；站上EMA20(+3.7%)；1M報酬5.0%；超額報酬vs SPY:+3.7%；SPY:+1.3%&QQQ:+1.0%；RSI64；MACD金叉多頭；站上SMA200,4,15,0,6,10,0,待 Grok 評分,待 Grok 評分
