Final_Rank,Rank,Ticker,CN_Name,New_Grok_Elite_Score,風險等級,Company_Name,Current_Price,Market_Cap_B,1M_Return_pct,RSI,Volume_Ratio,EMA20,SMA50,MACD_Hist,High_20,Gap_Risk,Score_Breakdown,Reason,CB_score,PullbackQ_score,VS_score,RS_score,TC_score,Bonus_score,X_Catalyst_Score,X_Catalyst_Reason
1,1,KEYS,Keysight Technologies Inc.,100,低,Keysight Technologies Inc.,341.0,58.3,5.67,52.3,2.14,338.24,334.55,3.1758,366.41,低,基底+40 · CB+18 · PullbackQ+13 · VS+12 · RS+6 · TC+10 · Bonus+5,從20日高點回檔6.9%；站上EMA20(+0.8%)；1M報酬5.7%；超額報酬vs SPY:+2.3%；SPY:+3.4%&QQQ:+3.1%；RSI52；MACD金叉多頭；站上SMA200,18,13,12,6,10,5,待 Grok 評分,待 Grok 評分
2,2,TRGP,"Targa Resources, Inc.",92,低,"Targa Resources, Inc.",297.77,63.9,7.55,68.3,1.83,271.83,268.79,2.5207,305.08,高,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+9 · TC+3 · Bonus+5,從20日高點回檔2.4%；站上EMA20(+9.5%)；1M報酬7.6%；超額報酬vs SPY:+4.1%；SPY:+3.4%&QQQ:+3.1%；RSI68；MACD金叉多頭；站上SMA200,12,15,8,9,3,5,待 Grok 評分,待 Grok 評分
3,3,CPRT,Copart,87,低,"Copart, Inc.",31.51,29.2,14.62,63.8,1.43,29.78,29.36,0.3078,32.88,低,基底+40 · CB+8 · PullbackQ+13 · VS+4 · RS+12 · TC+10 · Bonus+0,從20日高點回檔4.2%；站上EMA20(+5.8%)；1M報酬14.6%；超額報酬vs SPY:+11.2%；SPY:+3.4%&QQQ:+3.1%；RSI64；MACD金叉多頭,8,13,4,12,10,0,待 Grok 評分,待 Grok 評分
4,4,TGT,塔吉特,86,低,Target Corporation,152.48,69.3,9.59,64.8,1.26,147.07,137.31,0.1904,156.47,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+9 · TC+10 · Bonus+0,從20日高點回檔2.6%；站上EMA20(+3.7%)；1M報酬9.6%；超額報酬vs SPY:+6.2%；SPY:+3.4%&QQQ:+3.1%；RSI65；MACD金叉多頭；站上SMA200,8,15,4,9,10,0,待 Grok 評分,待 Grok 評分
5,5,DVN,Devon能源,86,低,Devon Energy Corporation,47.83,52.6,9.25,64.7,1.29,44.84,43.62,0.3896,48.43,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+9 · TC+10 · Bonus+0,從20日高點回檔1.2%；站上EMA20(+6.7%)；1M報酬9.3%；超額報酬vs SPY:+5.8%；SPY:+3.4%&QQQ:+3.1%；RSI65；MACD金叉多頭；站上SMA200,8,15,4,9,10,0,待 Grok 評分,待 Grok 評分
6,6,DASH,DoorDash,82,低,"DoorDash, Inc.",216.35,94.3,17.49,65.3,1.29,204.71,186.78,0.5589,222.81,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+12 · TC+3 · Bonus+0,從20日高點回檔2.9%；站上EMA20(+5.7%)；1M報酬17.5%；超額報酬vs SPY:+14.1%；SPY:+3.4%&QQQ:+3.1%；RSI65；MACD金叉多頭；站上SMA200,8,15,4,12,3,0,待 Grok 評分,待 Grok 評分
7,7,XOM,埃克森美孚,79,中,ExxonMobil Holdings Corporation,165.56,680.8,12.32,72.4,1.33,155.57,147.16,0.628,165.67,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+12 · TC+0 · Bonus+0,從20日高點回檔0.1%；站上EMA20(+6.4%)；1M報酬12.3%；超額報酬vs SPY:+8.9%；SPY:+3.4%&QQQ:+3.1%；RSI72；MACD金叉多頭；站上SMA200,8,15,4,12,0,0,待 Grok 評分,待 Grok 評分
8,8,INTU,Intuit,79,中,Intuit Inc.,350.41,95.9,19.26,63.5,1.04,325.45,294.66,1.9779,362.0,中,基底+40 · CB+4 · PullbackQ+13 · VS+0 · RS+12 · TC+10 · Bonus+0,從20日高點回檔3.2%；站上EMA20(+7.7%)；1M報酬19.3%；超額報酬vs SPY:+15.8%；SPY:+3.4%&QQQ:+3.1%；RSI63；MACD金叉多頭,4,13,0,12,10,0,待 Grok 評分,待 Grok 評分
9,9,BR,博睿信息,79,中,"Broadridge Financial Solutions,",169.86,19.4,15.25,61.6,1.1,163.02,151.2,0.3395,176.94,低,基底+40 · CB+4 · PullbackQ+13 · VS+0 · RS+12 · TC+10 · Bonus+0,從20日高點回檔4.0%；站上EMA20(+4.2%)；1M報酬15.2%；超額報酬vs SPY:+11.8%；SPY:+3.4%&QQQ:+3.1%；RSI62；MACD金叉多頭,4,13,0,12,10,0,待 Grok 評分,待 Grok 評分
10,10,CRM,Salesforce,79,中,"Salesforce, Inc.",196.14,160.6,12.86,59.2,1.09,187.65,172.73,0.2939,204.4,低,基底+40 · CB+4 · PullbackQ+13 · VS+0 · RS+12 · TC+10 · Bonus+0,從20日高點回檔4.0%；站上EMA20(+4.5%)；1M報酬12.9%；超額報酬vs SPY:+9.4%；SPY:+3.4%&QQQ:+3.1%；RSI59；MACD金叉多頭,4,13,0,12,10,0,待 Grok 評分,待 Grok 評分
