Final_Rank,Rank,Ticker,CN_Name,New_Grok_Elite_Score,風險等級,Company_Name,Current_Price,Market_Cap_B,1M_Return_pct,RSI,Volume_Ratio,EMA20,SMA50,MACD_Hist,High_20,Gap_Risk,Score_Breakdown,Reason,CB_score,PullbackQ_score,VS_score,RS_score,TC_score,Bonus_score,X_Catalyst_Score,X_Catalyst_Reason
1,1,VLO,瓦萊羅,100,低,Valero Energy Corporation,413.28,119.0,19.36,80.1,2.96,377.1,337.31,2.336,416.66,低,基底+40 · CB+18 · PullbackQ+15 · VS+12 · RS+12 · TC+0 · Bonus+5,從20日高點回檔0.8%；站上EMA20(+9.6%)；1M報酬19.4%；超額報酬vs SPY:+20.1%；SPY:-0.7%&QQQ:+0.7%；RSI80；MACD金叉多頭；站上SMA200,18,15,12,12,0,5,待 Grok 評分,待 Grok 評分
2,2,MPC,Marathon Petroleum Corporation,100,低,Marathon Petroleum Corporation,424.89,119.3,17.78,83.3,3.48,389.3,346.58,1.467,428.0,低,基底+40 · CB+18 · PullbackQ+15 · VS+12 · RS+12 · TC+0 · Bonus+5,從20日高點回檔0.7%；站上EMA20(+9.1%)；1M報酬17.8%；超額報酬vs SPY:+18.5%；SPY:-0.7%&QQQ:+0.7%；RSI83；MACD金叉多頭；站上SMA200,18,15,12,12,0,5,待 Grok 評分,待 Grok 評分
3,3,INTC,英特爾,100,低,Intel Corporation,108.6,570.6,17.03,61.7,1.78,99.22,97.09,1.702,111.37,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+12 · TC+10 · Bonus+5,從20日高點回檔2.5%；站上EMA20(+9.5%)；1M報酬17.0%；超額報酬vs SPY:+17.7%；SPY:-0.7%&QQQ:+0.7%；RSI62；MACD金叉多頭；站上SMA200,12,15,8,12,10,5,待 Grok 評分,待 Grok 評分
4,4,SNDK,Sandisk Corporation,100,低,Sandisk Corporation,1791.82,262.4,14.21,61.4,1.65,1599.29,1504.2,4.9612,1807.38,高,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+12 · TC+10 · Bonus+5,從20日高點回檔0.9%；站上EMA20(+12.0%)；1M報酬14.2%；超額報酬vs SPY:+14.9%；SPY:-0.7%&QQQ:+0.7%；RSI61；MACD金叉多頭；站上SMA200,12,15,8,12,10,5,待 Grok 評分,待 Grok 評分
5,5,PSX,菲利普斯66,100,低,Phillips 66,273.13,109.0,12.73,77.8,3.28,254.47,229.15,0.3727,277.12,低,基底+40 · CB+18 · PullbackQ+15 · VS+12 · RS+12 · TC+0 · Bonus+5,從20日高點回檔1.4%；站上EMA20(+7.3%)；1M報酬12.7%；超額報酬vs SPY:+13.4%；SPY:-0.7%&QQQ:+0.7%；RSI78；MACD金叉多頭；站上SMA200,18,15,12,12,0,5,待 Grok 評分,待 Grok 評分
6,6,COHR,Coherent Corp.,100,低,Coherent Corp.,317.36,62.1,10.4,56.1,1.66,292.73,296.77,3.4913,318.45,高,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+12 · TC+10 · Bonus+5,從20日高點回檔0.3%；站上EMA20(+8.4%)；1M報酬10.4%；超額報酬vs SPY:+11.1%；SPY:-0.7%&QQQ:+0.7%；RSI56；MACD金叉多頭；站上SMA200,12,15,8,12,10,5,待 Grok 評分,待 Grok 評分
7,7,EBAY,eBay Inc.,100,低,eBay Inc.,111.84,49.8,9.29,59.9,4.03,107.35,108.18,1.0352,113.63,低,基底+40 · CB+18 · PullbackQ+15 · VS+12 · RS+12 · TC+10 · Bonus+5,從20日高點回檔1.6%；站上EMA20(+4.2%)；1M報酬9.3%；超額報酬vs SPY:+10.0%；SPY:-0.7%&QQQ:+0.7%；RSI60；MACD金叉多頭；站上SMA200,18,15,12,12,10,5,待 Grok 評分,待 Grok 評分
8,8,TMO,賽默飛世爾,100,低,Thermo Fisher Scientific Inc,651.45,240.9,6.26,67.7,2.26,621.3,590.49,2.4686,663.57,低,基底+40 · CB+18 · PullbackQ+15 · VS+12 · RS+9 · TC+3 · Bonus+5,從20日高點回檔1.8%；站上EMA20(+4.9%)；1M報酬6.3%；超額報酬vs SPY:+7.0%；SPY:-0.7%&QQQ:+0.7%；RSI68；MACD金叉多頭；站上SMA200,18,15,12,9,3,5,待 Grok 評分,待 Grok 評分
9,9,PFG,Principal Financial Group Inc,100,低,Principal Financial Group Inc,117.67,25.2,6.2,60.2,2.27,114.68,112.64,0.3514,121.18,低,基底+40 · CB+18 · PullbackQ+15 · VS+12 · RS+9 · TC+10 · Bonus+5,從20日高點回檔2.9%；站上EMA20(+2.6%)；1M報酬6.2%；超額報酬vs SPY:+6.9%；SPY:-0.7%&QQQ:+0.7%；RSI60；MACD金叉多頭；站上SMA200,18,15,12,9,10,5,待 Grok 評分,待 Grok 評分
10,10,ECHO,EchoStar Corporation,100,低,EchoStar Corporation,93.46,27.1,5.68,56.9,3.07,91.13,89.86,0.6962,95.7,低,基底+40 · CB+18 · PullbackQ+15 · VS+12 · RS+9 · TC+10 · Bonus+5,從20日高點回檔2.3%；站上EMA20(+2.6%)；1M報酬5.7%；超額報酬vs SPY:+6.4%；SPY:-0.7%&QQQ:+0.7%；RSI57；MACD金叉多頭,18,15,12,9,10,5,待 Grok 評分,待 Grok 評分
