Final_Rank,Rank,Ticker,CN_Name,New_Grok_Elite_Score,風險等級,Company_Name,Current_Price,Market_Cap_B,1M_Return_pct,RSI,Volume_Ratio,EMA20,SMA50,MACD_Hist,High_20,Gap_Risk,Score_Breakdown,Reason,CB_score,PullbackQ_score,VS_score,RS_score,TC_score,Bonus_score,X_Catalyst_Score,X_Catalyst_Reason
1,1,RMD,ResMed Inc.,100,低,ResMed Inc.,218.4,31.7,17.13,68.4,2.28,199.4,201.45,3.0744,222.43,中,基底+40 · CB+18 · PullbackQ+15 · VS+12 · RS+12 · TC+3 · Bonus+5,從20日高點回檔1.8%；站上EMA20(+9.5%)；1M報酬17.1%；超額報酬vs SPY:+17.3%；SPY:-0.1%&QQQ:-2.8%；RSI68；MACD金叉多頭,18,15,12,12,3,5,待 Grok 評分,待 Grok 評分
2,2,MRNA,Moderna,90,低,"Moderna, Inc.",81.8,32.5,66.73,81.8,1.77,63.51,53.18,2.3365,85.6,低,基底+40 · CB+12 · PullbackQ+13 · VS+8 · RS+12 · TC+0 · Bonus+5,從20日高點回檔4.4%；站上EMA20(+28.8%)；1M報酬66.7%；超額報酬vs SPY:+66.9%；SPY:-0.1%&QQQ:-2.8%；RSI82；MACD金叉多頭；站上SMA200,12,13,8,12,0,5,待 Grok 評分,待 Grok 評分
3,3,GPC,Genuine Parts Company,90,低,Genuine Parts Company,128.66,17.9,32.34,75.3,1.68,112.44,103.63,2.3685,135.44,低,基底+40 · CB+12 · PullbackQ+13 · VS+8 · RS+12 · TC+0 · Bonus+5,從20日高點回檔5.0%；站上EMA20(+14.4%)；1M報酬32.3%；超額報酬vs SPY:+32.5%；SPY:-0.1%&QQQ:-2.8%；RSI75；MACD金叉多頭；站上SMA200,12,13,8,12,0,5,待 Grok 評分,待 Grok 評分
4,4,DLTR,一元樹,87,低,"Dollar Tree, Inc.",121.46,23.3,7.96,61.2,1.21,115.91,104.93,0.379,126.62,低,基底+40 · CB+8 · PullbackQ+13 · VS+4 · RS+12 · TC+10 · Bonus+0,從20日高點回檔4.1%；站上EMA20(+4.8%)；1M報酬8.0%；超額報酬vs SPY:+8.1%；SPY:-0.1%&QQQ:-2.8%；RSI61；MACD金叉多頭；站上SMA200,8,13,4,12,10,0,待 Grok 評分,待 Grok 評分
5,5,AWK,"American Water Works Company, I",86,低,"American Water Works Company, I",133.09,26.0,7.5,59.7,1.41,129.36,126.78,0.864,136.93,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+9 · TC+10 · Bonus+0,從20日高點回檔2.8%；站上EMA20(+2.9%)；1M報酬7.5%；超額報酬vs SPY:+7.6%；SPY:-0.1%&QQQ:-2.8%；RSI60；MACD金叉多頭；站上SMA200,8,15,4,9,10,0,待 Grok 評分,待 Grok 評分
6,6,ISRG,直覺外科,86,低,"Intuitive Surgical, Inc.",432.83,153.3,6.27,59.7,1.32,413.37,428.72,3.6777,440.17,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+9 · TC+10 · Bonus+0,從20日高點回檔1.7%；站上EMA20(+4.7%)；1M報酬6.3%；超額報酬vs SPY:+6.4%；SPY:-0.1%&QQQ:-2.8%；RSI60；MACD金叉多頭,8,15,4,9,10,0,待 Grok 評分,待 Grok 評分
7,7,CNP,"CenterPoint Energy, Inc (Holdin",86,低,"CenterPoint Energy, Inc (Holdin",44.0,28.8,5.92,55.3,1.22,43.55,42.74,0.0715,45.22,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+9 · TC+10 · Bonus+0,從20日高點回檔2.7%；站上EMA20(+1.0%)；1M報酬5.9%；超額報酬vs SPY:+6.1%；SPY:-0.1%&QQQ:-2.8%；RSI55；MACD金叉多頭；站上SMA200,8,15,4,9,10,0,待 Grok 評分,待 Grok 評分
8,8,DUK,杜克能源,86,低,Duke Energy Corporation (Holdin,125.97,98.2,4.07,51.1,1.44,125.84,124.77,0.2441,129.66,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+9 · TC+10 · Bonus+0,從20日高點回檔2.8%；站上EMA20(+0.1%)；1M報酬4.1%；超額報酬vs SPY:+4.2%；SPY:-0.1%&QQQ:-2.8%；RSI51；MACD金叉多頭；站上SMA200,8,15,4,9,10,0,待 Grok 評分,待 Grok 評分
9,9,FAST,法斯特爾,86,低,Fastenal Company,48.31,55.5,3.98,64.0,1.27,46.76,45.31,0.1962,48.83,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+9 · TC+10 · Bonus+0,從20日高點回檔1.1%；站上EMA20(+3.3%)；1M報酬4.0%；超額報酬vs SPY:+4.1%；SPY:-0.1%&QQQ:-2.8%；RSI64；MACD金叉多頭；站上SMA200,8,15,4,9,10,0,待 Grok 評分,待 Grok 評分
10,10,KDP,Keurig Dr Pepper Inc.,84,低,Keurig Dr Pepper Inc.,31.75,43.2,4.67,53.4,1.38,31.71,30.08,0.0262,33.82,低,基底+40 · CB+8 · PullbackQ+13 · VS+4 · RS+9 · TC+10 · Bonus+0,從20日高點回檔6.1%；站上EMA20(+0.1%)；1M報酬4.7%；超額報酬vs SPY:+4.8%；SPY:-0.1%&QQQ:-2.8%；RSI53；MACD金叉多頭；站上SMA200,8,13,4,9,10,0,待 Grok 評分,待 Grok 評分
