Final_Rank,Rank,Ticker,CN_Name,New_Grok_Elite_Score,風險等級,Company_Name,Current_Price,Market_Cap_B,1M_Return_pct,RSI,Volume_Ratio,EMA20,SMA50,MACD_Hist,High_20,Gap_Risk,Score_Breakdown,Reason,CB_score,PullbackQ_score,VS_score,RS_score,TC_score,Bonus_score,X_Catalyst_Score,X_Catalyst_Reason
1,1,SJM,The J.M. Smucker Company,100,低,The J.M. Smucker Company,112.39,12.5,14.5,72.5,2.63,102.13,97.6,0.4616,115.23,高,基底+40 · CB+18 · PullbackQ+15 · VS+12 · RS+12 · TC+0 · Bonus+5,從20日高點回檔2.5%；站上EMA20(+10.0%)；1M報酬14.5%；超額報酬vs SPY:+14.6%；SPY:-0.1%&QQQ:-0.5%；RSI73；MACD金叉多頭；站上SMA200,18,15,12,12,0,5,待 Grok 評分,待 Grok 評分
2,2,WYNN,永利渡假,99,低,"Wynn Resorts, Limited",107.44,10.9,5.18,62.5,1.71,102.68,102.77,0.9283,110.17,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+9 · TC+10 · Bonus+5,從20日高點回檔2.5%；站上EMA20(+4.6%)；1M報酬5.2%；超額報酬vs SPY:+5.3%；SPY:-0.1%&QQQ:-0.5%；RSI63；MACD金叉多頭,12,15,8,9,10,5,待 Grok 評分,待 Grok 評分
3,3,HBAN,Huntington Bancshares Incorpora,99,低,Huntington Bancshares Incorpora,16.82,34.1,4.34,60.8,1.51,16.21,16.22,0.1052,17.08,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+9 · TC+10 · Bonus+5,從20日高點回檔1.5%；站上EMA20(+3.8%)；1M報酬4.3%；超額報酬vs SPY:+4.4%；SPY:-0.1%&QQQ:-0.5%；RSI61；MACD金叉多頭；站上SMA200,12,15,8,9,10,5,待 Grok 評分,待 Grok 評分
4,4,EXR,Extra Space Storage Inc,96,低,Extra Space Storage Inc,148.23,31.6,3.44,61.7,1.64,143.71,141.18,0.3458,150.4,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+6 · TC+10 · Bonus+5,從20日高點回檔1.4%；站上EMA20(+3.1%)；1M報酬3.4%；超額報酬vs SPY:+3.5%；SPY:-0.1%&QQQ:-0.5%；RSI62；MACD金叉多頭；站上SMA200,12,15,8,6,10,5,待 Grok 評分,待 Grok 評分
5,5,REG,Regency Centers Corporation,96,低,Regency Centers Corporation,79.55,14.7,2.53,60.7,1.82,77.74,78.16,0.1254,79.82,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+6 · TC+10 · Bonus+5,從20日高點回檔0.3%；站上EMA20(+2.3%)；1M報酬2.5%；超額報酬vs SPY:+2.6%；SPY:-0.1%&QQQ:-0.5%；RSI61；MACD金叉多頭；站上SMA200,12,15,8,6,10,5,待 Grok 評分,待 Grok 評分
6,6,ASML,ASML,95,低,ASML Holding N.V. - New York Re,1777.77,668.4,11.67,65.1,1.84,1633.31,1504.66,11.6812,1831.11,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+12 · TC+3 · Bonus+5,從20日高點回檔2.9%；站上EMA20(+8.8%)；1M報酬11.7%；超額報酬vs SPY:+11.7%；SPY:-0.1%&QQQ:-0.5%；RSI65；MACD金叉多頭；站上SMA200,12,15,8,12,3,5,待 Grok 評分,待 Grok 評分
7,7,BXP,"BXP, Inc.",92,低,"BXP, Inc.",66.61,10.4,12.08,76.7,1.88,61.1,57.93,0.4699,67.25,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+12 · TC+0 · Bonus+5,從20日高點回檔1.0%；站上EMA20(+9.0%)；1M報酬12.1%；超額報酬vs SPY:+12.2%；SPY:-0.1%&QQQ:-0.5%；RSI77；MACD金叉多頭；站上SMA200,12,15,8,12,0,5,待 Grok 評分,待 Grok 評分
8,8,HST,"Host Hotels & Resorts, Inc.",92,低,"Host Hotels & Resorts, Inc.",24.47,16.4,9.88,75.1,1.58,23.16,21.52,0.1178,24.9,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+12 · TC+0 · Bonus+5,從20日高點回檔1.7%；站上EMA20(+5.6%)；1M報酬9.9%；超額報酬vs SPY:+10.0%；SPY:-0.1%&QQQ:-0.5%；RSI75；MACD金叉多頭；站上SMA200,12,15,8,12,0,5,待 Grok 評分,待 Grok 評分
9,9,KIM,Kimco Realty Corporation (HC),92,低,Kimco Realty Corporation (HC),25.19,17.1,8.46,72.4,1.52,23.81,23.32,0.1072,25.29,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+12 · TC+0 · Bonus+5,從20日高點回檔0.4%；站上EMA20(+5.8%)；1M報酬8.5%；超額報酬vs SPY:+8.5%；SPY:-0.1%&QQQ:-0.5%；RSI72；MACD金叉多頭；站上SMA200,12,15,8,12,0,5,待 Grok 評分,待 Grok 評分
10,10,PNC,PNC金融,92,低,"PNC Financial Services Group, I",232.18,93.4,7.07,66.1,1.61,221.73,218.91,1.3996,232.93,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+9 · TC+3 · Bonus+5,從20日高點回檔0.3%；站上EMA20(+4.7%)；1M報酬7.1%；超額報酬vs SPY:+7.1%；SPY:-0.1%&QQQ:-0.5%；RSI66；MACD金叉多頭；站上SMA200,12,15,8,9,3,5,待 Grok 評分,待 Grok 評分
11,11,EXPD,Expeditors International of Was,92,低,Expeditors International of Was,166.34,21.5,6.71,69.6,1.55,158.21,151.21,0.3778,167.0,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+9 · TC+3 · Bonus+5,從20日高點回檔0.4%；站上EMA20(+5.1%)；1M報酬6.7%；超額報酬vs SPY:+6.8%；SPY:-0.1%&QQQ:-0.5%；RSI70；MACD金叉多頭；站上SMA200,12,15,8,9,3,5,待 Grok 評分,待 Grok 評分
12,12,CARR,Carrier Global Corporation,92,低,Carrier Global Corporation,71.24,56.5,6.6,67.3,1.52,65.94,63.07,0.4593,71.27,中,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+9 · TC+3 · Bonus+5,從20日高點回檔0.0%；站上EMA20(+8.0%)；1M報酬6.6%；超額報酬vs SPY:+6.7%；SPY:-0.1%&QQQ:-0.5%；RSI67；MACD金叉多頭；站上SMA200,12,15,8,9,3,5,待 Grok 評分,待 Grok 評分
13,13,LRCX,拉姆研究,90,低,Lam Research Corporation,327.16,402.4,11.26,59.4,1.54,310.44,277.62,-0.5562,349.09,低,基底+40 · CB+12 · PullbackQ+13 · VS+8 · RS+12 · TC+0 · Bonus+5,從20日高點回檔6.3%；站上EMA20(+5.4%)；1M報酬11.3%；超額報酬vs SPY:+11.3%；SPY:-0.1%&QQQ:-0.5%；RSI59；MACD待確認；站上SMA200,12,13,8,12,0,5,待 Grok 評分,待 Grok 評分
