Final_Rank,Rank,Ticker,CN_Name,New_Grok_Elite_Score,風險等級,Company_Name,Current_Price,Market_Cap_B,1M_Return_pct,RSI,Volume_Ratio,EMA20,SMA50,MACD_Hist,High_20,Gap_Risk,Score_Breakdown,Reason,CB_score,PullbackQ_score,VS_score,RS_score,TC_score,Bonus_score,X_Catalyst_Score,X_Catalyst_Reason
1,1,PSX,菲利普斯66,85,低,PSX,171.82,68.9,8.23,51.9,1.26,170.99,170.7,0.4324,181.41,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+8 · TC+10 · Bonus+0,從20日高點回檔5.3%；守EMA20；1M報酬8.2%；SPY:+6.9%&QQQ:+13.7%；RSI52健康；MACD金叉多頭；站上SMA200（斜率上升）,8,15,4,8,10,0,待 Grok 評分,待 Grok 評分
2,2,Q,Q,78,中,Q,162.02,33.9,22.03,67.8,1.39,144.92,128.23,1.4852,171.52,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+8 · TC+3 · Bonus+0,從20日高點回檔5.5%；守EMA20；1M報酬22.0%；SPY:+6.9%&QQQ:+13.7%；RSI68健康；MACD金叉多頭,8,15,4,8,3,0,待 Grok 評分,待 Grok 評分
3,3,ZS,Zscaler,78,中,ZS,152.43,24.5,24.25,59.6,1.85,142.42,142.64,2.1814,153.95,中,基底+40 · CB+12 · PullbackQ+0 · VS+8 · RS+8 · TC+10 · Bonus+0,從20日高點回檔1.0%；守EMA20；1M報酬24.3%；SPY:+6.9%&QQQ:+13.7%；RSI60健康；MACD金叉多頭,12,0,8,8,10,0,待 Grok 評分,待 Grok 評分
4,4,CSCO,思科系統,78,中,CSCO,101.87,402.4,23.31,78.9,2.12,92.11,84.28,0.8504,102.01,低,基底+40 · CB+18 · PullbackQ+0 · VS+12 · RS+8 · TC+0 · Bonus+0,從20日高點回檔0.1%；守EMA20；1M報酬23.3%；SPY:+6.9%&QQQ:+13.7%；RSI79健康；MACD金叉多頭；站上SMA200（斜率上升）,18,0,12,8,0,0,待 Grok 評分,待 Grok 評分
5,5,MPC,MPC,78,中,MPC,249.09,72.7,11.24,58.3,1.76,241.47,234.03,1.0359,261.61,低,基底+40 · CB+12 · PullbackQ+0 · VS+8 · RS+8 · TC+10 · Bonus+0,從20日高點回檔4.8%；守EMA20；1M報酬11.2%；SPY:+6.9%&QQQ:+13.7%；RSI58健康；MACD金叉多頭；站上SMA200（斜率上升）,12,0,8,8,10,0,待 Grok 評分,待 Grok 評分
6,6,SJM,SJM,78,中,SJM,100.87,10.8,9.39,63.3,1.51,97.79,98.64,0.6814,101.26,低,基底+40 · CB+12 · PullbackQ+0 · VS+8 · RS+8 · TC+10 · Bonus+0,從20日高點回檔0.4%；守EMA20；1M報酬9.4%；SPY:+6.9%&QQQ:+13.7%；RSI63健康；MACD金叉多頭,12,0,8,8,10,0,待 Grok 評分,待 Grok 評分
7,7,F,福特汽車,78,中,F,13.57,54.1,8.11,69.3,4.22,12.16,11.95,0.0957,13.94,高,基底+40 · CB+18 · PullbackQ+0 · VS+12 · RS+8 · TC+0 · Bonus+0,從20日高點回檔2.7%；守EMA20；1M報酬8.1%；SPY:+6.9%&QQQ:+13.7%；RSI69健康；MACD金叉多頭；站上SMA200（斜率上升）,18,0,12,8,0,0,待 Grok 評分,待 Grok 評分
8,8,SWKS,SWKS,77,中,SWKS,68.14,10.2,18.96,58.6,1.03,64.83,58.97,0.0236,72.81,低,基底+40 · CB+4 · PullbackQ+15 · VS+0 · RS+8 · TC+10 · Bonus+0,從20日高點回檔6.4%；守EMA20；1M報酬19.0%；SPY:+6.9%&QQQ:+13.7%；RSI59健康；MACD金叉多頭；站上SMA200（斜率上升）,4,15,0,8,10,0,待 Grok 評分,待 Grok 評分
9,9,LITE,LITE,73,中,LITE,1030.37,80.2,20.82,61.4,0.75,920.46,806.15,6.4578,1085.68,低,基底+40 · CB+0 · PullbackQ+15 · VS+0 · RS+8 · TC+10 · Bonus+0,從20日高點回檔5.1%；守EMA20；1M報酬20.8%；SPY:+6.9%&QQQ:+13.7%；RSI61健康；MACD金叉多頭；站上SMA200（斜率上升）,0,15,0,8,10,0,待 Grok 評分,待 Grok 評分
10,10,ORCL,甲骨文,73,中,ORCL,189.76,545.8,16.42,61.9,0.55,179.2,162.08,0.8671,200.15,低,基底+40 · CB+0 · PullbackQ+15 · VS+0 · RS+8 · TC+10 · Bonus+0,從20日高點回檔5.2%；守EMA20；1M報酬16.4%；SPY:+6.9%&QQQ:+13.7%；RSI62健康；MACD金叉多頭,0,15,0,8,10,0,待 Grok 評分,待 Grok 評分
11,11,HPQ,HPQ,73,中,HPQ,21.26,19.5,11.95,56.7,0.77,20.7,19.58,0.0501,22.78,低,基底+40 · CB+0 · PullbackQ+15 · VS+0 · RS+8 · TC+10 · Bonus+0,從20日高點回檔6.7%；守EMA20；1M報酬12.0%；SPY:+6.9%&QQQ:+13.7%；RSI57健康；MACD金叉多頭,0,15,0,8,10,0,待 Grok 評分,待 Grok 評分
12,12,COIN,Coinbase,73,中,COIN,201.8,53.2,9.43,53.4,0.82,197.5,191.88,0.8917,218.46,低,基底+40 · CB+0 · PullbackQ+15 · VS+0 · RS+8 · TC+10 · Bonus+0,從20日高點回檔7.6%；守EMA20；1M報酬9.4%；SPY:+6.9%&QQQ:+13.7%；RSI53健康；MACD金叉多頭,0,15,0,8,10,0,待 Grok 評分,待 Grok 評分
13,13,MCHP,微芯科技,70,中,MCHP,96.71,52.3,29.81,66.8,1.07,91.14,76.18,-0.0007,105.91,低,基底+40 · CB+4 · PullbackQ+15 · VS+0 · RS+8 · TC+3 · Bonus+0,從20日高點回檔8.7%；守EMA20；1M報酬29.8%；SPY:+6.9%&QQQ:+13.7%；RSI67健康；MACD多頭；站上SMA200（斜率上升）,4,15,0,8,3,0,待 Grok 評分,待 Grok 評分
14,14,TRGP,TRGP,70,中,TRGP,263.29,56.5,10.59,64.5,1.24,249.88,243.25,0.8595,263.38,低,基底+40 · CB+8 · PullbackQ+0 · VS+4 · RS+8 · TC+10 · Bonus+0,從20日高點回檔0.0%；守EMA20；1M報酬10.6%；SPY:+6.9%&QQQ:+13.7%；RSI65健康；MACD金叉多頭；站上SMA200（斜率上升）,8,0,4,8,10,0,待 Grok 評分,待 Grok 評分
