Final_Rank,Rank,Ticker,CN_Name,New_Grok_Elite_Score,風險等級,Company_Name,Current_Price,Market_Cap_B,1M_Return_pct,RSI,Volume_Ratio,EMA20,SMA50,MACD_Hist,High_20,Gap_Risk,Score_Breakdown,Reason,CB_score,PullbackQ_score,VS_score,RS_score,TC_score,Bonus_score,X_Catalyst_Score,X_Catalyst_Reason
1,1,EMR,艾默生電氣,100,低,Emerson Electric Company,148.81,83.3,11.85,62.4,1.55,141.33,140.11,0.822,151.58,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+12 · TC+10 · Bonus+5,從20日高點回檔1.8%；站上EMA20(+5.3%)；1M報酬11.8%；超額報酬vs SPY:+10.3%；SPY:+1.5%&QQQ:+3.0%；RSI62；MACD金叉多頭；站上SMA200,12,15,8,12,10,5,待 Grok 評分,待 Grok 評分
2,2,VRSK,"Verisk Analytics, Inc.",100,低,"Verisk Analytics, Inc.",179.61,23.5,10.8,53.2,1.67,178.09,175.05,0.5734,184.77,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+12 · TC+10 · Bonus+5,從20日高點回檔2.8%；站上EMA20(+0.9%)；1M報酬10.8%；超額報酬vs SPY:+9.3%；SPY:+1.5%&QQQ:+3.0%；RSI53；MACD金叉多頭,12,15,8,12,10,5,待 Grok 評分,待 Grok 評分
3,3,WDC,Western Digital Corporation,100,低,Western Digital Corporation,681.08,234.8,41.33,73.5,2.24,544.1,463.73,8.467,729.92,中,基底+40 · CB+18 · PullbackQ+13 · VS+12 · RS+12 · TC+0 · Bonus+5,從20日高點回檔6.7%；站上EMA20(+25.2%)；1M報酬41.3%；超額報酬vs SPY:+39.8%；SPY:+1.5%&QQQ:+3.0%；RSI73；MACD金叉多頭；站上SMA200,18,13,12,12,0,5,待 Grok 評分,待 Grok 評分
4,4,TFC,特魯斯特金融,100,低,Truist Financial Corporation,49.13,61.2,4.62,51.2,2.05,48.99,49.0,0.1424,52.07,低,基底+40 · CB+18 · PullbackQ+13 · VS+12 · RS+6 · TC+10 · Bonus+5,從20日高點回檔5.6%；站上EMA20(+0.3%)；1M報酬4.6%；超額報酬vs SPY:+3.1%；SPY:+1.5%&QQQ:+3.0%；RSI51；MACD金叉多頭；站上SMA200,18,13,12,6,10,5,待 Grok 評分,待 Grok 評分
5,5,LUV,Southwest Airlines Company,95,低,Southwest Airlines Company,47.43,23.2,23.73,69.0,1.76,42.72,40.62,0.5481,48.48,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+12 · TC+3 · Bonus+5,從20日高點回檔2.2%；站上EMA20(+11.0%)；1M報酬23.7%；超額報酬vs SPY:+22.2%；SPY:+1.5%&QQQ:+3.0%；RSI69；MACD金叉多頭；站上SMA200,12,15,8,12,3,5,待 Grok 評分,待 Grok 評分
6,6,SPG,"Simon Property Group, Inc.",92,低,"Simon Property Group, Inc.",215.23,69.8,8.78,65.1,1.75,208.14,202.31,1.1491,220.44,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+9 · TC+3 · Bonus+5,從20日高點回檔2.4%；站上EMA20(+3.4%)；1M報酬8.8%；超額報酬vs SPY:+7.3%；SPY:+1.5%&QQQ:+3.0%；RSI65；MACD金叉多頭；站上SMA200,12,15,8,9,3,5,待 Grok 評分,待 Grok 評分
7,7,STX,Seagate Technology Holdings PLC,90,低,Seagate Technology Holdings PLC,1031.34,233.3,29.65,71.7,1.7,879.06,737.36,4.7629,1097.0,低,基底+40 · CB+12 · PullbackQ+13 · VS+8 · RS+12 · TC+0 · Bonus+5,從20日高點回檔6.0%；站上EMA20(+17.3%)；1M報酬29.7%；超額報酬vs SPY:+28.1%；SPY:+1.5%&QQQ:+3.0%；RSI72；MACD金叉多頭；站上SMA200,12,13,8,12,0,5,待 Grok 評分,待 Grok 評分
8,8,PNC,PNC金融,89,低,"PNC Financial Services Group, I",234.69,94.2,10.27,62.7,1.48,226.53,221.58,1.1983,239.84,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+12 · TC+10 · Bonus+0,從20日高點回檔2.1%；站上EMA20(+3.6%)；1M報酬10.3%；超額報酬vs SPY:+8.8%；SPY:+1.5%&QQQ:+3.0%；RSI63；MACD金叉多頭；站上SMA200,8,15,4,12,10,0,待 Grok 評分,待 Grok 評分
9,9,CDW,CDW Corporation,87,低,CDW Corporation,131.3,16.6,29.29,57.0,1.36,126.94,124.14,0.6523,141.46,低,基底+40 · CB+8 · PullbackQ+13 · VS+4 · RS+12 · TC+10 · Bonus+0,從20日高點回檔7.2%；站上EMA20(+3.4%)；1M報酬29.3%；超額報酬vs SPY:+27.8%；SPY:+1.5%&QQQ:+3.0%；RSI57；MACD金叉多頭,8,13,4,12,10,0,待 Grok 評分,待 Grok 評分
10,10,DAL,"Delta Air Lines, Inc.",87,低,"Delta Air Lines, Inc.",83.14,54.6,18.38,61.8,1.36,79.12,73.46,0.0997,87.39,低,基底+40 · CB+8 · PullbackQ+13 · VS+4 · RS+12 · TC+10 · Bonus+0,從20日高點回檔4.9%；站上EMA20(+5.1%)；1M報酬18.4%；超額報酬vs SPY:+16.9%；SPY:+1.5%&QQQ:+3.0%；RSI62；MACD金叉多頭；站上SMA200,8,13,4,12,10,0,待 Grok 評分,待 Grok 評分
