Final_Rank,Rank,Ticker,CN_Name,New_Grok_Elite_Score,風險等級,Company_Name,Current_Price,Market_Cap_B,1M_Return_pct,RSI,Volume_Ratio,EMA20,SMA50,MACD_Hist,High_20,Gap_Risk,Score_Breakdown,Reason,CB_score,PullbackQ_score,VS_score,RS_score,TC_score,Bonus_score,X_Catalyst_Score,X_Catalyst_Reason
1,1,NTAP,NTAP,100,低,NTAP,138.95,27.5,27.82,82.8,2.33,119.92,108.84,1.8896,142.42,低,基底+40 · CB+18 · PullbackQ+15 · VS+12 · RS+12 · TC+0 · Bonus+5,從20日高點回檔2.4%；站上EMA20(+15.9%)；1M報酬27.8%；超額報酬vs SPY:+22.7%；SPY:+5.1%&QQQ:+10.0%；RSI83；MACD金叉多頭；站上SMA200,18,15,12,12,0,5,待 Grok 評分,待 Grok 評分
2,2,ZS,Zscaler,100,低,ZS,184.6,29.7,36.24,74.1,2.94,159.83,144.97,3.615,191.25,低,基底+40 · CB+18 · PullbackQ+13 · VS+12 · RS+12 · TC+0 · Bonus+5,從20日高點回檔3.5%；站上EMA20(+15.5%)；1M報酬36.2%；超額報酬vs SPY:+31.1%；SPY:+5.1%&QQQ:+10.0%；RSI74；MACD金叉多頭,18,13,12,12,0,5,待 Grok 評分,待 Grok 評分
3,3,RVTY,RVTY,97,低,RVTY,96.83,10.8,11.59,56.5,1.62,94.62,90.81,0.0137,103.0,低,基底+40 · CB+12 · PullbackQ+13 · VS+8 · RS+9 · TC+10 · Bonus+5,從20日高點回檔6.0%；站上EMA20(+2.3%)；1M報酬11.6%；超額報酬vs SPY:+6.5%；SPY:+5.1%&QQQ:+10.0%；RSI57；MACD金叉多頭；站上SMA200,12,13,8,9,10,5,待 Grok 評分,待 Grok 評分
4,4,HPQ,HPQ,93,低,HPQ,24.43,22.4,23.45,69.5,1.87,21.6,20.09,0.296,25.57,低,基底+40 · CB+12 · PullbackQ+13 · VS+8 · RS+12 · TC+3 · Bonus+5,從20日高點回檔4.5%；站上EMA20(+13.1%)；1M報酬23.4%；超額報酬vs SPY:+18.3%；SPY:+5.1%&QQQ:+10.0%；RSI70；MACD金叉多頭；站上SMA200,12,13,8,12,3,5,待 Grok 評分,待 Grok 評分
5,5,DELL,DELL,92,低,DELL,305.08,198.2,41.18,78.2,1.58,243.22,203.9,4.3125,308.64,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+12 · TC+0 · Bonus+5,從20日高點回檔1.2%；站上EMA20(+25.4%)；1M報酬41.2%；超額報酬vs SPY:+36.0%；SPY:+5.1%&QQQ:+10.0%；RSI78；MACD金叉多頭；站上SMA200,12,15,8,12,0,5,待 Grok 評分,待 Grok 評分
6,6,HON,霍尼韋爾,92,低,HON,231.72,146.8,9.3,66.4,1.59,219.62,221.71,2.2987,235.92,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+9 · TC+3 · Bonus+5,從20日高點回檔1.8%；站上EMA20(+5.5%)；1M報酬9.3%；超額報酬vs SPY:+4.2%；SPY:+5.1%&QQQ:+10.0%；RSI66；MACD金叉多頭；站上SMA200,12,15,8,9,3,5,待 Grok 評分,待 Grok 評分
7,7,MRVL,美滿電子,90,低,MRVL,208.26,182.3,26.75,75.1,1.75,174.37,139.89,1.3608,217.45,高,基底+40 · CB+12 · PullbackQ+13 · VS+8 · RS+12 · TC+0 · Bonus+5,從20日高點回檔4.2%；站上EMA20(+19.4%)；1M報酬26.7%；超額報酬vs SPY:+21.6%；SPY:+5.1%&QQQ:+10.0%；RSI75；MACD金叉多頭；站上SMA200,12,13,8,12,0,5,待 Grok 評分,待 Grok 評分
8,8,APP,APP,87,低,APP,514.24,172.8,14.71,60.3,1.41,478.23,449.4,1.0485,538.82,高,基底+40 · CB+8 · PullbackQ+13 · VS+4 · RS+12 · TC+10 · Bonus+0,從20日高點回檔4.6%；站上EMA20(+7.5%)；1M報酬14.7%；超額報酬vs SPY:+9.6%；SPY:+5.1%&QQQ:+10.0%；RSI60；MACD金叉多頭,8,13,4,12,10,0,待 Grok 評分,待 Grok 評分
9,9,UAL,UAL,81,低,UAL,105.92,34.4,13.89,64.5,1.09,96.48,94.22,0.9857,106.67,中,基底+40 · CB+4 · PullbackQ+15 · VS+0 · RS+12 · TC+10 · Bonus+0,從20日高點回檔0.7%；站上EMA20(+9.8%)；1M報酬13.9%；超額報酬vs SPY:+8.8%；SPY:+5.1%&QQQ:+10.0%；RSI64；MACD金叉多頭；站上SMA200,4,15,0,12,10,0,待 Grok 評分,待 Grok 評分
10,10,IBM,IBM,81,低,IBM,250.69,235.6,8.86,63.7,1.21,233.28,236.68,4.1595,264.38,低,基底+40 · CB+8 · PullbackQ+13 · VS+4 · RS+6 · TC+10 · Bonus+0,從20日高點回檔5.2%；站上EMA20(+7.5%)；1M報酬8.9%；超額報酬vs SPY:+3.7%；SPY:+5.1%&QQQ:+10.0%；RSI64；MACD金叉多頭,8,13,4,6,10,0,待 Grok 評分,待 Grok 評分
