Final_Rank,Rank,Ticker,CN_Name,New_Grok_Elite_Score,風險等級,Company_Name,Current_Price,Market_Cap_B,1M_Return_pct,RSI,Volume_Ratio,EMA20,SMA50,MACD_Hist,High_20,Gap_Risk,Score_Breakdown,Reason,CB_score,PullbackQ_score,VS_score,RS_score,TC_score,Bonus_score,X_Catalyst_Score,X_Catalyst_Reason
1,1,IQV,"IQVIA Holdings, Inc.",100,低,"IQVIA Holdings, Inc.",242.94,40.0,27.1,79.5,3.56,206.34,189.85,1.6117,247.72,高,基底+40 · CB+18 · PullbackQ+15 · VS+12 · RS+12 · TC+0 · Bonus+5,從20日高點回檔1.9%；站上EMA20(+17.7%)；1M報酬27.1%；超額報酬vs SPY:+25.5%；SPY:+1.6%&QQQ:-4.4%；RSI80；MACD金叉多頭；站上SMA200,18,15,12,12,0,5,待 Grok 評分,待 Grok 評分
2,2,INCY,Incyte Corporation,100,低,Incyte Corporation,129.93,26.0,14.22,76.8,3.21,116.29,107.46,0.3978,132.6,高,基底+40 · CB+18 · PullbackQ+15 · VS+12 · RS+12 · TC+0 · Bonus+5,從20日高點回檔2.0%；站上EMA20(+11.7%)；1M報酬14.2%；超額報酬vs SPY:+12.6%；SPY:+1.6%&QQQ:-4.4%；RSI77；MACD金叉多頭；站上SMA200,18,15,12,12,0,5,待 Grok 評分,待 Grok 評分
3,3,SOLV,Solventum Corporation,100,低,Solventum Corporation,86.17,14.9,8.35,68.8,2.24,78.92,77.66,0.491,87.21,高,基底+40 · CB+18 · PullbackQ+15 · VS+12 · RS+9 · TC+3 · Bonus+5,從20日高點回檔1.2%；站上EMA20(+9.2%)；1M報酬8.3%；超額報酬vs SPY:+6.7%；SPY:+1.6%&QQQ:-4.4%；RSI69；MACD金叉多頭；站上SMA200,18,15,12,9,3,5,待 Grok 評分,待 Grok 評分
4,4,XYL,Xylem Inc.,100,低,Xylem Inc.,124.97,29.2,7.32,64.4,2.04,119.2,114.22,-0.094,127.16,中,基底+40 · CB+18 · PullbackQ+15 · VS+12 · RS+9 · TC+6 · Bonus+5,從20日高點回檔1.7%；站上EMA20(+4.8%)；1M報酬7.3%；超額報酬vs SPY:+5.7%；SPY:+1.6%&QQQ:-4.4%；RSI64；MACD多頭,18,15,12,9,6,5,待 Grok 評分,待 Grok 評分
5,5,KO,可口可樂,100,低,Coca-Cola Company (The),88.27,379.8,6.83,67.0,2.0,82.95,81.38,0.2293,90.22,中,基底+40 · CB+18 · PullbackQ+15 · VS+12 · RS+9 · TC+3 · Bonus+5,從20日高點回檔2.2%；站上EMA20(+6.4%)；1M報酬6.8%；超額報酬vs SPY:+5.2%；SPY:+1.6%&QQQ:-4.4%；RSI67；MACD金叉多頭；站上SMA200,18,15,12,9,3,5,待 Grok 評分,待 Grok 評分
6,6,ABNB,Airbnb,100,低,"Airbnb, Inc.",153.11,90.9,5.19,62.6,2.03,144.66,140.03,-0.0924,153.19,中,基底+40 · CB+18 · PullbackQ+15 · VS+12 · RS+6 · TC+6 · Bonus+5,從20日高點回檔0.1%；站上EMA20(+5.8%)；1M報酬5.2%；超額報酬vs SPY:+3.6%；SPY:+1.6%&QQQ:-4.4%；RSI63；MACD多頭；站上SMA200,18,15,12,6,6,5,待 Grok 評分,待 Grok 評分
7,7,AWK,"American Water Works Company, I",100,低,"American Water Works Company, I",138.04,27.0,4.04,63.9,2.16,132.91,128.49,0.2305,140.44,低,基底+40 · CB+18 · PullbackQ+15 · VS+12 · RS+6 · TC+10 · Bonus+5,從20日高點回檔1.7%；站上EMA20(+3.9%)；1M報酬4.0%；超額報酬vs SPY:+2.4%；SPY:+1.6%&QQQ:-4.4%；RSI64；MACD金叉多頭；站上SMA200,18,15,12,6,10,5,待 Grok 評分,待 Grok 評分
8,8,IVZ,Invesco Ltd,100,低,Invesco Ltd,29.43,13.0,12.5,54.7,1.73,29.12,28.08,0.0382,31.02,低,基底+40 · CB+12 · PullbackQ+13 · VS+8 · RS+12 · TC+10 · Bonus+5,從20日高點回檔5.1%；站上EMA20(+1.1%)；1M報酬12.5%；超額報酬vs SPY:+10.9%；SPY:+1.6%&QQQ:-4.4%；RSI55；MACD金叉多頭；站上SMA200,12,13,8,12,10,5,待 Grok 評分,待 Grok 評分
9,9,UNP,聯合太平洋,100,低,Union Pacific Corporation,294.45,174.9,9.73,57.1,1.57,290.44,275.97,0.1513,315.99,低,基底+40 · CB+12 · PullbackQ+13 · VS+8 · RS+12 · TC+10 · Bonus+5,從20日高點回檔6.8%；站上EMA20(+1.4%)；1M報酬9.7%；超額報酬vs SPY:+8.1%；SPY:+1.6%&QQQ:-4.4%；RSI57；MACD金叉多頭；站上SMA200,12,13,8,12,10,5,待 Grok 評分,待 Grok 評分
10,10,CTVA,"Corteva, Inc.",99,低,"Corteva, Inc.",88.95,59.5,7.66,64.9,1.68,86.07,81.64,0.0701,89.75,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+9 · TC+10 · Bonus+5,從20日高點回檔0.9%；站上EMA20(+3.3%)；1M報酬7.7%；超額報酬vs SPY:+6.0%；SPY:+1.6%&QQQ:-4.4%；RSI65；MACD金叉多頭；站上SMA200,12,15,8,9,10,5,待 Grok 評分,待 Grok 評分
