Final_Rank,Rank,Ticker,CN_Name,New_Grok_Elite_Score,風險等級,Company_Name,Current_Price,Market_Cap_B,1M_Return_pct,RSI,Volume_Ratio,EMA20,SMA50,MACD_Hist,High_20,Gap_Risk,Score_Breakdown,Reason,CB_score,PullbackQ_score,VS_score,RS_score,TC_score,Bonus_score,X_Catalyst_Score,X_Catalyst_Reason
1,1,YUM,百勝餐飲,100,低,"Yum! Brands, Inc.",162.39,44.8,10.19,59.3,1.7,158.63,154.06,1.0556,170.14,低,基底+40 · CB+12 · PullbackQ+13 · VS+8 · RS+12 · TC+10 · Bonus+5,從20日高點回檔4.6%；站上EMA20(+2.4%)；1M報酬10.2%；超額報酬vs SPY:+8.2%；SPY:+2.0%&QQQ:+1.1%；RSI59；MACD金叉多頭；站上SMA200,12,13,8,12,10,5,待 Grok 評分,待 Grok 評分
2,2,EXPE,"Expedia Group, Inc.",89,低,"Expedia Group, Inc.",267.78,32.1,18.54,61.3,1.38,253.68,237.73,1.2248,275.81,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+12 · TC+10 · Bonus+0,從20日高點回檔2.9%；站上EMA20(+5.6%)；1M報酬18.5%；超額報酬vs SPY:+16.6%；SPY:+2.0%&QQQ:+1.1%；RSI61；MACD金叉多頭；站上SMA200,8,15,4,12,10,0,待 Grok 評分,待 Grok 評分
3,3,WRB,W.R. Berkley Corporation,86,低,W.R. Berkley Corporation,71.82,26.7,8.57,63.4,1.24,69.68,67.27,0.1806,73.08,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+9 · TC+10 · Bonus+0,從20日高點回檔1.7%；站上EMA20(+3.1%)；1M報酬8.6%；超額報酬vs SPY:+6.6%；SPY:+2.0%&QQQ:+1.1%；RSI63；MACD金叉多頭；站上SMA200,8,15,4,9,10,0,待 Grok 評分,待 Grok 評分
4,4,META,Meta平台,86,低,"Meta Platforms, Inc.",631.48,1603.0,7.97,60.0,1.37,590.78,600.12,8.1912,633.27,中,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+9 · TC+10 · Bonus+0,從20日高點回檔0.3%；站上EMA20(+6.9%)；1M報酬8.0%；超額報酬vs SPY:+6.0%；SPY:+2.0%&QQQ:+1.1%；RSI60；MACD金叉多頭,8,15,4,9,10,0,待 Grok 評分,待 Grok 評分
5,5,ALLE,Allegion plc,86,低,Allegion plc,135.07,11.6,6.27,49.4,1.51,135.87,132.83,0.0264,142.01,低,基底+40 · CB+6 · PullbackQ+13 · VS+8 · RS+9 · TC+10 · Bonus+0,從20日高點回檔4.9%；貼近EMA20(-0.6%，整理中)；1M報酬6.3%；超額報酬vs SPY:+4.3%；SPY:+2.0%&QQQ:+1.1%；RSI49；MACD金叉多頭,6,13,8,9,10,0,待 Grok 評分,待 Grok 評分
6,6,CINF,Cincinnati Financial Corporatio,86,低,Cincinnati Financial Corporatio,175.43,27.1,8.72,49.0,2.16,178.48,168.4,-0.281,194.81,低,基底+40 · CB+10 · PullbackQ+10 · VS+12 · RS+9 · TC+0 · Bonus+5,從20日高點回檔9.9%；貼近EMA20(-1.7%，整理中)；1M報酬8.7%；超額報酬vs SPY:+6.8%；SPY:+2.0%&QQQ:+1.1%；RSI49；MACD待確認；站上SMA200,10,10,12,9,0,5,待 Grok 評分,待 Grok 評分
7,7,SYY,Sysco Corporation,84,低,Sysco Corporation,82.03,39.2,7.97,58.8,1.4,81.0,76.69,0.0756,85.31,低,基底+40 · CB+8 · PullbackQ+13 · VS+4 · RS+9 · TC+10 · Bonus+0,從20日高點回檔3.8%；站上EMA20(+1.3%)；1M報酬8.0%；超額報酬vs SPY:+6.0%；SPY:+2.0%&QQQ:+1.1%；RSI59；MACD金叉多頭；站上SMA200,8,13,4,9,10,0,待 Grok 評分,待 Grok 評分
8,8,CDW,CDW Corporation,83,低,CDW Corporation,140.21,17.9,4.01,60.3,1.41,133.53,124.86,0.3222,144.33,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+6 · TC+10 · Bonus+0,從20日高點回檔2.9%；站上EMA20(+5.0%)；1M報酬4.0%；超額報酬vs SPY:+2.1%；SPY:+2.0%&QQQ:+1.1%；RSI60；MACD金叉多頭；站上SMA200,8,15,4,6,10,0,待 Grok 評分,待 Grok 評分
9,9,PRU,保德信金融,82,低,"Prudential Financial, Inc.",115.0,39.9,10.88,67.3,1.24,109.64,104.05,0.4413,116.7,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+12 · TC+3 · Bonus+0,從20日高點回檔1.5%；站上EMA20(+4.9%)；1M報酬10.9%；超額報酬vs SPY:+8.9%；SPY:+2.0%&QQQ:+1.1%；RSI67；MACD金叉多頭；站上SMA200,8,15,4,12,3,0,待 Grok 評分,待 Grok 評分
10,10,JPM,摩根大通,82,低,JP Morgan Chase & Co.,335.47,898.9,8.32,61.0,1.43,327.36,313.29,-0.0955,341.91,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+9 · TC+6 · Bonus+0,從20日高點回檔1.9%；站上EMA20(+2.5%)；1M報酬8.3%；超額報酬vs SPY:+6.4%；SPY:+2.0%&QQQ:+1.1%；RSI61；MACD多頭；站上SMA200,8,15,4,9,6,0,待 Grok 評分,待 Grok 評分
11,11,PFG,Principal Financial Group Inc,82,低,Principal Financial Group Inc,111.67,24.1,6.32,59.6,1.23,109.24,105.28,-0.0089,113.86,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+9 · TC+6 · Bonus+0,從20日高點回檔1.9%；站上EMA20(+2.2%)；1M報酬6.3%；超額報酬vs SPY:+4.4%；SPY:+2.0%&QQQ:+1.1%；RSI60；MACD多頭；站上SMA200,8,15,4,9,6,0,待 Grok 評分,待 Grok 評分
12,12,ANET,"Arista Networks, Inc.",81,低,"Arista Networks, Inc.",184.69,232.6,18.09,61.9,1.16,167.58,159.91,1.5027,189.82,低,基底+40 · CB+4 · PullbackQ+15 · VS+0 · RS+12 · TC+10 · Bonus+0,從20日高點回檔2.7%；站上EMA20(+10.2%)；1M報酬18.1%；超額報酬vs SPY:+16.1%；SPY:+2.0%&QQQ:+1.1%；RSI62；MACD金叉多頭；站上SMA200,4,15,0,12,10,0,待 Grok 評分,待 Grok 評分
13,13,RVTY,"Revvity, Inc.",81,低,"Revvity, Inc.",112.95,12.6,12.61,62.9,1.05,107.73,100.33,0.227,116.16,低,基底+40 · CB+4 · PullbackQ+15 · VS+0 · RS+12 · TC+10 · Bonus+0,從20日高點回檔2.8%；站上EMA20(+4.8%)；1M報酬12.6%；超額報酬vs SPY:+10.7%；SPY:+2.0%&QQQ:+1.1%；RSI63；MACD金叉多頭；站上SMA200,4,15,0,12,10,0,待 Grok 評分,待 Grok 評分
14,14,MRSH,Marsh,81,低,Marsh,179.0,86.2,10.14,64.0,1.01,170.49,165.83,1.5513,179.81,低,基底+40 · CB+4 · PullbackQ+15 · VS+0 · RS+12 · TC+10 · Bonus+0,從20日高點回檔0.5%；站上EMA20(+5.0%)；1M報酬10.1%；超額報酬vs SPY:+8.2%；SPY:+2.0%&QQQ:+1.1%；RSI64；MACD金叉多頭；站上SMA200,4,15,0,12,10,0,待 Grok 評分,待 Grok 評分
15,15,IBM,IBM,81,低,International Business Machines,295.3,277.5,5.16,60.3,1.31,281.39,260.27,2.5891,311.8,低,基底+40 · CB+8 · PullbackQ+13 · VS+4 · RS+6 · TC+10 · Bonus+0,從20日高點回檔5.3%；站上EMA20(+4.9%)；1M報酬5.2%；超額報酬vs SPY:+3.2%；SPY:+2.0%&QQQ:+1.1%；RSI60；MACD金叉多頭；站上SMA200,8,13,4,6,10,0,待 Grok 評分,待 Grok 評分
16,16,UPS,聯合包裹,80,低,"United Parcel Service, Inc.",110.74,94.1,2.82,57.9,1.24,108.44,104.56,0.1191,113.22,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+3 · TC+10 · Bonus+0,從20日高點回檔2.2%；站上EMA20(+2.1%)；1M報酬2.8%；超額報酬vs SPY:+0.9%；SPY:+2.0%&QQQ:+1.1%；RSI58；MACD金叉多頭；站上SMA200,8,15,4,3,10,0,待 Grok 評分,待 Grok 評分
17,17,DDOG,Datadog,79,中,"Datadog, Inc.",269.0,95.8,16.11,70.2,1.3,244.81,218.34,1.5309,271.27,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+12 · TC+0 · Bonus+0,從20日高點回檔0.8%；站上EMA20(+9.9%)；1M報酬16.1%；超額報酬vs SPY:+14.2%；SPY:+2.0%&QQQ:+1.1%；RSI70；MACD金叉多頭；站上SMA200,8,15,4,12,0,0,待 Grok 評分,待 Grok 評分
