Final_Rank,Rank,Ticker,CN_Name,New_Grok_Elite_Score,風險等級,Company_Name,Current_Price,Market_Cap_B,1M_Return_pct,RSI,Volume_Ratio,EMA20,SMA50,MACD_Hist,High_20,Gap_Risk,Score_Breakdown,Reason,CB_score,PullbackQ_score,VS_score,RS_score,TC_score,Bonus_score,X_Catalyst_Score,X_Catalyst_Reason
1,1,ABNB,Airbnb,100,低,"Airbnb, Inc.",184.7,110.8,24.28,81.5,2.18,154.2,144.51,3.2335,185.99,低,基底+40 · CB+18 · PullbackQ+15 · VS+12 · RS+12 · TC+0 · Bonus+5,從20日高點回檔0.7%；站上EMA20(+19.8%)；1M報酬24.3%；超額報酬vs SPY:+21.4%；SPY:+2.9%&QQQ:+0.9%；RSI82；MACD金叉多頭；站上SMA200,18,15,12,12,0,5,待 Grok 評分,待 Grok 評分
2,2,SMCI,"Super Micro Computer, Inc.",100,低,"Super Micro Computer, Inc.",31.6,20.4,14.24,56.0,1.89,29.55,31.37,0.5588,33.39,低,基底+40 · CB+12 · PullbackQ+13 · VS+8 · RS+12 · TC+10 · Bonus+5,從20日高點回檔5.4%；站上EMA20(+6.9%)；1M報酬14.2%；超額報酬vs SPY:+11.4%；SPY:+2.9%&QQQ:+0.9%；RSI56；MACD金叉多頭,12,13,8,12,10,5,待 Grok 評分,待 Grok 評分
3,3,EL,"Estee Lauder Companies, Inc. (T",99,低,"Estee Lauder Companies, Inc. (T",87.78,31.8,8.17,59.6,1.75,84.98,83.94,0.4947,88.87,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+9 · TC+10 · Bonus+5,從20日高點回檔1.2%；站上EMA20(+3.3%)；1M報酬8.2%；超額報酬vs SPY:+5.3%；SPY:+2.9%&QQQ:+0.9%；RSI60；MACD金叉多頭,12,15,8,9,10,5,待 Grok 評分,待 Grok 評分
4,4,DASH,DoorDash,97,低,"DoorDash, Inc.",209.86,92.4,9.4,64.1,1.65,196.61,180.71,2.083,222.39,低,基底+40 · CB+12 · PullbackQ+13 · VS+8 · RS+9 · TC+10 · Bonus+5,從20日高點回檔5.6%；站上EMA20(+6.7%)；1M報酬9.4%；超額報酬vs SPY:+6.5%；SPY:+2.9%&QQQ:+0.9%；RSI64；MACD金叉多頭；站上SMA200,12,13,8,9,10,5,待 Grok 評分,待 Grok 評分
5,5,TPR,"Tapestry, Inc.",95,低,"Tapestry, Inc.",160.54,32.4,17.93,65.1,1.79,153.11,146.42,1.5034,164.8,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+12 · TC+3 · Bonus+5,從20日高點回檔2.6%；站上EMA20(+4.9%)；1M報酬17.9%；超額報酬vs SPY:+15.1%；SPY:+2.9%&QQQ:+0.9%；RSI65；MACD金叉多頭；站上SMA200,12,15,8,12,3,5,待 Grok 評分,待 Grok 評分
6,6,KKR,KKR & Co. Inc.,95,低,KKR & Co. Inc.,110.97,99.6,14.73,67.2,1.77,102.13,97.35,0.5764,111.34,高,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+12 · TC+3 · Bonus+5,從20日高點回檔0.3%；站上EMA20(+8.7%)；1M報酬14.7%；超額報酬vs SPY:+11.9%；SPY:+2.9%&QQQ:+0.9%；RSI67；MACD金叉多頭；站上SMA200,12,15,8,12,3,5,待 Grok 評分,待 Grok 評分
7,7,TSCO,Tractor Supply Company,90,低,Tractor Supply Company,35.29,18.4,16.7,71.6,1.78,32.38,30.98,0.4814,36.41,低,基底+40 · CB+12 · PullbackQ+13 · VS+8 · RS+12 · TC+0 · Bonus+5,從20日高點回檔3.1%；站上EMA20(+9.0%)；1M報酬16.7%；超額報酬vs SPY:+13.8%；SPY:+2.9%&QQQ:+0.9%；RSI72；MACD金叉多頭,12,13,8,12,0,5,待 Grok 評分,待 Grok 評分
8,8,JBL,Jabil Inc.,86,低,Jabil Inc.,356.61,37.4,10.76,60.9,1.34,330.42,344.42,6.0518,357.72,中,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+9 · TC+10 · Bonus+0,從20日高點回檔0.3%；站上EMA20(+7.9%)；1M報酬10.8%；超額報酬vs SPY:+7.9%；SPY:+2.9%&QQQ:+0.9%；RSI61；MACD金叉多頭；站上SMA200,8,15,4,9,10,0,待 Grok 評分,待 Grok 評分
9,9,UBER,Uber,83,低,"Uber Technologies, Inc.",78.03,160.4,4.68,63.1,1.29,71.94,71.89,0.7076,78.1,中,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+6 · TC+10 · Bonus+0,從20日高點回檔0.1%；站上EMA20(+8.5%)；1M報酬4.7%；超額報酬vs SPY:+1.8%；SPY:+2.9%&QQQ:+0.9%；RSI63；MACD金叉多頭；站上SMA200,8,15,4,6,10,0,待 Grok 評分,待 Grok 評分
10,10,APO,"Apollo Global Management, Inc. ",82,低,"Apollo Global Management, Inc. ",140.28,82.8,18.05,69.2,1.39,126.95,125.65,1.6567,140.98,高,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+12 · TC+3 · Bonus+0,從20日高點回檔0.5%；站上EMA20(+10.5%)；1M報酬18.1%；超額報酬vs SPY:+15.2%；SPY:+2.9%&QQQ:+0.9%；RSI69；MACD金叉多頭；站上SMA200,8,15,4,12,3,0,待 Grok 評分,待 Grok 評分
11,11,MPC,Marathon Petroleum Corporation,82,低,Marathon Petroleum Corporation,336.42,98.2,13.32,69.4,1.4,306.32,282.35,-0.3314,336.45,中,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+12 · TC+3 · Bonus+0,從20日高點回檔0.0%；站上EMA20(+9.8%)；1M報酬13.3%；超額報酬vs SPY:+10.5%；SPY:+2.9%&QQQ:+0.9%；RSI69；MACD待確認；站上SMA200,8,15,4,12,3,0,待 Grok 評分,待 Grok 評分
12,12,ROST,羅斯百貨,81,低,"Ross Stores, Inc.",251.81,80.8,14.74,64.4,1.11,245.29,232.81,0.3331,257.0,低,基底+40 · CB+4 · PullbackQ+15 · VS+0 · RS+12 · TC+10 · Bonus+0,從20日高點回檔2.0%；站上EMA20(+2.7%)；1M報酬14.7%；超額報酬vs SPY:+11.9%；SPY:+2.9%&QQQ:+0.9%；RSI64；MACD金叉多頭；站上SMA200,4,15,0,12,10,0,待 Grok 評分,待 Grok 評分
13,13,CVNA,Carvana Co.,81,低,Carvana Co.,74.16,79.2,12.65,62.6,1.11,67.18,66.76,1.0793,74.78,中,基底+40 · CB+4 · PullbackQ+15 · VS+0 · RS+12 · TC+10 · Bonus+0,從20日高點回檔0.8%；站上EMA20(+10.4%)；1M報酬12.7%；超額報酬vs SPY:+9.8%；SPY:+2.9%&QQQ:+0.9%；RSI63；MACD金叉多頭；站上SMA200,4,15,0,12,10,0,待 Grok 評分,待 Grok 評分
