Final_Rank,Rank,Ticker,CN_Name,New_Grok_Elite_Score,風險等級,Company_Name,Current_Price,Market_Cap_B,1M_Return_pct,RSI,Volume_Ratio,EMA20,SMA50,MACD_Hist,High_20,Gap_Risk,Score_Breakdown,Reason,CB_score,PullbackQ_score,VS_score,RS_score,TC_score,Bonus_score,X_Catalyst_Score,X_Catalyst_Reason
1,1,EXPD,Expeditors International of Was,100,低,Expeditors International of Was,182.8,23.9,11.45,77.6,2.07,170.51,162.47,1.5688,183.52,低,基底+40 · CB+18 · PullbackQ+15 · VS+12 · RS+12 · TC+0 · Bonus+5,從20日高點回檔0.4%；站上EMA20(+7.2%)；1M報酬11.4%；超額報酬vs SPY:+12.1%；SPY:-0.7%&QQQ:-4.6%；RSI78；MACD金叉多頭；站上SMA200,18,15,12,12,0,5,待 Grok 評分,待 Grok 評分
2,2,CHRW,"C.H. Robinson Worldwide, Inc.",100,低,"C.H. Robinson Worldwide, Inc.",208.5,24.6,10.08,72.3,2.24,193.09,182.7,1.672,208.83,低,基底+40 · CB+18 · PullbackQ+15 · VS+12 · RS+12 · TC+0 · Bonus+5,從20日高點回檔0.2%；站上EMA20(+8.0%)；1M報酬10.1%；超額報酬vs SPY:+10.8%；SPY:-0.7%&QQQ:-4.6%；RSI72；MACD金叉多頭；站上SMA200,18,15,12,12,0,5,待 Grok 評分,待 Grok 評分
3,3,RF,Regions Financial Corporation,100,低,Regions Financial Corporation,31.65,27.0,9.14,64.1,1.83,30.49,28.8,0.095,32.47,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+12 · TC+10 · Bonus+5,從20日高點回檔2.5%；站上EMA20(+3.8%)；1M報酬9.1%；超額報酬vs SPY:+9.8%；SPY:-0.7%&QQQ:-4.6%；RSI64；MACD金叉多頭；站上SMA200,12,15,8,12,10,5,待 Grok 評分,待 Grok 評分
4,4,FITB,Fifth Third Bancorp,98,低,Fifth Third Bancorp,58.01,52.6,9.32,62.5,1.54,56.33,52.53,-0.0277,59.5,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+12 · TC+6 · Bonus+5,從20日高點回檔2.5%；站上EMA20(+3.0%)；1M報酬9.3%；超額報酬vs SPY:+10.0%；SPY:-0.7%&QQQ:-4.6%；RSI62；MACD多頭；站上SMA200,12,15,8,12,6,5,待 Grok 評分,待 Grok 評分
5,5,AMCR,Amcor plc,93,低,Amcor plc,43.94,20.3,6.08,58.6,1.8,42.75,40.35,-0.0568,45.39,低,基底+40 · CB+12 · PullbackQ+13 · VS+8 · RS+9 · TC+6 · Bonus+5,從20日高點回檔3.2%；站上EMA20(+2.8%)；1M報酬6.1%；超額報酬vs SPY:+6.8%；SPY:-0.7%&QQQ:-4.6%；RSI59；MACD多頭；站上SMA200,12,13,8,9,6,5,待 Grok 評分,待 Grok 評分
6,6,TRV,"The Travelers Companies, Inc.",92,低,"The Travelers Companies, Inc.",368.98,78.5,19.99,75.6,1.92,333.11,312.58,1.1284,370.43,高,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+12 · TC+0 · Bonus+5,從20日高點回檔0.4%；站上EMA20(+10.8%)；1M報酬20.0%；超額報酬vs SPY:+20.7%；SPY:-0.7%&QQQ:-4.6%；RSI76；MACD金叉多頭；站上SMA200,12,15,8,12,0,5,待 Grok 評分,待 Grok 評分
7,7,AFL,美國家庭,92,低,AFLAC Incorporated,124.72,63.5,6.23,66.0,1.65,120.65,117.46,0.2334,125.93,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+9 · TC+3 · Bonus+5,從20日高點回檔1.0%；站上EMA20(+3.4%)；1M報酬6.2%；超額報酬vs SPY:+6.9%；SPY:-0.7%&QQQ:-4.6%；RSI66；MACD金叉多頭；站上SMA200,12,15,8,9,3,5,待 Grok 評分,待 Grok 評分
8,8,COR,"Cencora, Inc.",89,低,"Cencora, Inc.",307.9,59.9,9.39,63.7,1.43,295.89,278.31,0.9187,313.9,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+12 · TC+10 · Bonus+0,從20日高點回檔1.9%；站上EMA20(+4.1%)；1M報酬9.4%；超額報酬vs SPY:+10.1%；SPY:-0.7%&QQQ:-4.6%；RSI64；MACD金叉多頭,8,15,4,12,10,0,待 Grok 評分,待 Grok 評分
9,9,MNST,Monster Beverage Corporation,89,低,Monster Beverage Corporation,97.5,95.4,4.9,59.0,1.65,96.06,91.25,-0.199,100.34,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+9 · TC+0 · Bonus+5,從20日高點回檔2.8%；站上EMA20(+1.5%)；1M報酬4.9%；超額報酬vs SPY:+5.6%；SPY:-0.7%&QQQ:-4.6%；RSI59；MACD待確認；站上SMA200,12,15,8,9,0,5,待 Grok 評分,待 Grok 評分
10,10,XYL,Xylem Inc.,87,低,Xylem Inc.,122.78,29.2,9.6,64.2,1.35,118.67,113.25,0.4949,126.76,低,基底+40 · CB+8 · PullbackQ+13 · VS+4 · RS+12 · TC+10 · Bonus+0,從20日高點回檔3.1%；站上EMA20(+3.5%)；1M報酬9.6%；超額報酬vs SPY:+10.3%；SPY:-0.7%&QQQ:-4.6%；RSI64；MACD金叉多頭,8,13,4,12,10,0,待 Grok 評分,待 Grok 評分
