Final_Rank,Rank,Ticker,CN_Name,New_Grok_Elite_Score,風險等級,Company_Name,Current_Price,Market_Cap_B,1M_Return_pct,RSI,Volume_Ratio,EMA20,SMA50,MACD_Hist,High_20,Gap_Risk,Score_Breakdown,Reason,CB_score,PullbackQ_score,VS_score,RS_score,TC_score,Bonus_score,X_Catalyst_Score,X_Catalyst_Reason
1,1,TSLA,特斯拉,100,低,"Tesla, Inc.",354.08,1398.5,10.81,50.9,1.71,351.83,357.95,2.9259,384.04,低,基底+40 · CB+12 · PullbackQ+13 · VS+8 · RS+12 · TC+10 · Bonus+5,從20日高點回檔7.8%；站上EMA20(+0.6%)；1M報酬10.8%；超額報酬vs SPY:+10.6%；SPY:+0.2%&QQQ:+0.6%；RSI51；MACD金叉多頭,12,13,8,12,10,5,待 Grok 評分,待 Grok 評分
2,2,BEN,"Franklin Templeton, Inc.",92,低,"Franklin Templeton, Inc.",34.73,17.6,2.15,57.1,1.58,34.03,33.71,-0.0931,35.39,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+6 · TC+6 · Bonus+5,從20日高點回檔1.9%；站上EMA20(+2.1%)；1M報酬2.1%；超額報酬vs SPY:+1.9%；SPY:+0.2%&QQQ:+0.6%；RSI57；MACD多頭；站上SMA200,12,15,8,6,6,5,待 Grok 評分,待 Grok 評分
3,3,DELL,Dell Technologies Inc.,89,低,Dell Technologies Inc.,524.14,338.7,19.76,63.7,1.34,465.36,439.23,5.0784,534.99,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+12 · TC+10 · Bonus+0,從20日高點回檔2.0%；站上EMA20(+12.6%)；1M報酬19.8%；超額報酬vs SPY:+19.6%；SPY:+0.2%&QQQ:+0.6%；RSI64；MACD金叉多頭；站上SMA200,8,15,4,12,10,0,待 Grok 評分,待 Grok 評分
4,4,MU,美光科技,89,低,"Micron Technology, Inc.",1016.59,1148.1,15.33,60.1,1.27,944.38,938.26,5.8685,1036.13,高,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+12 · TC+10 · Bonus+0,從20日高點回檔1.9%；站上EMA20(+7.6%)；1M報酬15.3%；超額報酬vs SPY:+15.1%；SPY:+0.2%&QQQ:+0.6%；RSI60；MACD金叉多頭；站上SMA200,8,15,4,12,10,0,待 Grok 評分,待 Grok 評分
5,5,SNDK,Sandisk Corporation,87,低,Sandisk Corporation,1740.0,254.8,38.25,61.2,1.24,1534.87,1550.25,19.4429,1827.99,高,基底+40 · CB+8 · PullbackQ+13 · VS+4 · RS+12 · TC+10 · Bonus+0,從20日高點回檔4.8%；站上EMA20(+13.4%)；1M報酬38.3%；超額報酬vs SPY:+38.0%；SPY:+0.2%&QQQ:+0.6%；RSI61；MACD金叉多頭；站上SMA200,8,13,4,12,10,0,待 Grok 評分,待 Grok 評分
6,6,HAL,哈里伯頓,81,低,Halliburton Company,37.07,30.9,14.56,63.5,1.18,35.34,33.94,0.3237,38.06,低,基底+40 · CB+4 · PullbackQ+15 · VS+0 · RS+12 · TC+10 · Bonus+0,從20日高點回檔2.6%；站上EMA20(+4.9%)；1M報酬14.6%；超額報酬vs SPY:+14.3%；SPY:+0.2%&QQQ:+0.6%；RSI64；MACD金叉多頭；站上SMA200,4,15,0,12,10,0,待 Grok 評分,待 Grok 評分
7,7,ORCL,甲骨文,81,低,Oracle Corporation,158.78,457.4,10.67,61.0,1.16,147.28,139.75,0.9114,159.7,低,基底+40 · CB+4 · PullbackQ+15 · VS+0 · RS+12 · TC+10 · Bonus+0,從20日高點回檔0.6%；站上EMA20(+7.8%)；1M報酬10.7%；超額報酬vs SPY:+10.5%；SPY:+0.2%&QQQ:+0.6%；RSI61；MACD金叉多頭,4,15,0,12,10,0,待 Grok 評分,待 Grok 評分
8,8,VLO,瓦萊羅,79,中,Valero Energy Corporation,370.72,106.7,22.35,75.3,1.21,346.75,314.47,0.8857,375.11,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+12 · TC+0 · Bonus+0,從20日高點回檔1.2%；站上EMA20(+6.9%)；1M報酬22.4%；超額報酬vs SPY:+22.1%；SPY:+0.2%&QQQ:+0.6%；RSI75；MACD金叉多頭；站上SMA200,8,15,4,12,0,0,待 Grok 評分,待 Grok 評分
9,9,CF,"CF Industries Holdings, Inc.",79,中,"CF Industries Holdings, Inc.",133.35,20.2,14.83,60.8,1.01,127.72,120.77,1.1364,141.27,低,基底+40 · CB+4 · PullbackQ+13 · VS+0 · RS+12 · TC+10 · Bonus+0,從20日高點回檔5.6%；站上EMA20(+4.4%)；1M報酬14.8%；超額報酬vs SPY:+14.6%；SPY:+0.2%&QQQ:+0.6%；RSI61；MACD金叉多頭；站上SMA200,4,13,0,12,10,0,待 Grok 評分,待 Grok 評分
10,10,OKE,"ONEOK, Inc.",79,中,"ONEOK, Inc.",95.43,60.1,8.53,58.4,1.01,94.0,91.15,0.0186,99.85,低,基底+40 · CB+4 · PullbackQ+13 · VS+0 · RS+12 · TC+10 · Bonus+0,從20日高點回檔4.4%；站上EMA20(+1.5%)；1M報酬8.5%；超額報酬vs SPY:+8.3%；SPY:+0.2%&QQQ:+0.6%；RSI58；MACD金叉多頭；站上SMA200,4,13,0,12,10,0,待 Grok 評分,待 Grok 評分
