Final_Rank,Rank,Ticker,CN_Name,New_Grok_Elite_Score,風險等級,Company_Name,Current_Price,Market_Cap_B,1M_Return_pct,RSI,Volume_Ratio,EMA20,SMA50,MACD_Hist,High_20,Gap_Risk,Score_Breakdown,Reason,CB_score,PullbackQ_score,VS_score,RS_score,TC_score,Bonus_score,X_Catalyst_Score,X_Catalyst_Reason
1,1,APP,APP,98,低,APP,468.55,157.4,23.58,53.3,1.73,459.32,445.84,2.179,512.69,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+8 · TC+10 · Bonus+5,從20日高點回檔8.6%；守EMA20；1M報酬23.6%；SPY:+8.5%&QQQ:+16.6%；RSI53健康；MACD金叉多頭,12,15,8,8,10,5,待 Grok 評分,待 Grok 評分
2,2,GLW,GLW,91,低,GLW,186.94,160.9,10.09,66.7,1.66,166.36,151.43,1.2276,198.25,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+8 · TC+3 · Bonus+5,從20日高點回檔5.7%；守EMA20；1M報酬10.1%；SPY:+8.5%&QQQ:+16.6%；RSI67健康；MACD金叉多頭；站上SMA200（斜率上升）,12,15,8,8,3,5,待 Grok 評分,待 Grok 評分
3,3,MCHP,微芯科技,88,低,MCHP,99.09,53.6,39.13,72.8,1.74,88.83,74.72,1.15,105.91,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+8 · TC+0 · Bonus+5,從20日高點回檔6.4%；守EMA20；1M報酬39.1%；SPY:+8.5%&QQQ:+16.6%；RSI73健康；MACD金叉多頭；站上SMA200（斜率上升）,12,15,8,8,0,5,待 Grok 評分,待 Grok 評分
4,4,COIN,Coinbase,85,低,COIN,201.16,53.0,19.02,55.3,1.28,193.76,190.22,0.145,216.05,中,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+8 · TC+10 · Bonus+0,從20日高點回檔6.9%；守EMA20；1M報酬19.0%；SPY:+8.5%&QQQ:+16.6%；RSI55健康；MACD金叉多頭,8,15,4,8,10,0,待 Grok 評分,待 Grok 評分
5,5,SWKS,SWKS,85,低,SWKS,66.78,10.0,18.07,59.2,1.28,63.67,58.41,0.2315,72.81,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+8 · TC+10 · Bonus+0,從20日高點回檔8.3%；守EMA20；1M報酬18.1%；SPY:+8.5%&QQQ:+16.6%；RSI59健康；MACD金叉多頭；站上SMA200（斜率上升）,8,15,4,8,10,0,待 Grok 評分,待 Grok 評分
6,6,ALB,雅保,81,低,ALB,203.52,24.0,18.09,59.3,1.36,192.2,180.14,-0.0223,221.0,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+8 · TC+6 · Bonus+0,從20日高點回檔7.9%；守EMA20；1M報酬18.1%；SPY:+8.5%&QQQ:+16.6%；RSI59健康；MACD多頭；站上SMA200（斜率上升）,8,15,4,8,6,0,待 Grok 評分,待 Grok 評分
7,7,XYZ,XYZ,81,低,XYZ,74.85,44.5,19.4,67.2,2.37,69.68,65.04,-0.1008,77.16,高,基底+40 · CB+18 · PullbackQ+0 · VS+12 · RS+8 · TC+3 · Bonus+0,從20日高點回檔3.0%；守EMA20；1M報酬19.4%；SPY:+8.5%&QQQ:+16.6%；RSI67健康；MACD待確認；站上SMA200（斜率上升）,18,0,12,8,3,0,待 Grok 評分,待 Grok 評分
8,8,NWS,NWS,81,低,NWS,31.31,17.1,10.25,67.3,2.16,29.96,28.53,-0.0026,31.31,低,基底+40 · CB+18 · PullbackQ+0 · VS+12 · RS+8 · TC+3 · Bonus+0,從20日高點回檔0.0%；守EMA20；1M報酬10.2%；SPY:+8.5%&QQQ:+16.6%；RSI67健康；MACD多頭；站上SMA200（斜率上升）,18,0,12,8,3,0,待 Grok 評分,待 Grok 評分
9,9,NWSA,NWSA,81,低,NWSA,27.02,14.8,9.88,65.8,2.12,26.0,24.98,0.0195,27.06,低,基底+40 · CB+18 · PullbackQ+0 · VS+12 · RS+8 · TC+3 · Bonus+0,從20日高點回檔0.1%；守EMA20；1M報酬9.9%；SPY:+8.5%&QQQ:+16.6%；RSI66健康；MACD金叉多頭；站上SMA200（斜率上升）,18,0,12,8,3,0,待 Grok 評分,待 Grok 評分
10,10,AKAM,AKAM,78,中,AKAM,147.71,21.6,34.76,78.2,3.78,109.64,106.24,4.6721,149.76,高,基底+40 · CB+18 · PullbackQ+0 · VS+12 · RS+8 · TC+0 · Bonus+0,從20日高點回檔1.4%；守EMA20；1M報酬34.8%；SPY:+8.5%&QQQ:+16.6%；RSI78健康；MACD金叉多頭；站上SMA200（斜率上升）,18,0,12,8,0,0,待 Grok 評分,待 Grok 評分
11,11,GEN,GEN,78,中,GEN,22.68,13.7,23.46,73.1,2.43,19.84,20.1,0.32,22.76,高,基底+40 · CB+18 · PullbackQ+0 · VS+12 · RS+8 · TC+0 · Bonus+0,從20日高點回檔0.4%；守EMA20；1M報酬23.5%；SPY:+8.5%&QQQ:+16.6%；RSI73健康；MACD金叉多頭,18,0,12,8,0,0,待 Grok 評分,待 Grok 評分
12,12,MNST,MNST,78,中,MNST,86.29,84.4,13.26,73.1,3.01,77.17,76.0,0.6049,88.77,高,基底+40 · CB+18 · PullbackQ+0 · VS+12 · RS+8 · TC+0 · Bonus+0,從20日高點回檔2.8%；守EMA20；1M報酬13.3%；SPY:+8.5%&QQQ:+16.6%；RSI73健康；MACD金叉多頭；站上SMA200（斜率上升）,18,0,12,8,0,0,待 Grok 評分,待 Grok 評分
13,13,ABNB,Airbnb,78,中,ABNB,141.49,84.1,9.55,59.3,2.09,138.77,133.97,-0.35,147.25,低,基底+40 · CB+18 · PullbackQ+0 · VS+12 · RS+8 · TC+0 · Bonus+0,從20日高點回檔3.9%；守EMA20；1M報酬9.5%；SPY:+8.5%&QQQ:+16.6%；RSI59健康；MACD待確認；站上SMA200（斜率上升）,18,0,12,8,0,0,待 Grok 評分,待 Grok 評分
14,14,AVB,AVB,78,中,AVB,184.08,25.6,9.24,64.9,1.98,178.82,171.76,0.7351,187.92,低,基底+40 · CB+12 · PullbackQ+0 · VS+8 · RS+8 · TC+10 · Bonus+0,從20日高點回檔2.0%；守EMA20；1M報酬9.2%；SPY:+8.5%&QQQ:+16.6%；RSI65健康；MACD金叉多頭；站上SMA200（斜率上升）,12,0,8,8,10,0,待 Grok 評分,待 Grok 評分
15,15,MPC,MPC,77,中,MPC,244.87,71.5,9.55,56.9,1.2,238.1,231.36,1.4987,261.61,低,基底+40 · CB+4 · PullbackQ+15 · VS+0 · RS+8 · TC+10 · Bonus+0,從20日高點回檔6.4%；守EMA20；1M報酬9.6%；SPY:+8.5%&QQQ:+16.6%；RSI57健康；MACD金叉多頭；站上SMA200（斜率上升）,4,15,0,8,10,0,待 Grok 評分,待 Grok 評分
16,16,COHR,COHR,75,中,COHR,335.26,65.6,17.98,58.1,1.27,319.77,286.51,-2.147,364.8,中,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+8 · TC+0 · Bonus+0,從20日高點回檔8.1%；守EMA20；1M報酬18.0%；SPY:+8.5%&QQQ:+16.6%；RSI58健康；MACD待確認；站上SMA200（斜率上升）,8,15,4,8,0,0,待 Grok 評分,待 Grok 評分
17,17,VRT,VRT,73,中,VRT,339.97,130.6,18.19,63.0,0.71,318.99,284.75,1.1034,359.84,低,基底+40 · CB+0 · PullbackQ+15 · VS+0 · RS+8 · TC+10 · Bonus+0,從20日高點回檔5.5%；守EMA20；1M報酬18.2%；SPY:+8.5%&QQQ:+16.6%；RSI63健康；MACD金叉多頭；站上SMA200（斜率上升）,0,15,0,8,10,0,待 Grok 評分,待 Grok 評分
18,18,CIEN,CIEN,73,中,CIEN,548.11,77.5,12.46,61.9,0.66,510.4,436.68,0.1146,583.78,低,基底+40 · CB+0 · PullbackQ+15 · VS+0 · RS+8 · TC+10 · Bonus+0,從20日高點回檔6.1%；守EMA20；1M報酬12.5%；SPY:+8.5%&QQQ:+16.6%；RSI62健康；MACD金叉多頭；站上SMA200（斜率上升）,0,15,0,8,10,0,待 Grok 評分,待 Grok 評分
19,19,WAT,WAT,71,中,WAT,355.13,34.9,11.8,66.7,1.61,323.79,311.03,4.7438,356.99,低,基底+40 · CB+12 · PullbackQ+0 · VS+8 · RS+8 · TC+3 · Bonus+0,從20日高點回檔0.5%；守EMA20；1M報酬11.8%；SPY:+8.5%&QQQ:+16.6%；RSI67健康；MACD金叉多頭；站上SMA200（斜率上升）,12,0,8,8,3,0,待 Grok 評分,待 Grok 評分
20,20,RVTY,RVTY,71,中,RVTY,101.0,11.3,11.74,67.3,1.75,91.56,89.99,1.5016,102.23,低,基底+40 · CB+12 · PullbackQ+0 · VS+8 · RS+8 · TC+3 · Bonus+0,從20日高點回檔1.2%；守EMA20；1M報酬11.7%；SPY:+8.5%&QQQ:+16.6%；RSI67健康；MACD金叉多頭；站上SMA200（斜率上升）,12,0,8,8,3,0,待 Grok 評分,待 Grok 評分
21,21,ZS,Zscaler,70,中,ZS,152.13,24.5,24.46,61.0,1.33,140.02,142.7,2.6726,153.46,低,基底+40 · CB+8 · PullbackQ+0 · VS+4 · RS+8 · TC+10 · Bonus+0,從20日高點回檔0.9%；守EMA20；1M報酬24.5%；SPY:+8.5%&QQQ:+16.6%；RSI61健康；MACD金叉多頭,8,0,4,8,10,0,待 Grok 評分,待 Grok 評分
22,22,IFF,IFF,70,中,IFF,81.05,20.7,10.83,64.4,1.3,73.69,72.38,1.1185,83.89,低,基底+40 · CB+8 · PullbackQ+0 · VS+4 · RS+8 · TC+10 · Bonus+0,從20日高點回檔3.4%；守EMA20；1M報酬10.8%；SPY:+8.5%&QQQ:+16.6%；RSI64健康；MACD金叉多頭；站上SMA200（斜率上升）,8,0,4,8,10,0,待 Grok 評分,待 Grok 評分
23,23,ASML,ASML,70,中,ASML,1592.02,613.6,10.14,64.2,1.23,1453.93,1399.86,12.8649,1595.31,中,基底+40 · CB+8 · PullbackQ+0 · VS+4 · RS+8 · TC+10 · Bonus+0,從20日高點回檔0.2%；守EMA20；1M報酬10.1%；SPY:+8.5%&QQQ:+16.6%；RSI64健康；MACD金叉多頭；站上SMA200（斜率上升）,8,0,4,8,10,0,待 Grok 評分,待 Grok 評分
24,24,AMAT,應用材料,70,中,AMAT,435.44,345.6,9.46,64.6,1.36,399.15,373.03,1.9755,438.04,高,基底+40 · CB+8 · PullbackQ+0 · VS+4 · RS+8 · TC+10 · Bonus+0,從20日高點回檔0.6%；守EMA20；1M報酬9.5%；SPY:+8.5%&QQQ:+16.6%；RSI65健康；MACD金叉多頭；站上SMA200（斜率上升）,8,0,4,8,10,0,待 Grok 評分,待 Grok 評分
25,25,ARM,ARM,68,中,ARM,213.27,226.9,42.37,59.9,1.08,196.82,158.59,-0.0099,239.5,低,基底+40 · CB+4 · PullbackQ+10 · VS+0 · RS+8 · TC+6 · Bonus+0,從20日高點回檔11.0%；守EMA20；1M報酬42.4%；SPY:+8.5%&QQQ:+16.6%；RSI60健康；MACD多頭；站上SMA200（斜率上升）,4,10,0,8,6,0,待 Grok 評分,待 Grok 評分
26,26,INTC,英特爾,68,中,INTC,124.92,627.8,102.4,85.1,1.53,88.74,62.11,3.4912,130.57,高,基底+40 · CB+12 · PullbackQ+0 · VS+8 · RS+8 · TC+0 · Bonus+0,從20日高點回檔4.3%；守EMA20；1M報酬102.4%；SPY:+8.5%&QQQ:+16.6%；RSI85健康；MACD金叉多頭；站上SMA200（斜率上升）,12,0,8,8,0,0,待 Grok 評分,待 Grok 評分
27,27,DDOG,Datadog,68,中,DDOG,200.16,71.2,83.67,85.8,1.86,143.45,127.21,6.6549,200.36,高,基底+40 · CB+12 · PullbackQ+0 · VS+8 · RS+8 · TC+0 · Bonus+0,從20日高點回檔0.1%；守EMA20；1M報酬83.7%；SPY:+8.5%&QQQ:+16.6%；RSI86健康；MACD金叉多頭；站上SMA200（斜率上升）,12,0,8,8,0,0,待 Grok 評分,待 Grok 評分
28,28,MU,美光科技,68,中,MU,746.81,842.2,77.17,83.8,1.51,547.03,448.89,21.9647,747.21,高,基底+40 · CB+12 · PullbackQ+0 · VS+8 · RS+8 · TC+0 · Bonus+0,從20日高點回檔0.1%；守EMA20；1M報酬77.2%；SPY:+8.5%&QQQ:+16.6%；RSI84健康；MACD金叉多頭；站上SMA200（斜率上升）,12,0,8,8,0,0,待 Grok 評分,待 Grok 評分
29,29,QCOM,高通,68,中,QCOM,219.09,230.9,71.5,85.8,1.6,165.75,141.62,6.9335,228.05,高,基底+40 · CB+12 · PullbackQ+0 · VS+8 · RS+8 · TC+0 · Bonus+0,從20日高點回檔3.9%；守EMA20；1M報酬71.5%；SPY:+8.5%&QQQ:+16.6%；RSI86健康；MACD金叉多頭；站上SMA200（斜率上升）,12,0,8,8,0,0,待 Grok 評分,待 Grok 評分
30,30,DELL,DELL,68,中,DELL,260.46,169.3,43.98,78.0,1.86,211.82,180.54,2.7842,263.99,高,基底+40 · CB+12 · PullbackQ+0 · VS+8 · RS+8 · TC+0 · Bonus+0,從20日高點回檔1.3%；守EMA20；1M報酬44.0%；SPY:+8.5%&QQQ:+16.6%；RSI78健康；MACD金叉多頭；站上SMA200（斜率上升）,12,0,8,8,0,0,待 Grok 評分,待 Grok 評分
