Final_Rank,Rank,Ticker,CN_Name,New_Grok_Elite_Score,風險等級,Company_Name,Current_Price,Market_Cap_B,1M_Return_pct,RSI,Volume_Ratio,EMA20,SMA50,MACD_Hist,High_20,Gap_Risk,Score_Breakdown,Reason,CB_score,PullbackQ_score,VS_score,RS_score,TC_score,Bonus_score,X_Catalyst_Score,X_Catalyst_Reason
1,1,HOOD,Robinhood,100,低,"Robinhood Markets, Inc.",124.72,112.1,34.4,68.9,2.53,104.24,101.88,1.7933,124.88,高,基底+40 · CB+18 · PullbackQ+15 · VS+12 · RS+12 · TC+3 · Bonus+5,從20日高點回檔0.1%；站上EMA20(+19.6%)；1M報酬34.4%；超額報酬vs SPY:+34.0%；SPY:+0.4%&QQQ:+0.1%；RSI69；MACD金叉多頭；站上SMA200,18,15,12,12,3,5,待 Grok 評分,待 Grok 評分
2,2,TSLA,特斯拉,100,低,"Tesla, Inc.",376.37,1486.5,17.05,60.5,1.72,351.59,358.37,4.0671,384.04,中,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+12 · TC+10 · Bonus+5,從20日高點回檔2.0%；站上EMA20(+7.0%)；1M報酬17.0%；超額報酬vs SPY:+16.6%；SPY:+0.4%&QQQ:+0.1%；RSI61；MACD金叉多頭,12,15,8,12,10,5,待 Grok 評分,待 Grok 評分
3,3,DELL,Dell Technologies Inc.,100,低,Dell Technologies Inc.,516.39,333.7,11.6,62.6,2.53,459.17,436.92,2.6337,530.78,中,基底+40 · CB+18 · PullbackQ+15 · VS+12 · RS+12 · TC+10 · Bonus+5,從20日高點回檔2.7%；站上EMA20(+12.5%)；1M報酬11.6%；超額報酬vs SPY:+11.2%；SPY:+0.4%&QQQ:+0.1%；RSI63；MACD金叉多頭；站上SMA200,18,15,12,12,10,5,待 Grok 評分,待 Grok 評分
4,4,PFG,Principal Financial Group Inc,99,低,Principal Financial Group Inc,118.51,25.4,3.97,68.6,3.36,111.67,111.17,0.2645,121.18,高,基底+40 · CB+18 · PullbackQ+15 · VS+12 · RS+6 · TC+3 · Bonus+5,從20日高點回檔2.2%；站上EMA20(+6.1%)；1M報酬4.0%；超額報酬vs SPY:+3.5%；SPY:+0.4%&QQQ:+0.1%；RSI69；MACD金叉多頭；站上SMA200,18,15,12,6,3,5,待 Grok 評分,待 Grok 評分
5,5,IQV,"IQVIA Holdings, Inc.",92,低,"IQVIA Holdings, Inc.",271.62,44.7,15.07,75.2,1.62,252.71,228.5,-0.0302,271.71,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+12 · TC+0 · Bonus+5,從20日高點回檔0.0%；站上EMA20(+7.5%)；1M報酬15.1%；超額報酬vs SPY:+14.6%；SPY:+0.4%&QQQ:+0.1%；RSI75；MACD多頭；站上SMA200,12,15,8,12,0,5,待 Grok 評分,待 Grok 評分
6,6,COIN,Coinbase,89,低,"Coinbase Global, Inc.",192.7,50.8,28.56,60.9,1.38,173.25,162.3,1.8025,195.85,高,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+12 · TC+10 · Bonus+0,從20日高點回檔1.6%；站上EMA20(+11.2%)；1M報酬28.6%；超額報酬vs SPY:+28.1%；SPY:+0.4%&QQQ:+0.1%；RSI61；MACD金叉多頭,8,15,4,12,10,0,待 Grok 評分,待 Grok 評分
7,7,SPGI,標普全球,89,低,S&P Global Inc.,450.58,132.8,10.14,63.2,1.38,430.75,424.2,1.888,454.92,中,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+12 · TC+10 · Bonus+0,從20日高點回檔1.0%；站上EMA20(+4.6%)；1M報酬10.1%；超額報酬vs SPY:+9.7%；SPY:+0.4%&QQQ:+0.1%；RSI63；MACD金叉多頭；站上SMA200,8,15,4,12,10,0,待 Grok 評分,待 Grok 評分
8,8,GIS,"General Mills, Inc.",85,低,"General Mills, Inc.",39.26,21.0,9.27,51.4,1.55,39.49,37.62,-0.0633,42.2,低,基底+40 · CB+6 · PullbackQ+13 · VS+8 · RS+12 · TC+6 · Bonus+0,從20日高點回檔7.0%；貼近EMA20(-0.6%，整理中)；1M報酬9.3%；超額報酬vs SPY:+8.8%；SPY:+0.4%&QQQ:+0.1%；RSI51；MACD多頭；站上SMA200,6,13,8,12,6,0,待 Grok 評分,待 Grok 評分
9,9,CEG,星座能源,84,低,Constellation Energy Corporatio,285.05,101.0,7.68,58.9,1.29,276.7,265.52,0.673,296.62,低,基底+40 · CB+8 · PullbackQ+13 · VS+4 · RS+9 · TC+10 · Bonus+0,從20日高點回檔3.9%；站上EMA20(+3.0%)；1M報酬7.7%；超額報酬vs SPY:+7.2%；SPY:+0.4%&QQQ:+0.1%；RSI59；MACD金叉多頭,8,13,4,9,10,0,待 Grok 評分,待 Grok 評分
10,10,META,Meta平台,83,低,"Meta Platforms, Inc.",610.68,1555.7,3.72,60.7,1.25,580.08,594.01,5.6143,619.46,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+6 · TC+10 · Bonus+0,從20日高點回檔1.4%；站上EMA20(+5.3%)；1M報酬3.7%；超額報酬vs SPY:+3.3%；SPY:+0.4%&QQQ:+0.1%；RSI61；MACD金叉多頭,8,15,4,6,10,0,待 Grok 評分,待 Grok 評分
11,11,DE,迪爾公司,82,低,Deere & Company,694.41,187.2,13.47,68.7,1.25,640.07,617.46,7.9042,705.88,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+12 · TC+3 · Bonus+0,從20日高點回檔1.6%；站上EMA20(+8.5%)；1M報酬13.5%；超額報酬vs SPY:+13.0%；SPY:+0.4%&QQQ:+0.1%；RSI69；MACD金叉多頭；站上SMA200,8,15,4,12,3,0,待 Grok 評分,待 Grok 評分
