Final_Rank,Rank,Ticker,CN_Name,New_Grok_Elite_Score,風險等級,Company_Name,Current_Price,Market_Cap_B,1M_Return_pct,RSI,Volume_Ratio,EMA20,SMA50,MACD_Hist,High_20,Gap_Risk,Score_Breakdown,Reason,CB_score,PullbackQ_score,VS_score,RS_score,TC_score,Bonus_score,X_Catalyst_Score,X_Catalyst_Reason
1,1,COIN,Coinbase,100,低,"Coinbase Global, Inc.",172.35,45.5,3.75,60.7,2.05,155.4,157.86,1.9627,174.77,高,基底+40 · CB+18 · PullbackQ+15 · VS+12 · RS+6 · TC+10 · Bonus+5,從20日高點回檔1.4%；站上EMA20(+10.9%)；1M報酬3.8%；超額報酬vs SPY:+1.7%；SPY:+2.0%&QQQ:+0.8%；RSI61；MACD金叉多頭,18,15,12,6,10,5,待 Grok 評分,待 Grok 評分
2,2,MSI,"Motorola Solutions, Inc.",100,低,"Motorola Solutions, Inc.",473.63,78.4,14.59,63.4,1.55,454.25,426.59,1.2331,493.57,低,基底+40 · CB+12 · PullbackQ+13 · VS+8 · RS+12 · TC+10 · Bonus+5,從20日高點回檔4.0%；站上EMA20(+4.3%)；1M報酬14.6%；超額報酬vs SPY:+12.6%；SPY:+2.0%&QQQ:+0.8%；RSI63；MACD金叉多頭；站上SMA200,12,13,8,12,10,5,待 Grok 評分,待 Grok 評分
3,3,LOW,勞氏,97,低,"Lowe's Companies, Inc.",217.34,121.9,6.36,51.8,1.99,216.28,215.18,0.126,225.79,低,基底+40 · CB+12 · PullbackQ+13 · VS+8 · RS+9 · TC+10 · Bonus+5,從20日高點回檔3.7%；站上EMA20(+0.5%)；1M報酬6.4%；超額報酬vs SPY:+4.3%；SPY:+2.0%&QQQ:+0.8%；RSI52；MACD金叉多頭,12,13,8,9,10,5,待 Grok 評分,待 Grok 評分
4,4,DOW,Dow Inc.,96,低,Dow Inc.,32.9,23.8,5.28,63.5,1.56,30.8,30.3,0.2872,33.4,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+6 · TC+10 · Bonus+5,從20日高點回檔1.5%；站上EMA20(+6.8%)；1M報酬5.3%；超額報酬vs SPY:+3.2%；SPY:+2.0%&QQQ:+0.8%；RSI64；MACD金叉多頭；站上SMA200,12,15,8,6,10,5,待 Grok 評分,待 Grok 評分
5,5,PGR,Progressive Corporation (The),96,低,Progressive Corporation (The),220.34,128.1,3.82,57.8,1.54,213.01,214.46,0.5434,223.8,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+6 · TC+10 · Bonus+5,從20日高點回檔1.5%；站上EMA20(+3.4%)；1M報酬3.8%；超額報酬vs SPY:+1.8%；SPY:+2.0%&QQQ:+0.8%；RSI58；MACD金叉多頭；站上SMA200,12,15,8,6,10,5,待 Grok 評分,待 Grok 評分
6,6,DE,迪爾公司,94,低,Deere & Company,620.94,167.6,3.97,55.2,2.74,606.76,601.98,-2.188,643.99,高,基底+40 · CB+18 · PullbackQ+13 · VS+12 · RS+6 · TC+0 · Bonus+5,從20日高點回檔3.6%；站上EMA20(+2.3%)；1M報酬4.0%；超額報酬vs SPY:+1.9%；SPY:+2.0%&QQQ:+0.8%；RSI55；MACD待確認；站上SMA200,18,13,12,6,0,5,待 Grok 評分,待 Grok 評分
7,7,EL,"Estee Lauder Companies, Inc. (T",93,低,"Estee Lauder Companies, Inc. (T",96.15,34.8,14.96,68.0,1.66,87.42,84.77,0.9224,99.82,低,基底+40 · CB+12 · PullbackQ+13 · VS+8 · RS+12 · TC+3 · Bonus+5,從20日高點回檔3.7%；站上EMA20(+10.0%)；1M報酬15.0%；超額報酬vs SPY:+12.9%；SPY:+2.0%&QQQ:+0.8%；RSI68；MACD金叉多頭；站上SMA200,12,13,8,12,3,5,待 Grok 評分,待 Grok 評分
8,8,A,"Agilent Technologies, Inc.",92,低,"Agilent Technologies, Inc.",156.3,44.1,19.99,77.4,1.69,145.67,136.93,0.8025,159.94,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+12 · TC+0 · Bonus+5,從20日高點回檔2.3%；站上EMA20(+7.3%)；1M報酬20.0%；超額報酬vs SPY:+18.0%；SPY:+2.0%&QQQ:+0.8%；RSI77；MACD金叉多頭；站上SMA200,12,15,8,12,0,5,待 Grok 評分,待 Grok 評分
9,9,MRK,默克藥廠,92,低,"Merck & Company, Inc.",148.99,367.6,16.88,75.4,1.62,134.58,127.27,1.7761,153.5,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+12 · TC+0 · Bonus+5,從20日高點回檔2.9%；站上EMA20(+10.7%)；1M報酬16.9%；超額報酬vs SPY:+14.9%；SPY:+2.0%&QQQ:+0.8%；RSI75；MACD金叉多頭；站上SMA200,12,15,8,12,0,5,待 Grok 評分,待 Grok 評分
10,10,TRGP,"Targa Resources, Inc.",92,低,"Targa Resources, Inc.",302.25,64.8,7.34,69.9,1.77,276.91,270.22,3.9947,306.63,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+9 · TC+3 · Bonus+5,從20日高點回檔1.4%；站上EMA20(+9.2%)；1M報酬7.3%；超額報酬vs SPY:+5.3%；SPY:+2.0%&QQQ:+0.8%；RSI70；MACD金叉多頭；站上SMA200,12,15,8,9,3,5,待 Grok 評分,待 Grok 評分
11,11,YUM,百勝餐飲,91,低,"Yum! Brands, Inc.",152.33,41.6,3.37,52.9,1.7,149.64,153.28,0.1527,166.16,中,基底+40 · CB+12 · PullbackQ+10 · VS+8 · RS+6 · TC+10 · Bonus+5,從20日高點回檔8.3%；站上EMA20(+1.8%)；1M報酬3.4%；超額報酬vs SPY:+1.3%；SPY:+2.0%&QQQ:+0.8%；RSI53；MACD金叉多頭,12,10,8,6,10,5,待 Grok 評分,待 Grok 評分
12,12,MRVL,美滿電子,89,低,"Marvell Technology, Inc.",251.01,225.3,18.97,61.4,1.22,219.54,234.13,5.8213,251.45,中,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+12 · TC+10 · Bonus+0,從20日高點回檔0.2%；站上EMA20(+14.3%)；1M報酬19.0%；超額報酬vs SPY:+16.9%；SPY:+2.0%&QQQ:+0.8%；RSI61；MACD金叉多頭；站上SMA200,8,15,4,12,10,0,待 Grok 評分,待 Grok 評分
