Final_Rank,Rank,Ticker,CN_Name,New_Grok_Elite_Score,風險等級,Company_Name,Current_Price,Market_Cap_B,1M_Return_pct,RSI,Volume_Ratio,EMA20,SMA50,MACD_Hist,High_20,Gap_Risk,Score_Breakdown,Reason,CB_score,PullbackQ_score,VS_score,RS_score,TC_score,Bonus_score,X_Catalyst_Score,X_Catalyst_Reason
1,1,ARM,Arm Holdings plc,100,低,Arm Holdings plc,439.46,467.6,96.93,69.0,2.42,354.94,264.53,2.9394,452.7,中,基底+40 · CB+18 · PullbackQ+15 · VS+12 · RS+12 · TC+3 · Bonus+5,從20日高點回檔2.9%；站上EMA20(+23.8%)；1M報酬96.9%；超額報酬vs SPY:+94.9%；SPY:+2.0%&QQQ:+5.6%；RSI69；MACD金叉多頭；站上SMA200,18,15,12,12,3,5,待 Grok 評分,待 Grok 評分
2,2,KLAC,KLA,100,低,KLA Corporation,259.56,339.1,49.12,70.2,2.05,220.46,193.6,3.897,267.17,高,基底+40 · CB+18 · PullbackQ+15 · VS+12 · RS+12 · TC+0 · Bonus+5,從20日高點回檔2.8%；站上EMA20(+17.7%)；1M報酬49.1%；超額報酬vs SPY:+47.1%；SPY:+2.0%&QQQ:+5.6%；RSI70；MACD金叉多頭；站上SMA200,18,15,12,12,0,5,待 Grok 評分,待 Grok 評分
3,3,LRCX,拉姆研究,100,低,Lam Research Corporation,389.04,486.5,42.41,68.6,2.02,340.55,297.96,4.2465,401.0,低,基底+40 · CB+18 · PullbackQ+15 · VS+12 · RS+12 · TC+3 · Bonus+5,從20日高點回檔3.0%；站上EMA20(+14.2%)；1M報酬42.4%；超額報酬vs SPY:+40.4%；SPY:+2.0%&QQQ:+5.6%；RSI69；MACD金叉多頭；站上SMA200,18,15,12,12,3,5,待 Grok 評分,待 Grok 評分
4,4,TER,"Teradyne, Inc.",100,低,"Teradyne, Inc.",437.92,68.6,36.25,61.7,4.05,389.42,372.14,4.876,440.75,高,基底+40 · CB+18 · PullbackQ+15 · VS+12 · RS+12 · TC+10 · Bonus+5,從20日高點回檔0.6%；站上EMA20(+12.5%)；1M報酬36.3%；超額報酬vs SPY:+34.2%；SPY:+2.0%&QQQ:+5.6%；RSI62；MACD金叉多頭；站上SMA200,18,15,12,12,10,5,待 Grok 評分,待 Grok 評分
5,5,IP,International Paper Company,100,低,International Paper Company,36.82,19.5,27.19,63.9,1.79,34.29,33.31,0.4204,37.83,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+12 · TC+10 · Bonus+5,從20日高點回檔2.7%；站上EMA20(+7.4%)；1M報酬27.2%；超額報酬vs SPY:+25.2%；SPY:+2.0%&QQQ:+5.6%；RSI64；MACD金叉多頭,12,15,8,12,10,5,待 Grok 評分,待 Grok 評分
6,6,INTC,英特爾,100,低,Intel Corporation,133.99,673.4,20.93,64.2,1.78,116.0,101.43,0.6818,135.48,高,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+12 · TC+10 · Bonus+5,從20日高點回檔1.1%；站上EMA20(+15.5%)；1M報酬20.9%；超額報酬vs SPY:+18.9%；SPY:+2.0%&QQQ:+5.6%；RSI64；MACD金叉多頭；站上SMA200,12,15,8,12,10,5,待 Grok 評分,待 Grok 評分
7,7,GPC,Genuine Parts Company,100,低,Genuine Parts Company,108.7,15.1,18.83,67.6,2.08,101.63,102.3,1.4577,111.31,低,基底+40 · CB+18 · PullbackQ+15 · VS+12 · RS+12 · TC+3 · Bonus+5,從20日高點回檔2.3%；站上EMA20(+7.0%)；1M報酬18.8%；超額報酬vs SPY:+16.8%；SPY:+2.0%&QQQ:+5.6%；RSI68；MACD金叉多頭,18,15,12,12,3,5,待 Grok 評分,待 Grok 評分
8,8,ALGN,愛齊科技,100,低,"Align Technology, Inc.",182.08,13.0,17.35,58.8,1.87,172.92,173.86,1.4368,185.0,中,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+12 · TC+10 · Bonus+5,從20日高點回檔1.6%；站上EMA20(+5.3%)；1M報酬17.3%；超額報酬vs SPY:+15.3%；SPY:+2.0%&QQQ:+5.6%；RSI59；MACD金叉多頭；站上SMA200,12,15,8,12,10,5,待 Grok 評分,待 Grok 評分
9,9,DHI,D.R.霍頓,100,低,"D.R. Horton, Inc.",157.81,44.8,17.14,61.9,1.86,150.07,148.11,1.1066,161.56,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+12 · TC+10 · Bonus+5,從20日高點回檔2.3%；站上EMA20(+5.2%)；1M報酬17.1%；超額報酬vs SPY:+15.1%；SPY:+2.0%&QQQ:+5.6%；RSI62；MACD金叉多頭；站上SMA200,12,15,8,12,10,5,待 Grok 評分,待 Grok 評分
10,10,VMC,Vulcan Materials Company (Holdi,100,低,Vulcan Materials Company (Holdi,302.84,39.3,16.95,63.7,1.56,284.9,284.16,3.0196,306.86,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+12 · TC+10 · Bonus+5,從20日高點回檔1.3%；站上EMA20(+6.3%)；1M報酬17.0%；超額報酬vs SPY:+14.9%；SPY:+2.0%&QQQ:+5.6%；RSI64；MACD金叉多頭；站上SMA200,12,15,8,12,10,5,待 Grok 評分,待 Grok 評分
