Final_Rank,Rank,Ticker,CN_Name,New_Grok_Elite_Score,風險等級,Company_Name,Current_Price,Market_Cap_B,1M_Return_pct,RSI,Volume_Ratio,EMA20,SMA50,MACD_Hist,High_20,Gap_Risk,Score_Breakdown,Reason,CB_score,PullbackQ_score,VS_score,RS_score,TC_score,Bonus_score,X_Catalyst_Score,X_Catalyst_Reason
1,1,EFX,"Equifax, Inc.",100,低,"Equifax, Inc.",180.08,21.7,16.3,61.9,1.88,169.42,165.58,1.7687,182.34,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+12 · TC+10 · Bonus+5,從20日高點回檔1.2%；站上EMA20(+6.3%)；1M報酬16.3%；超額報酬vs SPY:+15.9%；SPY:+0.4%&QQQ:-3.6%；RSI62；MACD金叉多頭,12,15,8,12,10,5,待 Grok 評分,待 Grok 評分
2,2,MRSH,Marsh,100,低,Marsh,182.1,87.7,10.89,63.2,1.54,175.45,167.55,0.6153,186.0,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+12 · TC+10 · Bonus+5,從20日高點回檔2.1%；站上EMA20(+3.8%)；1M報酬10.9%；超額報酬vs SPY:+10.5%；SPY:+0.4%&QQQ:-3.6%；RSI63；MACD金叉多頭；站上SMA200,12,15,8,12,10,5,待 Grok 評分,待 Grok 評分
3,3,RF,Regions Financial Corporation,100,低,Regions Financial Corporation,31.11,26.5,8.59,58.2,1.68,30.55,28.87,0.0359,32.47,低,基底+40 · CB+12 · PullbackQ+13 · VS+8 · RS+12 · TC+10 · Bonus+5,從20日高點回檔4.2%；站上EMA20(+1.8%)；1M報酬8.6%；超額報酬vs SPY:+8.2%；SPY:+0.4%&QQQ:-3.6%；RSI58；MACD金叉多頭；站上SMA200,12,13,8,12,10,5,待 Grok 評分,待 Grok 評分
4,4,DPZ,Domino's Pizza Inc,100,低,Domino's Pizza Inc,328.97,10.9,4.65,61.1,2.6,311.15,308.82,3.5803,350.0,低,基底+40 · CB+18 · PullbackQ+13 · VS+12 · RS+9 · TC+10 · Bonus+5,從20日高點回檔6.0%；站上EMA20(+5.7%)；1M報酬4.6%；超額報酬vs SPY:+4.2%；SPY:+0.4%&QQQ:-3.6%；RSI61；MACD金叉多頭,18,13,12,9,10,5,待 Grok 評分,待 Grok 評分
5,5,UPS,聯合包裹,97,低,"United Parcel Service, Inc.",113.15,96.2,7.63,56.2,1.67,111.49,106.37,0.3474,118.42,低,基底+40 · CB+12 · PullbackQ+13 · VS+8 · RS+9 · TC+10 · Bonus+5,從20日高點回檔4.5%；站上EMA20(+1.5%)；1M報酬7.6%；超額報酬vs SPY:+7.2%；SPY:+0.4%&QQQ:-3.6%；RSI56；MACD金叉多頭；站上SMA200,12,13,8,9,10,5,待 Grok 評分,待 Grok 評分
6,6,GPN,Global Payments Inc.,95,低,Global Payments Inc.,82.37,22.5,24.13,66.3,1.64,75.2,70.96,0.6426,83.03,中,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+12 · TC+3 · Bonus+5,從20日高點回檔0.8%；站上EMA20(+9.5%)；1M報酬24.1%；超額報酬vs SPY:+23.7%；SPY:+0.4%&QQQ:-3.6%；RSI66；MACD金叉多頭；站上SMA200,12,15,8,12,3,5,待 Grok 評分,待 Grok 評分
7,7,DHR,丹納赫,89,低,Danaher Corporation,201.11,142.3,13.37,61.5,1.46,195.18,182.98,0.479,206.59,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+12 · TC+10 · Bonus+0,從20日高點回檔2.7%；站上EMA20(+3.0%)；1M報酬13.4%；超額報酬vs SPY:+13.0%；SPY:+0.4%&QQQ:-3.6%；RSI62；MACD金叉多頭,8,15,4,12,10,0,待 Grok 評分,待 Grok 評分
8,8,EXPD,Expeditors International of Was,87,低,Expeditors International of Was,177.37,23.2,10.44,64.2,1.2,171.17,163.01,1.1631,183.52,低,基底+40 · CB+8 · PullbackQ+13 · VS+4 · RS+12 · TC+10 · Bonus+0,從20日高點回檔3.4%；站上EMA20(+3.6%)；1M報酬10.4%；超額報酬vs SPY:+10.0%；SPY:+0.4%&QQQ:-3.6%；RSI64；MACD金叉多頭；站上SMA200,8,13,4,12,10,0,待 Grok 評分,待 Grok 評分
9,9,USB,美合銀行,85,低,U.S. Bancorp,63.14,98.4,9.96,64.3,1.26,61.41,57.54,-0.0439,64.84,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+12 · TC+6 · Bonus+0,從20日高點回檔2.6%；站上EMA20(+2.8%)；1M報酬10.0%；超額報酬vs SPY:+9.6%；SPY:+0.4%&QQQ:-3.6%；RSI64；MACD多頭；站上SMA200,8,15,4,12,6,0,待 Grok 評分,待 Grok 評分
10,10,UNP,聯合太平洋,82,低,Union Pacific Corporation,296.25,175.9,14.8,68.4,1.21,283.64,271.83,1.8298,303.15,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+12 · TC+3 · Bonus+0,從20日高點回檔2.3%；站上EMA20(+4.4%)；1M報酬14.8%；超額報酬vs SPY:+14.4%；SPY:+0.4%&QQQ:-3.6%；RSI68；MACD金叉多頭；站上SMA200,8,15,4,12,3,0,待 Grok 評分,待 Grok 評分
