Final_Rank,Rank,Ticker,CN_Name,New_Grok_Elite_Score,風險等級,Company_Name,Current_Price,Market_Cap_B,1M_Return_pct,RSI,Volume_Ratio,EMA20,SMA50,MACD_Hist,High_20,Gap_Risk,Score_Breakdown,Reason,CB_score,PullbackQ_score,VS_score,RS_score,TC_score,Bonus_score,X_Catalyst_Score,X_Catalyst_Reason
1,1,KIM,Kimco Realty Corporation (HC),100,低,Kimco Realty Corporation (HC),25.75,17.4,10.54,76.6,3.48,24.13,23.46,0.1987,26.04,低,基底+40 · CB+18 · PullbackQ+15 · VS+12 · RS+12 · TC+0 · Bonus+5,從20日高點回檔1.1%；站上EMA20(+6.7%)；1M報酬10.5%；超額報酬vs SPY:+10.6%；SPY:-0.1%&QQQ:+1.4%；RSI77；MACD金叉多頭；站上SMA200,18,15,12,12,0,5,待 Grok 評分,待 Grok 評分
2,2,KDP,Keurig Dr Pepper Inc.,100,低,Keurig Dr Pepper Inc.,31.23,42.5,7.06,66.4,2.44,30.15,28.47,0.1011,32.28,低,基底+40 · CB+18 · PullbackQ+13 · VS+12 · RS+9 · TC+3 · Bonus+5,從20日高點回檔3.3%；站上EMA20(+3.6%)；1M報酬7.1%；超額報酬vs SPY:+7.1%；SPY:-0.1%&QQQ:+1.4%；RSI66；MACD金叉多頭；站上SMA200,18,13,12,9,3,5,待 Grok 評分,待 Grok 評分
3,3,IP,International Paper Company,99,低,International Paper Company,34.95,18.5,7.91,58.3,1.64,32.95,33.17,0.25,35.23,高,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+9 · TC+10 · Bonus+5,從20日高點回檔0.8%；站上EMA20(+6.1%)；1M報酬7.9%；超額報酬vs SPY:+8.0%；SPY:-0.1%&QQQ:+1.4%；RSI58；MACD金叉多頭,12,15,8,9,10,5,待 Grok 評分,待 Grok 評分
4,4,SW,Smurfit WestRock plc,99,低,Smurfit WestRock plc,42.69,22.4,6.4,58.4,1.78,40.52,40.08,0.1448,43.22,高,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+9 · TC+10 · Bonus+5,從20日高點回檔1.2%；站上EMA20(+5.4%)；1M報酬6.4%；超額報酬vs SPY:+6.5%；SPY:-0.1%&QQQ:+1.4%；RSI58；MACD金叉多頭；站上SMA200,12,15,8,9,10,5,待 Grok 評分,待 Grok 評分
5,5,AMGN,安進,99,低,Amgen Inc.,354.06,191.1,6.08,61.9,1.78,339.6,338.68,1.8965,358.46,中,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+9 · TC+10 · Bonus+5,從20日高點回檔1.2%；站上EMA20(+4.3%)；1M報酬6.1%；超額報酬vs SPY:+6.1%；SPY:-0.1%&QQQ:+1.4%；RSI62；MACD金叉多頭；站上SMA200,12,15,8,9,10,5,待 Grok 評分,待 Grok 評分
6,6,WY,Weyerhaeuser Company,99,低,Weyerhaeuser Company,24.33,17.5,4.64,54.5,1.88,24.02,24.0,0.076,24.88,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+9 · TC+10 · Bonus+5,從20日高點回檔2.2%；站上EMA20(+1.3%)；1M報酬4.6%；超額報酬vs SPY:+4.7%；SPY:-0.1%&QQQ:+1.4%；RSI54；MACD金叉多頭；站上SMA200,12,15,8,9,10,5,待 Grok 評分,待 Grok 評分
7,7,GD,通用動力,96,低,General Dynamics Corporation,358.86,97.0,3.58,62.8,1.67,343.48,339.95,0.9915,363.83,中,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+6 · TC+10 · Bonus+5,從20日高點回檔1.4%；站上EMA20(+4.5%)；1M報酬3.6%；超額報酬vs SPY:+3.6%；SPY:-0.1%&QQQ:+1.4%；RSI63；MACD金叉多頭；站上SMA200,12,15,8,6,10,5,待 Grok 評分,待 Grok 評分
8,8,LRCX,拉姆研究,95,低,Lam Research Corporation,362.52,453.3,25.34,67.7,1.51,316.38,283.03,1.025,364.81,高,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+12 · TC+3 · Bonus+5,從20日高點回檔0.6%；站上EMA20(+14.6%)；1M報酬25.3%；超額報酬vs SPY:+25.4%；SPY:-0.1%&QQQ:+1.4%；RSI68；MACD金叉多頭；站上SMA200,12,15,8,12,3,5,待 Grok 評分,待 Grok 評分
9,9,ASML,ASML,95,低,ASML Holding N.V. - New York Re,1899.48,732.1,24.89,69.3,1.63,1667.36,1525.95,16.7532,1903.5,高,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+12 · TC+3 · Bonus+5,從20日高點回檔0.2%；站上EMA20(+13.9%)；1M報酬24.9%；超額報酬vs SPY:+24.9%；SPY:-0.1%&QQQ:+1.4%；RSI69；MACD金叉多頭；站上SMA200,12,15,8,12,3,5,待 Grok 評分,待 Grok 評分
10,10,KLAC,KLA,92,低,KLA Corporation,241.16,315.0,33.31,72.4,1.58,201.79,184.25,3.0574,243.13,高,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+12 · TC+0 · Bonus+5,從20日高點回檔0.8%；站上EMA20(+19.5%)；1M報酬33.3%；超額報酬vs SPY:+33.4%；SPY:-0.1%&QQQ:+1.4%；RSI72；MACD金叉多頭；站上SMA200,12,15,8,12,0,5,待 Grok 評分,待 Grok 評分
