Final_Rank,Rank,Ticker,CN_Name,New_Grok_Elite_Score,風險等級,Company_Name,Current_Price,Market_Cap_B,1M_Return_pct,RSI,Volume_Ratio,EMA20,SMA50,MACD_Hist,High_20,Gap_Risk,Score_Breakdown,Reason,CB_score,PullbackQ_score,VS_score,RS_score,TC_score,Bonus_score,X_Catalyst_Score,X_Catalyst_Reason
1,1,CRM,Salesforce,100,低,"Salesforce, Inc.",252.05,210.7,33.8,80.0,3.95,201.61,178.87,3.0654,254.48,高,基底+40 · CB+18 · PullbackQ+15 · VS+12 · RS+12 · TC+0 · Bonus+5,從20日高點回檔1.0%；站上EMA20(+25.0%)；1M報酬33.8%；超額報酬vs SPY:+28.1%；SPY:+5.7%&QQQ:+9.0%；RSI80；MACD金叉多頭；站上SMA200,18,15,12,12,0,5,待 Grok 評分,待 Grok 評分
2,2,CRWD,CrowdStrike,100,低,"CrowdStrike Holdings, Inc.",227.96,223.6,27.08,64.0,2.69,202.72,195.27,-1.3879,229.08,高,基底+40 · CB+18 · PullbackQ+15 · VS+12 · RS+12 · TC+0 · Bonus+5,從20日高點回檔0.5%；站上EMA20(+12.5%)；1M報酬27.1%；超額報酬vs SPY:+21.4%；SPY:+5.7%&QQQ:+9.0%；RSI64；MACD待確認；站上SMA200,18,15,12,12,0,5,待 Grok 評分,待 Grok 評分
3,3,SNPS,新思科技,100,低,"Synopsys, Inc.",464.89,84.8,24.41,71.7,2.46,410.82,417.39,5.0894,464.98,高,基底+40 · CB+18 · PullbackQ+15 · VS+12 · RS+12 · TC+0 · Bonus+5,從20日高點回檔0.0%；站上EMA20(+13.2%)；1M報酬24.4%；超額報酬vs SPY:+18.7%；SPY:+5.7%&QQQ:+9.0%；RSI72；MACD金叉多頭；站上SMA200,18,15,12,12,0,5,待 Grok 評分,待 Grok 評分
4,4,NVDA,輝達,100,低,NVIDIA Corporation,227.98,5253.2,19.98,61.3,2.39,215.47,208.16,-0.4793,230.47,高,基底+40 · CB+18 · PullbackQ+15 · VS+12 · RS+12 · TC+0 · Bonus+5,從20日高點回檔1.1%；站上EMA20(+5.8%)；1M報酬20.0%；超額報酬vs SPY:+14.3%；SPY:+5.7%&QQQ:+9.0%；RSI61；MACD待確認；站上SMA200,18,15,12,12,0,5,待 Grok 評分,待 Grok 評分
5,5,ADSK,"Autodesk, Inc.",100,低,"Autodesk, Inc.",270.58,55.0,10.33,69.9,2.19,247.78,224.31,0.3406,271.72,高,基底+40 · CB+18 · PullbackQ+15 · VS+12 · RS+9 · TC+3 · Bonus+5,從20日高點回檔0.4%；站上EMA20(+9.2%)；1M報酬10.3%；超額報酬vs SPY:+4.6%；SPY:+5.7%&QQQ:+9.0%；RSI70；MACD金叉多頭；站上SMA200,18,15,12,9,3,5,待 Grok 評分,待 Grok 評分
6,6,MRVL,美滿電子,100,低,"Marvell Technology, Inc.",241.45,194.7,47.77,56.3,1.73,227.26,229.99,3.3174,254.6,低,基底+40 · CB+12 · PullbackQ+13 · VS+8 · RS+12 · TC+10 · Bonus+5,從20日高點回檔5.2%；站上EMA20(+6.2%)；1M報酬47.8%；超額報酬vs SPY:+42.1%；SPY:+5.7%&QQQ:+9.0%；RSI56；MACD金叉多頭；站上SMA200,12,13,8,12,10,5,待 Grok 評分,待 Grok 評分
7,7,VEEV,Veeva Systems Inc.,100,低,Veeva Systems Inc.,282.13,44.9,35.7,79.6,3.26,238.33,205.18,1.2453,296.24,高,基底+40 · CB+18 · PullbackQ+13 · VS+12 · RS+12 · TC+0 · Bonus+5,從20日高點回檔4.8%；站上EMA20(+18.4%)；1M報酬35.7%；超額報酬vs SPY:+30.0%；SPY:+5.7%&QQQ:+9.0%；RSI80；MACD金叉多頭；站上SMA200,18,13,12,12,0,5,待 Grok 評分,待 Grok 評分
8,8,FOX,Fox Corporation,100,低,Fox Corporation,60.4,25.8,14.55,61.9,1.69,58.5,52.56,0.1385,62.93,低,基底+40 · CB+12 · PullbackQ+13 · VS+8 · RS+12 · TC+10 · Bonus+5,從20日高點回檔4.0%；站上EMA20(+3.3%)；1M報酬14.5%；超額報酬vs SPY:+8.8%；SPY:+5.7%&QQQ:+9.0%；RSI62；MACD金叉多頭；站上SMA200,12,13,8,12,10,5,待 Grok 評分,待 Grok 評分
9,9,FTNT,飛塔,99,低,"Fortinet, Inc.",172.78,121.8,12.77,64.7,1.51,158.32,157.01,0.3597,173.89,高,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+9 · TC+10 · Bonus+5,從20日高點回檔0.6%；站上EMA20(+9.1%)；1M報酬12.8%；超額報酬vs SPY:+7.1%；SPY:+5.7%&QQQ:+9.0%；RSI65；MACD金叉多頭；站上SMA200,12,15,8,9,10,5,待 Grok 評分,待 Grok 評分
10,10,SLB,斯倫貝謝,99,低,SLB Limited,55.01,85.1,12.36,64.2,1.57,52.63,49.6,0.0824,55.89,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+9 · TC+10 · Bonus+5,從20日高點回檔1.6%；站上EMA20(+4.5%)；1M報酬12.4%；超額報酬vs SPY:+6.6%；SPY:+5.7%&QQQ:+9.0%；RSI64；MACD金叉多頭；站上SMA200,12,15,8,9,10,5,待 Grok 評分,待 Grok 評分
