Final_Rank,Rank,Ticker,CN_Name,New_Grok_Elite_Score,風險等級,Company_Name,Current_Price,Market_Cap_B,1M_Return_pct,RSI,Volume_Ratio,EMA20,SMA50,MACD_Hist,High_20,Gap_Risk,Score_Breakdown,Reason,CB_score,PullbackQ_score,VS_score,RS_score,TC_score,Bonus_score,X_Catalyst_Score,X_Catalyst_Reason
1,1,TECH,Bio-Techne Corp,100,低,Bio-Techne Corp,70.7,11.1,47.38,77.7,9.69,55.67,52.73,1.314,70.92,高,基底+40 · CB+18 · PullbackQ+15 · VS+12 · RS+12 · TC+0 · Bonus+5,從20日高點回檔0.3%；站上EMA20(+27.0%)；1M報酬47.4%；超額報酬vs SPY:+49.3%；SPY:-1.9%&QQQ:-1.8%；RSI78；MACD金叉多頭；站上SMA200,18,15,12,12,0,5,待 Grok 評分,待 Grok 評分
2,2,DLTR,一元樹,100,低,"Dollar Tree, Inc.",118.21,22.7,26.16,62.5,2.09,110.65,102.65,0.4228,120.58,低,基底+40 · CB+18 · PullbackQ+15 · VS+12 · RS+12 · TC+10 · Bonus+5,從20日高點回檔2.0%；站上EMA20(+6.8%)；1M報酬26.2%；超額報酬vs SPY:+28.1%；SPY:-1.9%&QQQ:-1.8%；RSI63；MACD金叉多頭；站上SMA200,18,15,12,12,10,5,待 Grok 評分,待 Grok 評分
3,3,GLW,Corning Incorporated,100,低,Corning Incorporated,228.01,196.2,16.41,64.3,1.76,192.09,182.0,3.6081,230.5,高,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+12 · TC+10 · Bonus+5,從20日高點回檔1.1%；站上EMA20(+18.7%)；1M報酬16.4%；超額報酬vs SPY:+18.3%；SPY:-1.9%&QQQ:-1.8%；RSI64；MACD金叉多頭；站上SMA200,12,15,8,12,10,5,待 Grok 評分,待 Grok 評分
4,4,DRI,"Darden Restaurants, Inc.",100,低,"Darden Restaurants, Inc.",212.76,24.4,4.38,62.1,2.5,207.05,200.92,0.6807,219.38,低,基底+40 · CB+18 · PullbackQ+13 · VS+12 · RS+9 · TC+10 · Bonus+5,從20日高點回檔3.0%；站上EMA20(+2.8%)；1M報酬4.4%；超額報酬vs SPY:+6.3%；SPY:-1.9%&QQQ:-1.8%；RSI62；MACD金叉多頭；站上SMA200,18,13,12,9,10,5,待 Grok 評分,待 Grok 評分
5,5,PNR,Pentair plc.,99,低,Pentair plc.,76.0,12.3,3.35,54.6,1.89,74.14,77.51,0.6277,77.69,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+9 · TC+10 · Bonus+5,從20日高點回檔2.2%；站上EMA20(+2.5%)；1M報酬3.3%；超額報酬vs SPY:+5.3%；SPY:-1.9%&QQQ:-1.8%；RSI55；MACD金叉多頭,12,15,8,9,10,5,待 Grok 評分,待 Grok 評分
6,6,HWM,Howmet Aerospace Inc.,97,低,Howmet Aerospace Inc.,273.14,109.3,4.3,56.8,1.69,267.38,257.97,1.2471,290.63,低,基底+40 · CB+12 · PullbackQ+13 · VS+8 · RS+9 · TC+10 · Bonus+5,從20日高點回檔6.0%；站上EMA20(+2.2%)；1M報酬4.3%；超額報酬vs SPY:+6.2%；SPY:-1.9%&QQQ:-1.8%；RSI57；MACD金叉多頭；站上SMA200,12,13,8,9,10,5,待 Grok 評分,待 Grok 評分
7,7,MKC,"McCormick & Company, Incorporat",97,低,"McCormick & Company, Incorporat",48.35,13.0,3.27,53.3,1.65,47.55,48.48,0.1189,50.28,低,基底+40 · CB+12 · PullbackQ+13 · VS+8 · RS+9 · TC+10 · Bonus+5,從20日高點回檔3.8%；站上EMA20(+1.7%)；1M報酬3.3%；超額報酬vs SPY:+5.2%；SPY:-1.9%&QQQ:-1.8%；RSI53；MACD金叉多頭,12,13,8,9,10,5,待 Grok 評分,待 Grok 評分
8,8,AMAT,應用材料,92,低,"Applied Materials, Inc.",668.0,530.4,46.85,72.5,1.55,551.33,463.29,8.1632,669.22,高,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+12 · TC+0 · Bonus+5,從20日高點回檔0.2%；站上EMA20(+21.2%)；1M報酬46.8%；超額報酬vs SPY:+48.8%；SPY:-1.9%&QQQ:-1.8%；RSI73；MACD金叉多頭；站上SMA200,12,15,8,12,0,5,待 Grok 評分,待 Grok 評分
9,9,SWK,"Stanley Black & Decker, Inc.",92,低,"Stanley Black & Decker, Inc.",92.31,14.4,18.2,70.4,1.51,83.13,78.22,0.8986,93.5,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+12 · TC+0 · Bonus+5,從20日高點回檔1.3%；站上EMA20(+11.0%)；1M報酬18.2%；超額報酬vs SPY:+20.1%；SPY:-1.9%&QQQ:-1.8%；RSI70；MACD金叉多頭；站上SMA200,12,15,8,12,0,5,待 Grok 評分,待 Grok 評分
10,10,ABBV,艾伯維,92,低,AbbVie Inc.,243.14,429.6,14.09,71.6,1.64,224.98,213.88,1.4304,244.61,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+12 · TC+0 · Bonus+5,從20日高點回檔0.6%；站上EMA20(+8.1%)；1M報酬14.1%；超額報酬vs SPY:+16.0%；SPY:-1.9%&QQQ:-1.8%；RSI72；MACD金叉多頭；站上SMA200,12,15,8,12,0,5,待 Grok 評分,待 Grok 評分
