Final_Rank,Rank,Ticker,CN_Name,New_Grok_Elite_Score,風險等級,Company_Name,Current_Price,Market_Cap_B,1M_Return_pct,RSI,Volume_Ratio,EMA20,SMA50,MACD_Hist,High_20,Gap_Risk,Score_Breakdown,Reason,CB_score,PullbackQ_score,VS_score,RS_score,TC_score,Bonus_score,X_Catalyst_Score,X_Catalyst_Reason
1,1,A,"Agilent Technologies, Inc.",100,低,"Agilent Technologies, Inc.",153.43,43.3,10.72,65.1,2.14,147.58,137.94,0.6913,160.51,低,基底+40 · CB+18 · PullbackQ+13 · VS+12 · RS+9 · TC+3 · Bonus+5,從20日高點回檔4.4%；站上EMA20(+4.0%)；1M報酬10.7%；超額報酬vs SPY:+7.4%；SPY:+3.3%&QQQ:+3.2%；RSI65；MACD金叉多頭；站上SMA200,18,13,12,9,3,5,待 Grok 評分,待 Grok 評分
2,2,TKO,"TKO Group Holdings, Inc.",94,低,"TKO Group Holdings, Inc.",193.42,14.1,7.09,51.9,1.75,192.35,192.14,0.5511,203.04,低,基底+40 · CB+12 · PullbackQ+13 · VS+8 · RS+6 · TC+10 · Bonus+5,從20日高點回檔4.7%；站上EMA20(+0.6%)；1M報酬7.1%；超額報酬vs SPY:+3.8%；SPY:+3.3%&QQQ:+3.2%；RSI52；MACD金叉多頭,12,13,8,6,10,5,待 Grok 評分,待 Grok 評分
3,3,FCX,自由港麥克,92,低,"Freeport-McMoRan, Inc.",77.8,111.7,24.28,70.6,1.51,68.73,64.84,0.9109,78.88,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+12 · TC+0 · Bonus+5,從20日高點回檔1.4%；站上EMA20(+13.2%)；1M報酬24.3%；超額報酬vs SPY:+21.0%；SPY:+3.3%&QQQ:+3.2%；RSI71；MACD金叉多頭；站上SMA200,12,15,8,12,0,5,待 Grok 評分,待 Grok 評分
4,4,LEN,萊納房屋,88,低,Lennar Corporation,88.16,21.2,4.16,54.4,1.51,86.28,86.38,0.1965,89.65,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+3 · TC+10 · Bonus+0,從20日高點回檔1.7%；站上EMA20(+2.2%)；1M報酬4.2%；超額報酬vs SPY:+0.8%；SPY:+3.3%&QQQ:+3.2%；RSI54；MACD金叉多頭,12,15,8,3,10,0,待 Grok 評分,待 Grok 評分
5,5,COIN,Coinbase,87,低,"Coinbase Global, Inc.",179.48,47.4,13.39,61.7,1.35,160.37,158.89,4.0132,191.84,低,基底+40 · CB+8 · PullbackQ+13 · VS+4 · RS+12 · TC+10 · Bonus+0,從20日高點回檔6.4%；站上EMA20(+11.9%)；1M報酬13.4%；超額報酬vs SPY:+10.1%；SPY:+3.3%&QQQ:+3.2%；RSI62；MACD金叉多頭,8,13,4,12,10,0,待 Grok 評分,待 Grok 評分
6,6,CBOE,芝加哥期權所,86,低,"Cboe Global Markets, Inc.",308.09,32.2,8.08,61.5,1.27,291.47,276.65,0.832,311.06,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+9 · TC+10 · Bonus+0,從20日高點回檔1.0%；站上EMA20(+5.7%)；1M報酬8.1%；超額報酬vs SPY:+4.8%；SPY:+3.3%&QQQ:+3.2%；RSI61；MACD金叉多頭；站上SMA200,8,15,4,9,10,0,待 Grok 評分,待 Grok 評分
7,7,AMCR,Amcor plc,86,低,Amcor plc,47.91,22.2,7.57,60.5,1.22,46.51,44.4,0.0039,48.94,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+9 · TC+10 · Bonus+0,從20日高點回檔2.1%；站上EMA20(+3.0%)；1M報酬7.6%；超額報酬vs SPY:+4.2%；SPY:+3.3%&QQQ:+3.2%；RSI60；MACD金叉多頭；站上SMA200,8,15,4,9,10,0,待 Grok 評分,待 Grok 評分
8,8,EXE,Expand Energy Corporation,83,低,Expand Energy Corporation,96.33,22.3,5.89,60.6,1.33,94.11,90.62,0.1019,98.29,低,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+6 · TC+10 · Bonus+0,從20日高點回檔2.0%；站上EMA20(+2.4%)；1M報酬5.9%；超額報酬vs SPY:+2.6%；SPY:+3.3%&QQQ:+3.2%；RSI61；MACD金叉多頭,8,15,4,6,10,0,待 Grok 評分,待 Grok 評分
9,9,DLTR,一元樹,82,低,"Dollar Tree, Inc.",136.75,26.3,13.53,66.8,1.26,129.36,124.23,0.1239,137.07,中,基底+40 · CB+8 · PullbackQ+15 · VS+4 · RS+12 · TC+3 · Bonus+0,從20日高點回檔0.2%；站上EMA20(+5.7%)；1M報酬13.5%；超額報酬vs SPY:+10.2%；SPY:+3.3%&QQQ:+3.2%；RSI67；MACD金叉多頭；站上SMA200,8,15,4,12,3,0,待 Grok 評分,待 Grok 評分
10,10,EFX,"Equifax, Inc.",81,低,"Equifax, Inc.",194.63,22.9,12.8,64.6,1.01,183.1,172.7,1.1732,196.45,低,基底+40 · CB+4 · PullbackQ+15 · VS+0 · RS+12 · TC+10 · Bonus+0,從20日高點回檔0.9%；站上EMA20(+6.3%)；1M報酬12.8%；超額報酬vs SPY:+9.5%；SPY:+3.3%&QQQ:+3.2%；RSI65；MACD金叉多頭；站上SMA200,4,15,0,12,10,0,待 Grok 評分,待 Grok 評分
