Final_Rank,Rank,Ticker,CN_Name,New_Grok_Elite_Score,風險等級,Company_Name,Current_Price,Market_Cap_B,1M_Return_pct,RSI,Volume_Ratio,EMA20,SMA50,MACD_Hist,High_20,Gap_Risk,Score_Breakdown,Reason,CB_score,PullbackQ_score,VS_score,RS_score,TC_score,Bonus_score,X_Catalyst_Score,X_Catalyst_Reason
1,1,MSFT,微軟,100,低,Microsoft Corporation,451.1,3349.7,20.93,71.8,3.12,395.6,398.42,4.4331,458.69,高,基底+40 · CB+18 · PullbackQ+15 · VS+12 · RS+12 · TC+0 · Bonus+5,從20日高點回檔1.7%；站上EMA20(+14.0%)；1M報酬20.9%；超額報酬vs SPY:+21.6%；SPY:-0.7%&QQQ:-7.2%；RSI72；MACD金叉多頭；站上SMA200,18,15,12,12,0,5,待 Grok 評分,待 Grok 評分
2,2,CMG,奇波雷墨西哥,100,低,"Chipotle Mexican Grill, Inc.",38.52,48.8,13.29,68.8,2.03,33.95,32.72,0.1934,39.09,高,基底+40 · CB+18 · PullbackQ+15 · VS+12 · RS+12 · TC+3 · Bonus+5,從20日高點回檔1.5%；站上EMA20(+13.5%)；1M報酬13.3%；超額報酬vs SPY:+14.0%；SPY:-0.7%&QQQ:-7.2%；RSI69；MACD金叉多頭；站上SMA200,18,15,12,12,3,5,待 Grok 評分,待 Grok 評分
3,3,CBRE,CBRE Group Inc,100,低,CBRE Group Inc,149.46,43.3,10.97,64.9,1.6,141.08,135.43,0.932,153.08,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+12 · TC+10 · Bonus+5,從20日高點回檔2.4%；站上EMA20(+5.9%)；1M報酬11.0%；超額報酬vs SPY:+11.6%；SPY:-0.7%&QQQ:-7.2%；RSI65；MACD金叉多頭；站上SMA200,12,15,8,12,10,5,待 Grok 評分,待 Grok 評分
4,4,PTC,PTC Inc.,100,低,PTC Inc.,136.3,15.7,19.97,64.6,2.07,124.37,127.13,1.8265,143.6,低,基底+40 · CB+18 · PullbackQ+13 · VS+12 · RS+12 · TC+10 · Bonus+5,從20日高點回檔5.1%；站上EMA20(+9.6%)；1M報酬20.0%；超額報酬vs SPY:+20.7%；SPY:-0.7%&QQQ:-7.2%；RSI65；MACD金叉多頭,18,13,12,12,10,5,待 Grok 評分,待 Grok 評分
5,5,ARES,Ares Management Corporation,100,低,Ares Management Corporation,124.12,28.0,11.51,52.4,1.5,123.11,123.15,0.4877,131.34,低,基底+40 · CB+12 · PullbackQ+13 · VS+8 · RS+12 · TC+10 · Bonus+5,從20日高點回檔5.5%；站上EMA20(+0.8%)；1M報酬11.5%；超額報酬vs SPY:+12.2%；SPY:-0.7%&QQQ:-7.2%；RSI52；MACD金叉多頭,12,13,8,12,10,5,待 Grok 評分,待 Grok 評分
6,6,AON,怡安集團,100,低,Aon plc,366.57,77.8,10.52,57.0,3.09,359.61,339.86,0.18,382.34,低,基底+40 · CB+18 · PullbackQ+13 · VS+12 · RS+12 · TC+10 · Bonus+5,從20日高點回檔4.1%；站上EMA20(+1.9%)；1M報酬10.5%；超額報酬vs SPY:+11.2%；SPY:-0.7%&QQQ:-7.2%；RSI57；MACD金叉多頭；站上SMA200,18,13,12,12,10,5,待 Grok 評分,待 Grok 評分
7,7,FE,FirstEnergy Corp.,100,低,FirstEnergy Corp.,48.71,28.2,2.46,51.9,2.0,48.71,47.44,-0.041,50.45,低,基底+40 · CB+18 · PullbackQ+13 · VS+12 · RS+6 · TC+6 · Bonus+5,從20日高點回檔3.4%；站上EMA20(+0.0%)；1M報酬2.5%；超額報酬vs SPY:+3.1%；SPY:-0.7%&QQQ:-7.2%；RSI52；MACD多頭；站上SMA200,18,13,12,6,6,5,待 Grok 評分,待 Grok 評分
8,8,CTVA,"Corteva, Inc.",99,低,"Corteva, Inc.",89.34,59.8,5.49,63.1,1.61,86.77,81.98,0.0871,90.97,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+9 · TC+10 · Bonus+5,從20日高點回檔1.8%；站上EMA20(+3.0%)；1M報酬5.5%；超額報酬vs SPY:+6.2%；SPY:-0.7%&QQQ:-7.2%；RSI63；MACD金叉多頭；站上SMA200,12,15,8,9,10,5,待 Grok 評分,待 Grok 評分
9,9,PCG,PG&E,97,低,Pacific Gas & Electric Co.,17.78,39.2,5.71,57.7,1.95,17.47,16.95,0.0084,18.44,低,基底+40 · CB+12 · PullbackQ+13 · VS+8 · RS+9 · TC+10 · Bonus+5,從20日高點回檔3.6%；站上EMA20(+1.8%)；1M報酬5.7%；超額報酬vs SPY:+6.4%；SPY:-0.7%&QQQ:-7.2%；RSI58；MACD金叉多頭；站上SMA200,12,13,8,9,10,5,待 Grok 評分,待 Grok 評分
10,10,ITW,伊利諾工具,97,低,Illinois Tool Works Inc.,283.7,81.6,4.89,58.5,1.5,277.4,263.8,1.089,301.92,低,基底+40 · CB+12 · PullbackQ+13 · VS+8 · RS+9 · TC+10 · Bonus+5,從20日高點回檔6.0%；站上EMA20(+2.3%)；1M報酬4.9%；超額報酬vs SPY:+5.6%；SPY:-0.7%&QQQ:-7.2%；RSI59；MACD金叉多頭；站上SMA200,12,13,8,9,10,5,待 Grok 評分,待 Grok 評分
11,11,CSGP,"CoStar Group, Inc.",97,低,"CoStar Group, Inc.",29.46,11.9,4.03,49.5,1.55,29.27,30.81,0.2728,31.4,低,基底+40 · CB+12 · PullbackQ+13 · VS+8 · RS+9 · TC+10 · Bonus+5,從20日高點回檔6.2%；站上EMA20(+0.7%)；1M報酬4.0%；超額報酬vs SPY:+4.7%；SPY:-0.7%&QQQ:-7.2%；RSI49；MACD金叉多頭,12,13,8,9,10,5,待 Grok 評分,待 Grok 評分
