Final_Rank,Rank,Ticker,CN_Name,New_Grok_Elite_Score,風險等級,Company_Name,Current_Price,Market_Cap_B,1M_Return_pct,RSI,Volume_Ratio,EMA20,SMA50,MACD_Hist,High_20,Gap_Risk,Score_Breakdown,Reason,CB_score,PullbackQ_score,VS_score,RS_score,TC_score,Bonus_score,X_Catalyst_Score,X_Catalyst_Reason
1,1,AMGN,安進,100,低,Amgen Inc.,407.83,220.6,10.79,72.5,2.16,377.8,359.11,2.039,416.24,中,基底+40 · CB+18 · PullbackQ+15 · VS+12 · RS+10 · TC+0 · Bonus+5,從20日高點回檔2.0%；站上EMA20(+7.9%)；1M報酬10.8%；SPY:N/A&QQQ:+1.1%；RSI73；MACD金叉多頭；站上SMA200,18,15,12,10,0,5,待 Grok 評分,待 Grok 評分
2,2,NWSA,News Corporation,100,低,News Corporation,29.06,15.7,7.95,62.0,2.11,27.73,26.8,0.072,29.17,低,基底+40 · CB+18 · PullbackQ+15 · VS+12 · RS+7 · TC+10 · Bonus+5,從20日高點回檔0.4%；站上EMA20(+4.8%)；1M報酬7.9%；SPY:N/A&QQQ:+1.1%；RSI62；MACD金叉多頭；站上SMA200,18,15,12,7,10,5,待 Grok 評分,待 Grok 評分
3,3,ZBH,"Zimmer Biomet Holdings, Inc.",100,低,"Zimmer Biomet Holdings, Inc.",98.16,19.0,9.79,62.6,2.17,93.13,89.31,0.5015,101.8,低,基底+40 · CB+18 · PullbackQ+13 · VS+12 · RS+7 · TC+10 · Bonus+5,從20日高點回檔3.6%；站上EMA20(+5.4%)；1M報酬9.8%；SPY:N/A&QQQ:+1.1%；RSI63；MACD金叉多頭；站上SMA200,18,13,12,7,10,5,待 Grok 評分,待 Grok 評分
4,4,NWS,News Corporation,97,低,News Corporation,33.13,17.9,8.73,62.3,1.54,31.47,30.46,0.1209,33.14,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+7 · TC+10 · Bonus+5,從20日高點回檔0.0%；站上EMA20(+5.3%)；1M報酬8.7%；SPY:N/A&QQQ:+1.1%；RSI62；MACD金叉多頭；站上SMA200,12,15,8,7,10,5,待 Grok 評分,待 Grok 評分
5,5,XYZ,"Block, Inc.",97,低,"Block, Inc.",84.2,50.1,8.56,62.6,1.79,80.53,76.29,0.2255,86.75,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+7 · TC+10 · Bonus+5,從20日高點回檔2.9%；站上EMA20(+4.6%)；1M報酬8.6%；SPY:N/A&QQQ:+1.1%；RSI63；MACD金叉多頭；站上SMA200,12,15,8,7,10,5,待 Grok 評分,待 Grok 評分
6,6,FOXA,Fox Corporation,97,低,Fox Corporation,58.68,24.6,6.85,56.4,1.56,57.3,58.0,0.4072,60.23,低,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+7 · TC+10 · Bonus+5,從20日高點回檔2.6%；站上EMA20(+2.4%)；1M報酬6.8%；SPY:N/A&QQQ:+1.1%；RSI56；MACD金叉多頭,12,15,8,7,10,5,待 Grok 評分,待 Grok 評分
7,7,WYNN,永利渡假,97,低,"Wynn Resorts, Limited",101.15,10.5,4.98,56.8,2.34,98.56,100.45,0.501,109.24,低,基底+40 · CB+18 · PullbackQ+13 · VS+12 · RS+4 · TC+10 · Bonus+0,從20日高點回檔7.4%；站上EMA20(+2.6%)；1M報酬5.0%；SPY:N/A&QQQ:+1.1%；RSI57；MACD金叉多頭,18,13,12,4,10,0,待 Grok 評分,待 Grok 評分
8,8,BR,博睿信息,95,低,"Broadridge Financial Solutions,",163.41,18.6,9.97,62.9,1.54,153.43,147.67,1.5552,176.94,低,基底+40 · CB+12 · PullbackQ+13 · VS+8 · RS+7 · TC+10 · Bonus+5,從20日高點回檔7.6%；站上EMA20(+6.5%)；1M報酬10.0%；SPY:N/A&QQQ:+1.1%；RSI63；MACD金叉多頭,12,13,8,7,10,5,待 Grok 評分,待 Grok 評分
9,9,BKNG,Booking控股,93,低,Booking Holdings Inc. Common St,207.02,155.6,13.78,69.3,1.72,187.97,177.18,1.6392,211.47,高,基底+40 · CB+12 · PullbackQ+15 · VS+8 · RS+10 · TC+3 · Bonus+5,從20日高點回檔2.1%；站上EMA20(+10.1%)；1M報酬13.8%；SPY:N/A&QQQ:+1.1%；RSI69；MACD金叉多頭；站上SMA200,12,15,8,10,3,5,待 Grok 評分,待 Grok 評分
10,10,ANET,"Arista Networks, Inc.",92,低,"Arista Networks, Inc.",197.31,248.4,18.53,65.7,2.49,176.68,169.17,2.0193,214.89,低,基底+40 · CB+12 · PullbackQ+10 · VS+12 · RS+10 · TC+3 · Bonus+5,從20日高點回檔8.2%；站上EMA20(+11.7%)；1M報酬18.5%；SPY:N/A&QQQ:+1.1%；RSI66；MACD金叉多頭；站上SMA200,12,10,12,10,3,5,待 Grok 評分,待 Grok 評分
